frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
215,0,0,0,0,,,0.000
216,0,0,0,0,,,0.000
217,0,0,0,0,,,0.000
218,0,0,0,0,,,0.000
219,0,0,0,0,,,0.000
220,1,0,0,1,,c16,0.488
221,1,0,0,1,,c16,0.488
222,1,0,0,1,,c16,0.488
223,1,0,0,1,,c16,0.488
224,1,0,0,1,,c16,0.488
225,1,0,0,1,,c16,0.488
226,1,0,0,1,,c16,0.488
227,1,0,0,1,,c16,0.488
228,1,0,0,1,,c16,0.488
229,1,0,0,1,,c16,0.488
230,1,0,0,1,,c16,0.488
231,1,0,0,1,,c16,0.488
232,3,0,0,3,,c13|c16|c17,0.405
233,3,0,0,3,,c13|c16|c17,0.405
234,3,0,0,3,,c13|c16|c17,0.405
235,3,0,0,3,,c13|c16|c17,0.405
236,2,0,0,2,,c16|c17,0.458
237,2,0,0,2,,c16|c17,0.458
238,2,0,0,2,,c16|c17,0.458
239,2,0,0,2,,c16|c17,0.458
240,2,0,0,2,,c16|c17,0.458
241,2,0,0,2,,c16|c17,0.458
242,2,0,0,2,,c16|c17,0.458
243,3,0,0,3,,c13|c16|c17,0.405
244,3,0,0,3,,c13|c16|c17,0.405
245,3,0,0,3,,c13|c16|c17,0.405
246,3,0,0,3,,c13|c16|c17,0.405
247,3,0,0,3,,c13|c16|c17,0.405
248,3,0,0,3,,c13|c16|c17,0.405
249,3,0,0,3,,c13|c16|c17,0.405
250,3,0,0,3,,c13|c16|c17,0.405
251,3,0,0,3,,c13|c16|c17,0.405
252,3,0,0,3,,c13|c16|c17,0.405
253,2,0,0,2,,c13|c17,0.363
254,2,0,0,2,,c13|c17,0.363
255,2,0,0,2,,c13|c17,0.363
256,1,0,0,1,,c17,0.429
257,2,0,0,2,,c17|c18,0.429
258,2,0,0,2,,c17|c18,0.429
259,2,0,0,2,,c17|c18,0.429
260,2,0,0,2,,c17|c18,0.429
261,2,0,0,2,,c17|c18,0.429
262,2,0,0,2,,c17|c18,0.429
263,3,0,0,3,,c13|c17|c18,0.385
264,3,0,0,3,,c13|c17|c18,0.385
265,3,0,0,3,,c13|c17|c18,0.385
266,3,0,0,3,,c13|c17|c18,0.385
267,3,0,0,3,,c13|c17|c18,0.385
268,3,0,0,3,,c13|c17|c18,0.385
269,3,0,0,3,,c13|c17|c18,0.385
270,3,0,0,3,,c13|c17|c18,0.385
271,3,0,0,3,,c13|c17|c18,0.385
272,3,0,0,3,,c13|c17|c18,0.385
273,3,0,0,3,,c13|c17|c18,0.385
274,3,0,0,3,,c13|c17|c18,0.385
275,3,0,0,3,,c13|c17|c18,0.385
276,3,0,0,3,,c13|c17|c18,0.385
277,3,0,0,3,,c13|c17|c18,0.385
278,3,0,0,3,,c13|c17|c18,0.385
279,3,0,0,3,,c13|c17|c18,0.385
280,3,0,0,3,,c13|c17|c18,0.385
281,3,0,0,3,,c13|c17|c18,0.385
282,3,0,0,3,,c13|c17|c18,0.385
283,3,0,0,3,,c13|c17|c18,0.385
284,3,0,0,3,,c13|c17|c18,0.385
285,3,0,0,3,,c13|c17|c18,0.385
286,3,0,0,3,,c13|c17|c18,0.385
287,3,0,0,3,,c13|c17|c18,0.385
288,3,0,0,3,,c13|c17|c18,0.385
289,3,0,0,3,,c13|c17|c18,0.385
290,3,0,0,3,,c13|c17|c18,0.385
291,3,0,0,3,,c13|c17|c18,0.385
292,3,0,0,3,,c13|c17|c18,0.385
293,3,0,0,3,,c13|c17|c18,0.385
294,3,0,0,3,,c13|c17|c18,0.385
295,3,0,0,3,,c13|c17|c18,0.385
296,3,0,0,3,,c13|c17|c18,0.385
297,3,0,0,3,,c13|c17|c18,0.385
298,3,0,0,3,,c13|c17|c18,0.385
299,3,0,0,3,,c13|c17|c18,0.385
300,3,0,0,3,,c13|c17|c18,0.385
301,3,0,0,3,,c13|c17|c18,0.385
302,3,0,0,3,,c13|c17|c18,0.385
303,3,0,0,3,,c13|c17|c18,0.385
304,3,0,0,3,,c13|c17|c18,0.385
305,3,0,0,3,,c13|c17|c18,0.385
306,3,0,0,3,,c13|c17|c18,0.385
307,3,0,0,3,,c13|c17|c18,0.385
308,3,0,0,3,,c13|c17|c18,0.385
309,3,0,0,3,,c13|c17|c18,0.385
310,3,0,0,3,,c13|c17|c18,0.385
311,3,0,0,3,,c13|c17|c18,0.385
312,3,0,0,3,,c13|c17|c18,0.385
313,2,0,0,2,,c17|c18,0.429
314,2,0,0,2,,c17|c18,0.429
315,2,0,0,2,,c17|c18,0.429
316,2,0,0,2,,c17|c18,0.429
317,2,0,0,2,,c17|c18,0.429
318,2,0,0,2,,c17|c18,0.429
319,2,0,0,2,,c17|c18,0.429
320,2,0,0,2,,c17|c18,0.429
321,2,0,0,2,,c17|c18,0.429
322,2,0,0,2,,c17|c18,0.429
