frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
174,5,0,0,5,0.718,MIXED_3+,0.718
175,5,0,0,5,0.718,MIXED_3+,0.718
176,5,0,0,5,0.718,MIXED_3+,0.718
177,5,0,0,5,0.718,MIXED_3+,0.718
178,5,0,0,5,0.718,MIXED_3+,0.718
179,5,0,0,5,0.718,MIXED_3+,0.718
180,5,0,0,5,0.718,MIXED_3+,0.718
181,5,0,0,5,0.718,MIXED_3+,0.718
182,5,0,0,5,0.718,MIXED_3+,0.718
183,5,0,0,5,0.718,MIXED_3+,0.718
184,5,0,0,5,0.718,MIXED_3+,0.718
185,5,0,0,5,0.718,MIXED_3+,0.718
186,5,0,0,5,0.718,MIXED_3+,0.718
187,5,0,0,5,0.718,MIXED_3+,0.718
188,5,0,0,5,0.718,MIXED_3+,0.718
189,5,0,0,5,0.718,MIXED_3+,0.718
190,5,0,0,5,0.718,MIXED_3+,0.718
191,5,0,0,5,0.718,MIXED_3+,0.718
192,5,0,0,5,0.718,MIXED_3+,0.718
193,5,0,0,5,0.718,MIXED_3+,0.718
194,5,0,0,5,0.718,MIXED_3+,0.718
195,5,0,0,5,0.718,MIXED_3+,0.718
196,5,0,0,5,0.718,MIXED_3+,0.718
197,5,0,0,5,0.718,MIXED_3+,0.718
198,5,0,0,5,0.718,MIXED_3+,0.718
199,5,0,0,5,0.718,MIXED_3+,0.718
200,5,0,0,5,0.718,MIXED_3+,0.718
201,5,0,0,5,0.718,MIXED_3+,0.718
202,5,0,0,5,0.718,MIXED_3+,0.718
203,5,0,0,5,0.718,MIXED_3+,0.718
204,5,0,0,5,0.718,MIXED_3+,0.718
205,5,0,0,5,0.718,MIXED_3+,0.718
206,5,0,0,5,0.718,MIXED_3+,0.718
207,5,0,0,5,0.718,MIXED_3+,0.718
208,5,0,0,5,0.718,MIXED_3+,0.718
209,5,0,0,5,0.718,MIXED_3+,0.718
210,5,0,0,5,0.718,MIXED_3+,0.718
211,5,0,0,5,0.718,MIXED_3+,0.718
212,5,0,0,5,0.718,MIXED_3+,0.718
213,5,0,0,5,0.718,MIXED_3+,0.718
214,5,0,0,5,0.718,MIXED_3+,0.718
215,5,0,0,5,0.718,MIXED_3+,0.718
216,5,0,0,5,0.718,MIXED_3+,0.718
217,5,0,0,5,0.718,MIXED_3+,0.718
218,5,0,0,5,0.718,MIXED_3+,0.718
219,5,0,0,5,0.718,MIXED_3+,0.718
220,5,0,0,5,0.718,MIXED_3+,0.718
221,5,0,0,5,0.718,MIXED_3+,0.718
222,5,0,0,5,0.718,MIXED_3+,0.718
223,5,0,0,5,0.718,MIXED_3+,0.718
224,5,0,0,5,0.718,MIXED_3+,0.718
225,5,0,0,5,0.718,MIXED_3+,0.718
226,5,0,0,5,0.718,MIXED_3+,0.718
227,5,0,0,5,0.718,MIXED_3+,0.718
228,5,0,0,5,0.718,MIXED_3+,0.718
229,4,0,0,4,0.698,MIXED_3+,0.698
230,4,0,0,4,0.698,MIXED_3+,0.698
231,4,0,0,4,0.698,MIXED_3+,0.698
232,4,0,0,4,0.698,MIXED_3+,0.698
233,4,0,0,4,0.698,MIXED_3+,0.698
234,4,0,0,4,0.698,MIXED_3+,0.698
235,4,0,0,4,0.698,MIXED_3+,0.698
236,4,0,0,4,0.698,MIXED_3+,0.698
