frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
324,2,0,0,2,0.429,UNKNOWN,0.429,0
325,2,0,0,2,0.429,UNKNOWN,0.429,0
326,2,0,0,2,0.429,UNKNOWN,0.429,0
327,2,0,0,2,0.429,UNKNOWN,0.429,0
328,2,0,0,2,0.429,UNKNOWN,0.429,0
329,1,0,0,1,0.429,UNKNOWN,0.429,0
330,1,0,0,1,0.429,UNKNOWN,0.429,0
331,1,0,0,1,0.429,UNKNOWN,0.429,0
332,1,0,0,1,0.429,UNKNOWN,0.429,0
333,2,0,0,2,0.678,TWO_BALL,0.678,0
334,2,0,0,2,0.678,TWO_BALL,0.678,0
335,1,0,0,1,0.926,SINGLE_BALL,0.926,0
336,1,0,0,1,0.926,SINGLE_BALL,0.926,0
337,1,0,0,1,0.926,SINGLE_BALL,0.926,0
338,1,0,0,1,0.926,SINGLE_BALL,0.926,0
339,1,0,0,1,0.926,SINGLE_BALL,0.926,0
340,1,0,0,1,0.926,SINGLE_BALL,0.926,0
341,1,0,0,1,0.926,SINGLE_BALL,0.926,0
342,1,0,0,1,0.926,SINGLE_BALL,0.926,0
343,1,0,0,1,0.926,SINGLE_BALL,0.926,0
344,1,0,0,1,0.926,SINGLE_BALL,0.926,0
345,1,0,0,1,0.926,SINGLE_BALL,0.926,0
346,1,0,0,1,0.926,SINGLE_BALL,0.926,0
347,1,0,0,1,0.926,SINGLE_BALL,0.926,0
348,1,0,0,1,0.926,SINGLE_BALL,0.926,0
349,1,0,0,1,0.926,SINGLE_BALL,0.926,0
350,1,0,0,1,0.926,SINGLE_BALL,0.926,0
351,1,0,0,1,0.926,SINGLE_BALL,0.926,0
352,1,0,0,1,0.926,SINGLE_BALL,0.926,0
353,1,0,0,1,0.926,SINGLE_BALL,0.926,0
354,1,0,0,1,0.926,SINGLE_BALL,0.926,0
355,1,0,0,1,0.926,SINGLE_BALL,0.926,0
356,1,0,0,1,0.926,SINGLE_BALL,0.926,0
357,1,0,0,1,0.926,SINGLE_BALL,0.926,0
358,1,0,0,1,0.926,SINGLE_BALL,0.926,0
359,1,0,0,1,0.926,SINGLE_BALL,0.926,0
360,1,0,0,1,0.926,SINGLE_BALL,0.926,0
361,1,0,0,1,0.926,SINGLE_BALL,0.926,0
362,1,0,0,1,0.926,SINGLE_BALL,0.926,0
363,1,0,0,1,0.926,SINGLE_BALL,0.926,0
364,1,0,0,1,0.926,SINGLE_BALL,0.926,0
365,1,0,0,1,0.926,SINGLE_BALL,0.926,0
366,1,0,0,1,0.926,SINGLE_BALL,0.926,0
367,1,0,0,1,0.926,SINGLE_BALL,0.926,0
368,1,0,0,1,0.926,SINGLE_BALL,0.926,0
369,1,0,0,1,0.926,SINGLE_BALL,0.926,0
370,1,0,0,1,0.926,SINGLE_BALL,0.926,0
371,1,0,0,1,0.926,SINGLE_BALL,0.926,0
372,1,0,0,1,0.926,SINGLE_BALL,0.926,0
373,1,0,0,1,0.926,SINGLE_BALL,0.926,0
374,1,0,0,1,0.926,SINGLE_BALL,0.926,0
375,1,0,0,1,0.926,SINGLE_BALL,0.926,0
376,1,0,0,1,0.926,SINGLE_BALL,0.926,0
377,1,0,0,1,0.926,SINGLE_BALL,0.926,0
378,1,0,0,1,0.926,SINGLE_BALL,0.926,0
379,1,0,0,1,0.926,SINGLE_BALL,0.926,0
380,1,0,0,1,0.926,SINGLE_BALL,0.926,0
381,1,0,0,1,0.926,SINGLE_BALL,0.926,0
382,1,0,0,1,0.926,SINGLE_BALL,0.926,0
383,0,0,0,0,0.0,NO_BALL,1.0,0
384,0,0,0,0,0.0,NO_BALL,1.0,0
385,0,0,0,0,0.0,NO_BALL,1.0,0
386,0,0,0,0,0.0,NO_BALL,1.0,0
387,0,0,0,0,0.0,NO_BALL,1.0,0
388,0,0,0,0,0.0,NO_BALL,1.0,0
389,0,0,0,0,0.0,NO_BALL,1.0,0
390,0,0,0,0,0.0,NO_BALL,1.0,0
391,1,0,0,1,0.926,SINGLE_BALL,0.926,0
392,1,0,0,1,0.926,SINGLE_BALL,0.926,0
393,1,0,0,1,0.926,SINGLE_BALL,0.926,0
394,1,0,0,1,0.926,SINGLE_BALL,0.926,0
395,1,0,0,1,0.926,SINGLE_BALL,0.926,0
396,1,0,0,1,0.926,SINGLE_BALL,0.926,0
397,1,0,0,1,0.926,SINGLE_BALL,0.926,0
398,1,0,0,1,0.926,SINGLE_BALL,0.926,0
399,2,0,0,2,0.925,TWO_BALL,0.925,0
400,2,0,0,2,0.925,TWO_BALL,0.925,0
401,2,0,0,2,0.925,TWO_BALL,0.925,0
402,2,0,0,2,0.925,TWO_BALL,0.925,0
403,2,0,0,2,0.925,TWO_BALL,0.925,0
404,2,0,0,2,0.925,TWO_BALL,0.925,0
405,2,0,0,2,0.925,TWO_BALL,0.925,0
406,2,0,0,2,0.925,TWO_BALL,0.925,0
407,2,0,0,2,0.925,TWO_BALL,0.925,0
408,2,0,0,2,0.925,TWO_BALL,0.925,0
409,2,0,0,2,0.925,TWO_BALL,0.925,0
410,2,0,0,2,0.925,TWO_BALL,0.925,0
411,3,0,0,3,0.938,CASCADE_3+,0.938,0
412,3,0,0,3,0.938,CASCADE_3+,0.938,0
413,3,0,0,3,0.938,CASCADE_3+,0.938,0
414,3,0,0,3,0.938,CASCADE_3+,0.938,0
415,3,0,0,3,0.938,CASCADE_3+,0.938,0
416,3,0,0,3,0.938,CASCADE_3+,0.938,0
417,3,0,0,3,0.938,CASCADE_3+,0.938,0
418,3,0,0,3,0.938,CASCADE_3+,0.938,0
419,3,0,0,3,0.938,CASCADE_3+,0.938,0
420,3,0,0,3,0.938,CASCADE_3+,0.938,0
421,3,0,0,3,0.938,CASCADE_3+,0.938,0
422,3,0,0,3,0.938,CASCADE_3+,0.938,0
423,3,0,0,3,0.938,CASCADE_3+,0.938,0
424,3,0,0,3,0.938,CASCADE_3+,0.938,0
425,4,0,0,4,0.811,CASCADE_3+,0.811,0
426,4,0,0,4,0.811,CASCADE_3+,0.811,0
427,4,0,0,4,0.811,CASCADE_3+,0.811,0
428,4,0,0,4,0.811,CASCADE_3+,0.811,0
429,3,0,0,3,0.938,CASCADE_3+,0.938,0
430,3,0,0,3,0.938,CASCADE_3+,0.938,0
431,3,0,0,3,0.938,CASCADE_3+,0.938,0
432,3,0,0,3,0.938,CASCADE_3+,0.938,0
433,3,0,0,3,0.938,CASCADE_3+,0.938,0
434,3,0,0,3,0.938,CASCADE_3+,0.938,0
435,3,0,0,3,0.938,CASCADE_3+,0.938,0
436,3,0,0,3,0.938,CASCADE_3+,0.938,0
437,3,0,0,3,0.938,CASCADE_3+,0.938,0
438,3,0,0,3,0.938,CASCADE_3+,0.938,0
439,3,0,0,3,0.938,CASCADE_3+,0.938,0
440,3,0,0,3,0.938,CASCADE_3+,0.938,0
441,3,0,0,3,0.938,CASCADE_3+,0.938,0
442,3,0,0,3,0.938,CASCADE_3+,0.938,0
443,3,0,0,3,0.938,CASCADE_3+,0.938,0
444,3,0,0,3,0.938,CASCADE_3+,0.938,0
445,3,0,0,3,0.938,CASCADE_3+,0.938,0
446,3,0,0,3,0.938,CASCADE_3+,0.938,0
447,3,0,0,3,0.938,CASCADE_3+,0.938,0
448,3,0,0,3,0.938,CASCADE_3+,0.938,0
449,3,0,0,3,0.938,CASCADE_3+,0.938,0
450,3,0,0,3,0.938,CASCADE_3+,0.938,0
451,2,0,0,2,0.946,TWO_BALL,0.946,0
452,2,0,0,2,0.946,TWO_BALL,0.946,0
453,2,0,0,2,0.946,TWO_BALL,0.946,0
454,2,0,0,2,0.946,TWO_BALL,0.946,0
455,2,0,0,2,0.946,TWO_BALL,0.946,0
456,2,0,0,2,0.946,TWO_BALL,0.946,0
457,2,0,0,2,0.946,TWO_BALL,0.946,0
458,2,0,0,2,0.946,TWO_BALL,0.946,0
459,2,0,0,2,0.946,TWO_BALL,0.946,0
460,2,0,0,2,0.946,TWO_BALL,0.946,0
461,2,0,0,2,0.944,TWO_BALL,0.944,0
462,2,0,0,2,0.944,TWO_BALL,0.944,0
463,2,0,0,2,0.944,TWO_BALL,0.944,0
464,2,0,0,2,0.944,TWO_BALL,0.944,0
465,2,0,0,2,0.944,TWO_BALL,0.944,0
466,2,0,0,2,0.944,TWO_BALL,0.944,0
467,2,0,0,2,0.944,TWO_BALL,0.944,0
468,2,0,0,2,0.944,TWO_BALL,0.944,0
469,2,0,0,2,0.944,TWO_BALL,0.944,0
470,2,0,0,2,0.944,TWO_BALL,0.944,0
471,3,0,0,3,0.938,CASCADE_3+,0.938,0
472,3,0,0,3,0.938,CASCADE_3+,0.938,0
473,1,0,0,1,0.966,SINGLE_BALL,0.966,0
474,1,0,0,1,0.966,SINGLE_BALL,0.966,0
475,1,0,0,1,0.966,SINGLE_BALL,0.966,0
476,1,0,0,1,0.966,SINGLE_BALL,0.966,0
477,1,0,0,1,0.966,SINGLE_BALL,0.966,0
478,1,0,0,1,0.966,SINGLE_BALL,0.966,0
479,1,0,0,1,0.966,SINGLE_BALL,0.966,0
480,1,0,0,1,0.966,SINGLE_BALL,0.966,0
