frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
104,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
105,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
106,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
107,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
108,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
109,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
110,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
111,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
112,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
113,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
114,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
115,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
116,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
117,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
118,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
119,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
120,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
121,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
122,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
123,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
124,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
125,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
126,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
127,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
128,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
129,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
130,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
131,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
132,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
133,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
134,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
135,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
136,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
137,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
138,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
139,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
140,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
141,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
142,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
143,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
144,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
145,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
146,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
147,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
148,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
149,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
150,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
151,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
152,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
153,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
154,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
155,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
156,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
157,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
158,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
159,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
