frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
145,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
146,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
147,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
148,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
149,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
150,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
151,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
152,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
153,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
154,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
155,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
156,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
157,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
158,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
159,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
160,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
161,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
162,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
163,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
164,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
