frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
142,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
143,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
144,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
145,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
146,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
147,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
148,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
149,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
150,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
151,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
152,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
153,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
154,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
155,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
156,1,0,0,1,0.836,SINGLE_BALL,0.836,SINGLE_BALL
157,2,0,0,2,0.886,TWO_BALL,0.886,TWO_BALL
158,2,0,0,2,0.886,TWO_BALL,0.886,TWO_BALL
159,2,0,0,2,0.886,TWO_BALL,0.886,TWO_BALL
160,2,0,0,2,0.886,TWO_BALL,0.886,TWO_BALL
161,1,0,0,1,0.936,SINGLE_BALL,0.936,SINGLE_BALL
162,1,0,0,1,0.936,SINGLE_BALL,0.936,SINGLE_BALL
163,1,0,0,1,0.936,SINGLE_BALL,0.936,SINGLE_BALL
164,1,0,0,1,0.936,SINGLE_BALL,0.936,SINGLE_BALL
165,2,0,0,2,0.72,TWO_BALL,0.72,TWO_BALL
166,3,0,0,3,0.804,MIXED_3+,0.804,MIXED_3+
167,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
168,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
169,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
170,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
171,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
172,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
173,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
174,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
175,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
176,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
177,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
178,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
179,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
180,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
181,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
182,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
183,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
184,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
185,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
186,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
187,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
188,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
189,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
190,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
191,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
192,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
193,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
194,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
195,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
196,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
197,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
198,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
199,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
200,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
201,2,0,0,2,0.738,TWO_BALL,0.738,TWO_BALL
202,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
203,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
204,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
205,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
206,3,0,0,3,0.643,MIXED_3+,0.643,MIXED_3+
207,2,0,1,2,0.479,TWO_BALL_ONE_HAND,0.479,TWO_BALL_ONE_HAND
208,1,0,0,1,0.454,SINGLE_BALL,0.454,SINGLE_BALL
212,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
213,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
220,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
221,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
222,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
223,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
224,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
225,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
226,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
227,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
228,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
229,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
230,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
231,1,0,0,1,0.316,SINGLE_BALL,0.316,SINGLE_BALL
232,3,0,1,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
233,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
234,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
235,3,0,1,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
236,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
237,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
238,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
239,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
240,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
241,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
242,2,0,0,2,0.637,TWO_BALL,0.637,TWO_BALL
243,3,0,1,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
244,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
245,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
246,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
247,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
248,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
249,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
250,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
251,3,0,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
252,3,1,0,3,0.593,FOUNTAIN_3+,0.593,FOUNTAIN_3+
253,2,0,0,2,0.731,TWO_BALL,0.731,TWO_BALL
254,2,0,0,2,0.731,TWO_BALL,0.731,TWO_BALL
255,2,0,0,2,0.731,TWO_BALL,0.731,TWO_BALL
256,1,0,0,1,0.958,SINGLE_BALL,0.958,SINGLE_BALL
257,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
258,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
259,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
260,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
261,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
262,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
263,3,1,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
264,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
265,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
266,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
267,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
268,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
269,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
270,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
271,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
272,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
273,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
274,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
275,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
276,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
277,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
278,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
279,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
280,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
281,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
282,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
283,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
284,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
285,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
286,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
287,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
288,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
289,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
290,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
291,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
292,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
293,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
294,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
295,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
296,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
297,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
298,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
299,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
300,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
301,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
302,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
303,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
304,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
305,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
306,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
307,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
308,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
309,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
310,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
311,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
312,3,0,0,3,0.728,FOUNTAIN_3+,0.728,FOUNTAIN_3+
313,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
314,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
315,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
316,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
317,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
318,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
319,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
320,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
321,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
322,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
323,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
324,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
325,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
326,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
327,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
328,2,0,0,2,0.935,TWO_BALL,0.935,TWO_BALL
329,1,0,0,1,0.911,SINGLE_BALL,0.911,SINGLE_BALL
330,1,0,0,1,0.911,SINGLE_BALL,0.911,SINGLE_BALL
331,1,0,0,1,0.911,SINGLE_BALL,0.911,SINGLE_BALL
332,1,0,0,1,0.911,SINGLE_BALL,0.911,SINGLE_BALL
333,2,0,0,2,0.757,TWO_BALL,0.757,TWO_BALL
334,2,0,0,2,0.757,TWO_BALL,0.757,TWO_BALL
335,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
336,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
337,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
338,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
339,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
340,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
341,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
342,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
343,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
344,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
345,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
346,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
347,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
348,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
349,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
350,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
351,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
352,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
353,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
354,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
355,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
356,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
357,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
358,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
359,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
360,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
361,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
362,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
363,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
364,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
365,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
366,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
367,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
368,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
369,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
370,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
371,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
372,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
373,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
374,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
375,1,0,0,1,0.602,SINGLE_BALL,0.602,SINGLE_BALL
