frame,pattern,confidence,new_pattern
224,SINGLE_BALL,0.316,SINGLE_BALL
225,SINGLE_BALL,0.316,SINGLE_BALL
226,SINGLE_BALL,0.316,SINGLE_BALL
227,SINGLE_BALL,0.316,SINGLE_BALL
228,SINGLE_BALL,0.316,SINGLE_BALL
229,SINGLE_BALL,0.316,SINGLE_BALL
230,SINGLE_BALL,0.316,SINGLE_BALL
231,SINGLE_BALL,0.316,SINGLE_BALL
232,MIXED_3+,0.593,MIXED_3+
233,MIXED_3+,0.593,MIXED_3+
234,MIXED_3+,0.593,MIXED_3+
235,MIXED_3+,0.593,MIXED_3+
236,TWO_BALL,0.637,TWO_BALL
237,TWO_BALL,0.637,TWO_BALL
238,TWO_BALL,0.637,TWO_BALL
239,TWO_BALL,0.637,TWO_BALL
240,TWO_BALL,0.637,TWO_BALL
241,TWO_BALL,0.637,TWO_BALL
242,TWO_BALL,0.637,TWO_BALL
243,MIXED_3+,0.593,MIXED_3+
244,MIXED_3+,0.593,MIXED_3+
245,MIXED_3+,0.593,MIXED_3+
246,MIXED_3+,0.593,MIXED_3+
247,MIXED_3+,0.593,MIXED_3+
248,MIXED_3+,0.593,MIXED_3+
249,MIXED_3+,0.593,MIXED_3+
250,MIXED_3+,0.593,MIXED_3+
251,MIXED_3+,0.593,MIXED_3+
252,CASCADE_3+,0.593,CASCADE_3+
253,TWO_BALL,0.731,TWO_BALL
254,TWO_BALL,0.731,TWO_BALL
255,TWO_BALL,0.731,TWO_BALL
256,SINGLE_BALL,0.958,SINGLE_BALL
257,TWO_BALL,0.935,TWO_BALL
258,TWO_BALL,0.935,TWO_BALL
259,TWO_BALL,0.935,TWO_BALL
260,TWO_BALL,0.935,TWO_BALL
261,TWO_BALL,0.935,TWO_BALL
262,TWO_BALL,0.935,TWO_BALL
263,MIXED_3+,0.728,MIXED_3+
264,MIXED_3+,0.728,MIXED_3+
265,MIXED_3+,0.728,MIXED_3+
266,MIXED_3+,0.728,MIXED_3+
267,MIXED_3+,0.728,MIXED_3+
268,MIXED_3+,0.728,MIXED_3+
269,MIXED_3+,0.728,MIXED_3+
270,MIXED_3+,0.728,MIXED_3+
271,MIXED_3+,0.728,MIXED_3+
272,MIXED_3+,0.728,MIXED_3+
273,MIXED_3+,0.728,MIXED_3+
274,MIXED_3+,0.728,MIXED_3+
275,MIXED_3+,0.728,MIXED_3+
276,MIXED_3+,0.728,MIXED_3+
277,MIXED_3+,0.728,MIXED_3+
278,MIXED_3+,0.728,MIXED_3+
279,MIXED_3+,0.728,MIXED_3+
280,MIXED_3+,0.728,MIXED_3+
281,MIXED_3+,0.728,MIXED_3+
282,MIXED_3+,0.728,MIXED_3+
283,MIXED_3+,0.728,MIXED_3+
284,MIXED_3+,0.728,MIXED_3+
285,MIXED_3+,0.728,MIXED_3+
286,MIXED_3+,0.728,MIXED_3+
287,MIXED_3+,0.728,MIXED_3+
288,MIXED_3+,0.728,MIXED_3+
289,MIXED_3+,0.728,MIXED_3+
290,MIXED_3+,0.728,MIXED_3+
291,MIXED_3+,0.728,MIXED_3+
292,MIXED_3+,0.728,MIXED_3+
293,MIXED_3+,0.728,MIXED_3+
294,MIXED_3+,0.728,MIXED_3+
295,MIXED_3+,0.728,MIXED_3+
296,MIXED_3+,0.728,MIXED_3+
297,MIXED_3+,0.728,MIXED_3+
298,MIXED_3+,0.728,MIXED_3+
299,MIXED_3+,0.728,MIXED_3+
300,MIXED_3+,0.728,MIXED_3+
301,MIXED_3+,0.728,MIXED_3+
302,MIXED_3+,0.728,MIXED_3+
303,MIXED_3+,0.728,MIXED_3+
304,MIXED_3+,0.728,MIXED_3+
305,MIXED_3+,0.728,MIXED_3+
306,MIXED_3+,0.728,MIXED_3+
307,MIXED_3+,0.728,MIXED_3+
308,MIXED_3+,0.728,MIXED_3+
309,MIXED_3+,0.728,MIXED_3+
310,MIXED_3+,0.728,MIXED_3+
