frame,L42,R42,A42,source,L36,R36,A36,L40v2,R40v2,h12_pattern,h12_conf
152,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
153,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
154,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
155,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
156,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
157,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
158,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
159,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
160,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
161,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
162,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
163,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
164,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
165,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
166,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
167,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
168,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
169,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
170,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
171,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
172,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
173,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
174,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
175,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
176,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
177,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
178,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
179,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
180,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
181,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
182,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
183,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
184,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
185,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
186,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
187,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
188,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
189,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
190,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
191,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
192,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
193,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
194,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
195,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
196,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
197,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
198,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
199,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
200,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
201,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
202,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
203,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
204,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
205,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
206,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
207,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
208,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
209,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
210,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
211,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
212,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
213,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
214,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
215,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
216,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
217,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
218,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
219,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
220,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
221,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
222,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
223,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
224,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
225,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
226,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
227,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
