event_id,video,stem,frame,time_seconds,hand,event_type,tid,point_x,point_y,wrist_x,wrist_y,dist,slope,pre_depth,pool_depth,identity_ambiguous,notes
59,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,35,726.16,520.57,714.48,500.37,19.16,-2.308,7,7,True,end-of-video: token 9 never consumed
60,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,44,446.91,615.32,501.71,604.29,32.2,-7.436,6,6,True,end-of-video: token 10 never consumed
61,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,56,683.25,531.65,665.54,530.39,7.01,-12.578,5,5,True,end-of-video: token 11 never consumed
62,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,66,737.58,507.48,711.05,540.36,32.65,-2.895,4,4,True,end-of-video: token 12 never consumed
63,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,70,714.97,555.48,719.74,509.89,33.94,-11.775,3,3,True,end-of-video: token 13 never consumed
64,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,73,749.49,453.62,744.84,488.52,34.05,-12.761,2,2,True,end-of-video: token 14 never consumed
65,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,UNRESOLVED_HELD_OR_LOST,75,774.32,456.73,747.6,490.98,33.64,-6.155,1,1,True,end-of-video: token 15 never consumed
66,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,right,UNRESOLVED_HELD_OR_LOST,62,580.74,556.39,549.55,565.81,22.19,-4.908,3,3,True,end-of-video: token 16 never consumed
67,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,right,UNRESOLVED_HELD_OR_LOST,68,507.24,577.97,498.52,568.4,12.16,-22.004,2,2,True,end-of-video: token 17 never consumed
68,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,right,UNRESOLVED_HELD_OR_LOST,72,413.3,497.31,482.24,506.57,53.17,-7.877,1,1,True,end-of-video: token 18 never consumed
1,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,0.0667,left,UNMATCHED_EXIT,2,631.0,470.48,,,7.59,2.423,0,0,False,throw-side exit; hand was empty
2,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,34,1.1333,left,UNMATCHED_EXIT,6,620.51,453.15,,,5.62,4.637,0,0,False,throw-side exit; hand was empty
3,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,83,2.7667,right,UNMATCHED_EXIT,8,580.62,390.47,,,38.17,11.375,0,0,False,throw-side exit; hand was empty
4,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,102,3.4,left,ENTRY,1,633.63,376.77,643.29,407.21,28.96,-11.657,0,1,False,token 1 created
5,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,238,7.9333,right,ENTRY,10,553.01,458.71,556.15,447.66,2.24,-4.846,0,1,False,token 1 created
6,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,255,8.5,right,EXIT,12,576.65,370.55,556.15,447.66,48.63,12.164,1,0,False,consumed token 1 from 10
7,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,267,8.9,left,EXIT,13,612.57,397.14,643.29,407.21,18.7,11.889,1,0,False,consumed token 1 from 1
8,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,308,10.2667,right,UNMATCHED_EXIT,14,571.06,418.17,,,13.49,10.758,0,0,False,throw-side exit; hand was empty
9,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,329,10.9667,left,UNMATCHED_EXIT,15,605.33,319.93,,,78.09,13.982,0,0,False,throw-side exit; hand was empty
10,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,339,11.3,right,UNMATCHED_EXIT,16,575.51,403.18,,,21.72,11.721,0,0,False,throw-side exit; hand was empty
