kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
adjacent_vshape,identical_balls_trick_000_018,1,4,4,36.29,7.814,V_DEEP,77.85,48.05,312.64,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,1,5,4,36.05,4.676,V_DEEP,77.85,,82.54,right,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,1,7,22,45.58,3.698,V_DEEP,77.85,66.22,248.3,right,right,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,1,8,26,62.68,4.524,V_SHALLOW,77.85,71.47,172.57,right,left,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,2,4,4,36.29,4.195,V_DEEP,91.93,48.05,61.58,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,2,5,4,36.05,10.478,V_DEEP,91.93,,317.31,left,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,2,7,22,14.34,26.331,V_DEEP,91.93,66.22,491.14,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,2,8,26,62.68,2.645,V_SHALLOW,91.93,71.47,168.35,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,3,9,20,31.58,4.93,V_DEEP,106.16,31.19,77.09,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,4,9,18,35.31,11.539,V_DEEP,55.99,31.19,254.05,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,5,7,17,10.3,8.173,V_DEEP,,66.22,186.43,,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,5,8,21,36.05,7.915,V_DEEP,,71.47,172.22,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,5,9,29,35.31,6.236,V_DEEP,,31.19,189.84,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,6,14,4,54.75,2.998,V_SHALLOW,47.25,51.55,127.44,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,8,9,5,10.13,15.36,V_DEEP,50.3,31.19,127.54,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,8,10,18,41.25,2.177,V_DEEP,50.3,71.95,141.61,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,9,14,28,15.43,17.167,V_DEEP,13.75,51.55,160.28,left,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,10,12,25,60.62,5.883,V_SHALLOW,87.39,119.4,166.19,right,left,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,10,13,25,50.32,5.805,V_SHALLOW,87.39,121.59,42.96,right,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,12,18,17,38.25,11.247,V_DEEP,34.62,288.8,468.48,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,12,19,25,35.97,3.211,V_DEEP,34.62,68.92,325.27,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,13,15,5,2.1,56.641,V_DEEP,45.03,15.21,60.96,right,right,False,PARTIAL,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,13,16,24,44.59,5.473,V_DEEP,45.03,131.07,136.83,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,14,17,5,18.24,9.61,V_DEEP,52.69,60.22,110.54,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,15,18,17,50.94,6.131,V_SHALLOW,38.27,288.8,425.37,right,right,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,15,19,25,11.49,15.207,V_DEEP,38.27,68.92,124.93,right,left,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,17,21,5,22.44,7.957,V_DEEP,20.95,,181.72,right,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,17,24,25,22.44,7.281,V_DEEP,20.95,71.53,166.27,right,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,18,24,26,28.77,3.95,V_DEEP,32.77,71.53,299.99,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,18,23,26,46.78,3.842,V_DEEP,32.77,52.43,238.4,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,20,21,4,89.17,3.538,V_SHALLOW,278.1,,188.03,right,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,20,24,24,51.79,6.091,V_SHALLOW,278.1,71.53,327.07,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,20,23,24,65.59,4.809,V_SHALLOW,278.1,52.43,205.43,right,right,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,21,24,19,44.96,6.541,V_DEEP,,71.53,263.02,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,21,23,19,68.87,2.593,V_SHALLOW,,52.43,53.93,,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,21,25,30,18.39,9.709,V_DEEP,,83.23,160.29,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,22,26,5,11.59,10.699,V_DEEP,46.69,42.28,110.74,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,24,28,5,59.53,4.388,V_SHALLOW,60.58,238.21,234.31,right,right,False,,True,True,True,False,False,True
