kind,stem,from_tid,to_tid,gap,min_hand_dist,max_hand_dist,ratio,which_hand,classification,apex_frame,apex_x,apex_y
adjacent_vshape,identical_balls_trick_000_018,68,70,14,12.95,283.46,21.896,right,V_DEEP,1015,507.2,578.0
adjacent_vshape,identical_balls_trick_000_018,68,72,14,12.95,214.49,16.569,right,V_DEEP,1015,507.2,578.0
adjacent_vshape,identical_balls_trick_000_018,69,70,18,37.83,205.76,5.439,left,V_DEEP,1013,718.5,453.2
adjacent_vshape,identical_balls_trick_000_018,69,72,18,26.14,158.5,6.064,left,V_DEEP,1029,704.7,473.7
adjacent_vshape,identical_balls_trick_000_018,69,71,18,20.36,314.46,15.447,right,V_DEEP,1030,520.3,513.4
adjacent_vshape,identical_balls_trick_000_018,70,73,4,21.49,187.7,8.735,left,V_DEEP,1056,711.3,496.4
adjacent_vshape,identical_balls_trick_000_018,70,75,20,22.21,74.22,3.341,left,V_DEEP,1055,745.7,503.4
adjacent_vshape,identical_balls_trick_000_018,72,74,6,30.89,307.19,9.946,right,V_DEEP,1056,497.9,466.5
adjacent_vshape,identical_balls_trick_000_018,72,75,20,7.19,306.7,42.643,left,V_DEEP,1070,808.6,506.7
adjacent_vshape,identical_balls_trick_000_018,73,75,10,35.2,122.3,3.474,left,V_DEEP,1060,749.5,453.6
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,5,11,19,9.91,203.75,20.568,left,V_DEEP,237,619.1,429.0
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,5,12,27,17.36,158.43,9.124,left,V_DEEP,227,645.0,478.4
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,8.19,160.51,19.604,left,V_DEEP,107,638.3,432.7
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,6,9,17,8.83,94.63,10.715,right,V_DEEP,97,544.3,456.8
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,6,10,20,8.62,187.75,21.774,right,V_DEEP,111,574.4,409.9
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,8,21,38.51,130.83,3.397,right,V_DEEP,83,580.6,390.5
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,19,11.39,156.38,13.734,left,V_DEEP,426,639.0,464.7
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,4.69,180.78,38.56,right,V_DEEP,236,554.0,439.7
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,13,29,4.69,150.82,32.169,right,V_DEEP,236,554.0,439.7
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,15,30,13.56,186.21,13.73,right,V_DEEP,299,543.8,475.6
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,20,6.86,159.71,23.297,left,V_DEEP,309,649.6,436.7
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,16,30,6.86,134.07,19.558,left,V_DEEP,309,649.6,436.7
adjacent_vshape,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,15,2,5.94,186.21,31.359,right,V_DEEP,331,555.7,470.7
