frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
161,0,1,SINGLE_BALL,0.936,SINGLE_BALL
164,0,0,SINGLE_BALL,0.936,SINGLE_BALL
165,0,0,TWO_BALL,0.72,TWO_BALL
166,0,1,MIXED_3+,0.804,MIXED_3+
167,0,1,TWO_BALL,0.738,TWO_BALL
168,0,1,TWO_BALL,0.738,TWO_BALL
169,0,0,TWO_BALL,0.738,TWO_BALL
170,0,0,TWO_BALL,0.738,TWO_BALL
171,0,0,TWO_BALL,0.738,TWO_BALL
172,0,0,TWO_BALL,0.738,TWO_BALL
173,0,0,TWO_BALL,0.738,TWO_BALL
174,0,1,MIXED_3+,0.643,MIXED_3+
175,0,1,MIXED_3+,0.643,MIXED_3+
176,0,1,MIXED_3+,0.643,MIXED_3+
177,0,0,MIXED_3+,0.643,MIXED_3+
178,0,0,MIXED_3+,0.643,MIXED_3+
179,0,0,MIXED_3+,0.643,MIXED_3+
180,0,0,MIXED_3+,0.643,MIXED_3+
181,1,0,MIXED_3+,0.643,MIXED_3+
182,1,0,MIXED_3+,0.643,MIXED_3+
183,1,0,MIXED_3+,0.643,MIXED_3+
184,0,0,MIXED_3+,0.643,MIXED_3+
185,0,0,MIXED_3+,0.643,MIXED_3+
186,0,0,MIXED_3+,0.643,MIXED_3+
187,0,0,MIXED_3+,0.643,MIXED_3+
188,0,0,MIXED_3+,0.643,MIXED_3+
189,0,0,MIXED_3+,0.643,MIXED_3+
190,0,0,MIXED_3+,0.643,MIXED_3+
191,0,1,MIXED_3+,0.643,MIXED_3+
192,1,1,MIXED_3+,0.643,MIXED_3+
193,1,1,MIXED_3+,0.643,MIXED_3+
194,1,1,MIXED_3+,0.643,MIXED_3+
195,1,1,MIXED_3+,0.643,MIXED_3+
196,1,1,TWO_BALL,0.738,TWO_BALL
197,1,1,TWO_BALL,0.738,TWO_BALL
198,1,1,TWO_BALL,0.738,TWO_BALL
199,0,1,TWO_BALL,0.738,TWO_BALL
200,0,1,TWO_BALL,0.738,TWO_BALL
201,0,1,TWO_BALL,0.738,TWO_BALL
