pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
FOUNTAIN_3+,0.63,v5_confident,True,False,True,72,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,73,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,74,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,75,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,76,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,77,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,78,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,79,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.617,agree,True,True,False,80,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,True,True,False,81,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,True,True,False,82,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,True,True,False,83,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,True,True,False,84,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,True,True,False,85,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,True,True,False,86,TWO_BALL,0.735,TWO_BALL,0.5,2,2
CASCADE_3+,0.63,v5_confident,True,False,True,87,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,88,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
