frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
223,1,0,MIXED_3+,0.718,MIXED_3+
224,1,1,MIXED_3+,0.718,MIXED_3+
225,1,1,MIXED_3+,0.718,MIXED_3+
226,1,1,MIXED_3+,0.718,MIXED_3+
227,0,1,MIXED_3+,0.718,MIXED_3+
228,0,1,MIXED_3+,0.718,MIXED_3+
229,0,1,MIXED_3+,0.698,MIXED_3+
230,0,1,MIXED_3+,0.698,MIXED_3+
231,0,1,MIXED_3+,0.698,MIXED_3+
232,0,1,MIXED_3+,0.698,MIXED_3+
233,0,1,MIXED_3+,0.698,MIXED_3+
234,0,1,MIXED_3+,0.698,MIXED_3+
235,0,1,MIXED_3+,0.698,MIXED_3+
237,0,0,MIXED_3+,0.698,MIXED_3+
238,0,1,MIXED_3+,0.698,MIXED_3+
239,0,1,MIXED_3+,0.651,MIXED_3+
240,0,1,MIXED_3+,0.651,MIXED_3+
241,0,1,MIXED_3+,0.651,MIXED_3+
242,0,1,MIXED_3+,0.651,MIXED_3+
243,0,1,MIXED_3+,0.651,MIXED_3+
244,1,0,MIXED_3+,0.651,MIXED_3+
245,1,0,MIXED_3+,0.651,MIXED_3+
246,1,0,MIXED_3+,0.651,MIXED_3+
247,1,0,MIXED_3+,0.642,MIXED_3+
248,1,0,MIXED_3+,0.642,MIXED_3+
249,1,0,MIXED_3+,0.642,MIXED_3+
250,1,0,MIXED_3+,0.642,MIXED_3+
251,1,0,MIXED_3+,0.642,MIXED_3+
252,1,0,MIXED_3+,0.642,MIXED_3+
253,1,0,MIXED_3+,0.642,MIXED_3+
254,0,0,MIXED_3+,0.642,MIXED_3+
255,0,1,MIXED_3+,0.682,MIXED_3+
256,1,1,CASCADE_3+,0.682,CASCADE_3+
257,1,1,CASCADE_3+,0.681,CASCADE_3+
258,1,0,CASCADE_3+,0.681,CASCADE_3+
259,1,0,CASCADE_3+,0.681,CASCADE_3+
260,1,1,CASCADE_3+,0.681,CASCADE_3+
261,1,1,CASCADE_3+,0.681,CASCADE_3+
262,1,1,CASCADE_3+,0.681,CASCADE_3+
263,0,1,CASCADE_3+,0.681,CASCADE_3+
264,0,1,CASCADE_3+,0.681,CASCADE_3+
265,0,1,CASCADE_3+,0.681,CASCADE_3+
266,0,1,CASCADE_3+,0.681,CASCADE_3+
267,1,1,MIXED_3+,0.682,MIXED_3+
268,1,1,MIXED_3+,0.682,MIXED_3+
269,1,1,MIXED_3+,0.682,MIXED_3+
270,1,1,MIXED_3+,0.682,MIXED_3+
271,0,1,MIXED_3+,0.682,MIXED_3+
272,0,1,MIXED_3+,0.682,MIXED_3+
273,0,1,MIXED_3+,0.682,MIXED_3+
274,1,1,MIXED_3+,0.682,MIXED_3+
275,1,1,MIXED_3+,0.682,MIXED_3+
276,1,1,MIXED_3+,0.682,MIXED_3+
277,1,1,MIXED_3+,0.682,MIXED_3+
278,1,1,MIXED_3+,0.682,MIXED_3+
279,1,1,MIXED_3+,0.682,MIXED_3+
280,1,1,MIXED_3+,0.682,MIXED_3+
281,1,1,MIXED_3+,0.682,MIXED_3+
282,1,1,MIXED_3+,0.682,MIXED_3+
283,1,1,MIXED_3+,0.682,MIXED_3+
284,1,1,MIXED_3+,0.682,MIXED_3+
285,1,1,MIXED_3+,0.682,MIXED_3+
286,1,1,MIXED_3+,0.682,MIXED_3+
287,1,1,MIXED_3+,0.682,MIXED_3+
288,1,1,MIXED_3+,0.682,MIXED_3+
289,1,1,MIXED_3+,0.682,MIXED_3+
290,1,1,MIXED_3+,0.682,MIXED_3+
291,1,1,MIXED_3+,0.682,MIXED_3+
292,1,1,MIXED_3+,0.682,MIXED_3+
293,1,1,MIXED_3+,0.682,MIXED_3+
294,1,1,MIXED_3+,0.682,MIXED_3+
295,1,1,MIXED_3+,0.682,MIXED_3+
296,1,1,MIXED_3+,0.682,MIXED_3+
297,1,1,MIXED_3+,0.682,MIXED_3+
298,1,1,MIXED_3+,0.682,MIXED_3+
299,0,1,CASCADE_3+,0.682,CASCADE_3+
300,0,1,CASCADE_3+,0.698,CASCADE_3+
301,1,1,CASCADE_3+,0.698,CASCADE_3+
302,1,1,CASCADE_3+,0.698,CASCADE_3+
303,1,1,CASCADE_3+,0.698,CASCADE_3+
304,1,1,CASCADE_3+,0.698,CASCADE_3+
305,1,1,CASCADE_3+,0.698,CASCADE_3+
306,1,1,CASCADE_3+,0.698,CASCADE_3+
307,1,0,CASCADE_3+,0.698,CASCADE_3+
308,1,1,MIXED_3+,0.682,MIXED_3+
309,1,1,MIXED_3+,0.682,MIXED_3+
310,1,1,MIXED_3+,0.642,MIXED_3+
311,1,1,MIXED_3+,0.642,MIXED_3+
312,1,1,MIXED_3+,0.642,MIXED_3+
313,1,1,MIXED_3+,0.642,MIXED_3+
314,1,1,MIXED_3+,0.642,MIXED_3+
315,1,1,MIXED_3+,0.642,MIXED_3+
316,1,1,MIXED_3+,0.642,MIXED_3+
317,0,1,MIXED_3+,0.642,MIXED_3+
318,0,1,MIXED_3+,0.642,MIXED_3+
319,0,1,MIXED_3+,0.642,MIXED_3+
320,0,1,MIXED_3+,0.642,MIXED_3+
321,0,1,MIXED_3+,0.642,MIXED_3+
322,0,1,MIXED_3+,0.642,MIXED_3+
323,0,1,MIXED_3+,0.642,MIXED_3+
324,0,0,MIXED_3+,0.642,MIXED_3+
325,0,0,MIXED_3+,0.642,MIXED_3+
326,0,0,MIXED_3+,0.642,MIXED_3+
327,0,1,MIXED_3+,0.642,MIXED_3+
328,1,1,MIXED_3+,0.628,MIXED_3+
329,1,1,MIXED_3+,0.64,MIXED_3+
330,1,1,MIXED_3+,0.64,MIXED_3+
331,1,1,MIXED_3+,0.64,MIXED_3+
332,1,1,MIXED_3+,0.64,MIXED_3+
333,1,0,MIXED_3+,0.64,MIXED_3+
334,0,0,MIXED_3+,0.64,MIXED_3+
335,0,0,MIXED_3+,0.64,MIXED_3+
336,0,0,MIXED_3+,0.64,MIXED_3+
337,0,0,MIXED_3+,0.64,MIXED_3+
338,1,0,MIXED_3+,0.64,MIXED_3+
339,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
340,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
341,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
342,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
343,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
344,1,0,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
345,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
346,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
347,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
348,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
349,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
350,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
351,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
352,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
353,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
354,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
355,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
356,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
357,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
358,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
359,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
360,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
361,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
362,1,0,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
363,0,0,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
364,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
365,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
366,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
367,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
368,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
369,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
370,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
371,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
372,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
373,0,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
374,1,1,FOUNTAIN_3+,0.649,FOUNTAIN_REJECTED
375,1,1,MIXED_3+,0.649,MIXED_3+
376,1,1,MIXED_3+,0.657,MIXED_3+
377,0,1,MIXED_3+,0.657,MIXED_3+
378,0,1,MIXED_3+,0.657,MIXED_3+
379,0,0,MIXED_3+,0.657,MIXED_3+
380,0,1,MIXED_3+,0.657,MIXED_3+
381,1,1,MIXED_3+,0.649,MIXED_3+
382,1,1,MIXED_3+,0.649,MIXED_3+
383,1,1,MIXED_3+,0.649,MIXED_3+
384,1,1,MIXED_3+,0.649,MIXED_3+
385,1,1,MIXED_3+,0.649,MIXED_3+
386,1,1,MIXED_3+,0.649,MIXED_3+
387,1,1,MIXED_3+,0.649,MIXED_3+
388,1,0,MIXED_3+,0.649,MIXED_3+
389,1,0,MIXED_3+,0.649,MIXED_3+
390,1,1,MIXED_3+,0.649,MIXED_3+
391,1,1,MIXED_3+,0.649,MIXED_3+
392,1,1,MIXED_3+,0.649,MIXED_3+
393,1,0,MIXED_3+,0.649,MIXED_3+
394,1,1,MIXED_3+,0.649,MIXED_3+
