kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_inhand,src_inhand_count,src_inhand_min_d,tgt_inhand,tgt_inhand_count,tgt_inhand_min_d,in_hand_px,min_in_hand_frames,gap_dist,gap_vel,apex_src_dist,rejected_inhand,rejected_vel,rejected_apex,h20_reject_inhand,h20_keep,max_gap_vel,apex_src_dist_reject
adjacent,identical_balls_trick_000_018,6,15,16,V_DEEP,2.1,46.6,right,False,140,527.2,527.2,False,0,,True,3,2.1,30,3,97.06,8.82,83.86,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,7,10,8,V_SHALLOW,57.35,2.239,left,False,56,735.0,425.1,False,0,,False,0,,30,3,92.25,30.75,160.31,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,8,9,5,V_DEEP,10.13,15.36,left,False,55,737.8,478.0,False,0,,False,0,,30,3,98.18,,65.45,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,8,10,18,V_DEEP,41.25,2.177,left,False,63,826.6,522.6,False,0,,False,0,,30,3,116.18,8.94,77.43,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,9,12,6,V_DEEP,15.43,14.396,left,False,99,726.2,492.5,False,1,22.27,False,0,,30,3,66.35,66.35,76.84,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,9,13,6,V_DEEP,15.43,8.169,left,False,99,726.2,492.5,False,1,22.27,False,0,,30,3,103.26,103.26,76.84,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,9,14,28,V_DEEP,15.43,17.167,left,False,99,726.2,492.5,False,1,22.27,False,0,,30,3,161.05,7.0,76.84,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,10,11,8,V_DEEP,34.72,2.714,right,False,89,442.2,464.6,False,0,,False,0,,30,3,44.93,14.98,37.43,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,11,12,7,V_DEEP,40.62,8.78,right,False,103,518.1,444.5,False,0,,False,0,,30,3,279.61,139.8,46.55,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,11,13,7,V_DEEP,34.51,8.073,right,False,103,501.6,456.7,False,0,,False,0,,30,3,161.5,80.75,26.9,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,12,16,8,V_DEEP,38.25,8.854,left,False,151,781.0,539.6,False,0,,False,0,,30,3,280.41,93.47,31.37,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,12,17,16,V_DEEP,38.25,4.488,left,False,151,781.0,539.6,False,0,,False,0,,30,3,241.94,21.99,31.37,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,12,18,17,V_DEEP,38.25,11.247,left,False,151,781.0,539.6,False,0,,False,0,,30,3,418.41,34.87,31.37,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,12,19,25,V_DEEP,35.97,3.211,left,False,170,565.2,528.2,False,0,,False,0,,30,3,317.74,15.89,211.86,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,13,15,5,V_DEEP,2.1,56.641,right,False,140,527.2,527.2,False,0,,True,3,2.1,30,3,113.33,,133.22,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,13,16,24,V_DEEP,44.59,5.473,right,False,134,526.2,438.2,False,0,,False,0,,30,3,216.19,11.38,104.46,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,14,17,5,V_DEEP,18.24,9.61,right,False,170,568.1,401.5,False,0,,False,0,,30,3,235.35,,196.13,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,14,19,14,V_SHALLOW,54.08,3.241,right,False,160,508.3,447.4,False,0,,False,0,,30,3,62.31,6.92,138.31,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,15,16,8,V_DEEP,46.6,5.237,right,False,157,599.0,416.8,False,0,,False,0,,30,3,228.4,76.13,114.2,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,15,17,16,V_DEEP,27.68,3.371,right,False,162,592.1,419.8,False,0,,False,0,,30,3,168.38,15.31,112.29,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,15,18,17,V_SHALLOW,50.94,6.131,right,False,150,588.6,554.8,False,0,,False,0,,30,3,395.41,32.95,34.64,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,17,21,5,V_DEEP,22.44,7.957,right,False,208,606.1,505.6,True,3,24.66,False,0,,30,3,82.96,,80.51,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,17,22,13,V_DEEP,22.44,17.243,right,False,208,606.1,505.6,True,3,24.66,False,0,,30,3,301.39,37.67,80.51,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,17,24,25,V_DEEP,22.44,7.281,right,False,208,606.1,505.6,True,3,24.66,False,0,,30,3,177.67,8.88,80.51,False,False,False,False,True,70.0,20.0
