frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
179,5,0,0,5,0.609,CASCADE_3+,0.609,0
180,5,0,0,5,0.609,CASCADE_3+,0.609,0
181,5,0,0,5,0.609,CASCADE_3+,0.609,0
182,5,0,0,5,0.609,CASCADE_3+,0.609,0
183,5,0,0,5,0.609,CASCADE_3+,0.609,0
184,5,0,0,5,0.609,CASCADE_3+,0.609,0
185,5,0,0,5,0.609,CASCADE_3+,0.609,0
186,5,0,0,5,0.609,CASCADE_3+,0.609,0
187,5,0,0,5,0.609,CASCADE_3+,0.609,0
188,5,0,0,5,0.609,CASCADE_3+,0.609,0
189,5,0,0,5,0.609,CASCADE_3+,0.609,0
190,5,0,0,5,0.609,CASCADE_3+,0.609,0
191,5,0,0,5,0.609,CASCADE_3+,0.609,0
192,5,0,0,5,0.609,CASCADE_3+,0.609,0
193,5,0,0,5,0.609,CASCADE_3+,0.609,0
194,5,0,0,5,0.609,CASCADE_3+,0.609,0
195,5,0,0,5,0.609,CASCADE_3+,0.609,0
196,5,0,0,5,0.609,CASCADE_3+,0.609,0
197,5,0,0,5,0.609,CASCADE_3+,0.609,0
198,5,0,0,5,0.609,CASCADE_3+,0.609,0
199,5,0,0,5,0.609,CASCADE_3+,0.609,0
200,5,0,0,5,0.609,CASCADE_3+,0.609,0
201,5,0,0,5,0.609,CASCADE_3+,0.609,0
202,5,0,0,5,0.609,CASCADE_3+,0.609,0
203,5,0,0,5,0.609,CASCADE_3+,0.609,0
204,5,0,0,5,0.609,CASCADE_3+,0.609,0
205,5,0,0,5,0.609,CASCADE_3+,0.609,0
206,5,0,0,5,0.609,CASCADE_3+,0.609,0
207,5,0,0,5,0.609,CASCADE_3+,0.609,0
208,5,0,0,5,0.609,CASCADE_3+,0.609,0
209,5,0,0,5,0.609,CASCADE_3+,0.609,0
210,5,0,0,5,0.609,CASCADE_3+,0.609,0
211,5,0,0,5,0.609,CASCADE_3+,0.609,0
212,5,0,0,5,0.609,CASCADE_3+,0.609,0
213,5,0,0,5,0.609,CASCADE_3+,0.609,0
214,5,0,0,5,0.609,CASCADE_3+,0.609,0
215,5,0,0,5,0.609,CASCADE_3+,0.609,0
216,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
217,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
218,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
219,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
220,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
221,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
222,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
223,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
224,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
225,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
226,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
227,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
228,5,0,0,5,0.609,FOUNTAIN_3+,0.609,2
229,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
230,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
231,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
232,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
233,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
234,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
235,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
236,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
237,4,0,0,4,0.654,FOUNTAIN_3+,0.654,2
238,3,0,1,4,0.654,FOUNTAIN_3+,0.654,2
239,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
240,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
241,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
242,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
243,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
244,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
245,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
246,3,0,0,3,0.549,FOUNTAIN_3+,0.549,2
247,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
248,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
249,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
250,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
251,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
252,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
253,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
254,4,0,0,4,0.548,FOUNTAIN_3+,0.548,2
255,4,0,1,5,0.631,FOUNTAIN_3+,0.631,2
256,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
257,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
258,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
259,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
260,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
