pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.63,v5_confident,True,False,True,70,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,71,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,72,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,73,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,74,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,75,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,76,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,77,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,78,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,79,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,80,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,81,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,82,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,83,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,84,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,85,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,86,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,87,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
