video,stem,tid,first_frame,last_frame,n_pts,first_x,first_y,last_x,last_y,end_side,end_dist,end_slope,end_samples,end_pose_conf,start_side,start_dist,start_slope,start_samples,start_pose_conf
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,733,805,61,561.77,653.32,581.71,117.39,left,258.74,-21.133,5,0.782,right,50.3,1.404,5,0.782
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,51,765,766,2,622.7,513.94,622.02,511.14,,,,2,,,,,2,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,52,775,780,6,598.93,438.82,571.05,387.19,right,40.48,-12.177,5,0.649,right,94.24,-11.228,5,0.649
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,53,791,839,47,394.96,628.68,512.25,447.01,right,56.97,-24.622,5,0.619,left,69.51,-0.898,5,0.619
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,54,797,830,31,587.97,340.15,577.04,519.18,right,9.61,-8.958,5,0.244,right,39.11,11.996,5,0.244
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,55,811,811,1,596.36,304.11,596.36,304.11,,,,1,,,,,1,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,56,814,829,15,610.78,418.3,683.25,531.65,left,7.01,-12.578,5,0.192,left,12.71,-0.199,5,0.192
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,57,839,880,37,587.97,198.54,635.72,695.22,right,64.07,4.26,5,0.351,right,202.48,24.741,5,0.351
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,58,855,856,2,457.17,527.7,454.85,511.06,,,,2,,,,,2,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,856,872,11,662.0,342.84,668.97,601.23,right,46.08,-6.071,5,0.333,right,80.19,12.576,5,0.333
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,60,860,936,71,449.53,393.32,418.91,95.16,left,436.11,13.064,5,0.154,right,46.85,25.59,5,0.154
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,61,883,885,3,615.83,648.9,604.91,595.62,right,8.21,-11.556,3,0.156,right,31.32,-11.556,3,0.156
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,62,885,948,50,679.26,543.8,580.74,556.39,right,22.19,-4.908,5,0.419,left,1.78,16.915,5,0.419
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,63,890,945,52,587.24,414.1,741.46,644.0,left,63.06,12.897,5,0.157,right,37.24,21.359,5,0.157
