frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39v2_pattern
19,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
20,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
21,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
22,1,0,4,CATCH,5,1,0,5,MIXED_3+_UNCONFIRMED,0.399,True,True,True,MIXED_3+_UNCONFIRMED
23,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
24,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
25,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
26,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
27,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
28,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
29,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
30,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
31,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
32,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
33,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False,MIXED_3+_UNCONFIRMED
34,0,0,5,THROW,5,1,0,5,MIXED_3+_UNCONFIRMED,0.399,True,True,True,MIXED_3+_UNCONFIRMED
35,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
36,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
37,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
38,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
39,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
40,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
41,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
42,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
43,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
44,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
45,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
46,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
47,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
48,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
49,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
50,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
51,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
52,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
53,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
54,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
55,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
56,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
57,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
58,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED
59,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED
60,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED
61,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED
62,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED
63,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
64,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
65,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
66,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
67,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
68,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
69,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
70,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
71,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
72,0,1,4,CATCH,5,0,1,5,CASCADE_3+,0.665,True,True,True,CASCADE_3+
73,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
74,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
75,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
76,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
77,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
78,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
79,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
80,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
81,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
82,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+
83,0,0,5,THROW,5,0,1,5,MIXED_3+,0.665,True,True,True,MIXED_3+
84,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
85,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
86,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
87,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
88,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
89,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
90,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
91,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
92,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
93,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
94,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
95,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
96,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
97,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+
98,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
99,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
100,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
101,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
102,1,0,4,CATCH,4,1,0,4,CASCADE_3+,0.687,True,True,True,CASCADE_3+
103,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
104,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
105,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
106,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
107,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
108,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
109,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
110,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
111,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
112,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
113,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+
114,0,0,5,THROW,4,1,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
115,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
116,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+
117,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
118,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
119,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
120,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
121,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
122,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
123,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
124,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
125,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
126,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
127,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
128,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
129,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
130,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
131,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
132,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
133,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
134,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
135,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
136,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
137,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
138,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
139,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
140,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
141,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
142,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
143,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
144,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
145,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
146,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
147,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
148,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
149,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
150,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
151,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
152,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
153,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
154,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
155,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
156,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
157,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
158,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
159,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
160,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
161,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
162,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
163,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
164,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
165,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
166,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
167,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
168,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
169,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
170,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
171,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
172,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
173,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
174,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
175,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
176,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
177,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
178,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
179,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
180,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
181,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
182,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
183,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
184,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
185,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
186,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
187,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
188,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
189,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
190,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
191,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
192,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
193,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
194,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
195,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
196,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
197,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
198,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
199,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
200,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
201,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
202,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
203,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
204,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
205,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
206,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
207,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
208,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
209,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
210,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
211,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
212,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
213,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
214,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
215,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
216,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
217,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
218,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
219,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
220,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
221,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
222,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
223,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
224,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
225,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
226,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
227,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
228,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+
229,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
230,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
231,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
232,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
233,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
234,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
235,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
236,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
237,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True,MIXED_3+
238,0,1,4,CATCH,4,0,1,4,MIXED_3+,0.698,True,True,True,MIXED_3+
239,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
240,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
241,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
242,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
243,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
244,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
245,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
246,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False,MIXED_3+
247,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
248,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
249,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
250,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
251,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
252,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
253,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
254,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False,MIXED_3+
255,0,0,5,THROW,5,0,1,5,MIXED_3+,0.682,True,True,True,MIXED_3+
256,1,0,4,CATCH,5,1,0,5,CASCADE_3+,0.682,True,True,True,CASCADE_3+
257,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
258,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
259,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
260,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
261,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
262,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
263,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False,CASCADE_3+
