frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
109,3,0,0,3,3,3.32,2,CASCADE_3+_DETECTOR,0.7
110,3,0,0,3,3,2.83,2,CASCADE_3+_DETECTOR,0.7
111,3,0,0,3,3,2.67,2,CASCADE_3+_DETECTOR,0.7
112,3,0,0,3,3,2.62,2,CASCADE_3+_DETECTOR,0.7
113,3,0,0,3,3,3.29,2,CASCADE_3+_DETECTOR,0.7
114,4,0,0,4,4,2.95,2,CASCADE_3+_DETECTOR,0.7
115,4,0,0,4,4,3.18,2,CASCADE_3+_DETECTOR,0.7
116,4,0,0,4,4,3.04,2,CASCADE_3+_DETECTOR,0.7
117,5,0,0,5,5,1.49,2,CASCADE_3+_DETECTOR,0.7
118,5,0,0,5,5,2.76,2,CASCADE_3+_DETECTOR,0.7
119,5,0,0,5,5,2.69,2,CASCADE_3+_DETECTOR,0.7
120,5,0,0,5,5,3.26,2,CASCADE_3+_DETECTOR,0.7
121,5,0,0,5,5,3.36,2,CASCADE_3+_DETECTOR,0.7
122,5,0,0,5,5,2.84,2,CASCADE_3+_DETECTOR,0.7
123,5,0,0,5,5,3.1,2,CASCADE_3+_DETECTOR,0.7
124,5,0,0,5,5,2.96,2,CASCADE_3+_DETECTOR,0.7
125,5,0,0,5,5,2.33,2,CASCADE_3+_DETECTOR,0.7
126,5,0,0,5,5,3.14,2,CASCADE_3+_DETECTOR,0.7
127,5,0,0,5,5,2.83,2,CASCADE_3+_DETECTOR,0.7
128,5,0,0,5,5,3.22,2,CASCADE_3+_DETECTOR,0.7
129,5,0,0,5,5,3.27,2,CASCADE_3+_DETECTOR,0.7
130,5,0,0,5,5,3.25,2,CASCADE_3+_DETECTOR,0.7
131,5,0,0,5,5,2.93,2,CASCADE_3+_DETECTOR,0.7
132,5,0,0,5,5,2.42,2,CASCADE_3+_DETECTOR,0.7
133,5,0,0,5,5,2.75,2,CASCADE_3+_DETECTOR,0.7
134,5,0,0,5,5,2.58,2,CASCADE_3+_DETECTOR,0.7
135,5,0,0,5,5,2.57,2,CASCADE_3+_DETECTOR,0.7
136,5,0,0,5,5,2.59,2,CASCADE_3+_DETECTOR,0.7
137,5,0,0,5,5,3.17,2,CASCADE_3+_DETECTOR,0.7
138,5,0,0,5,5,2.4,2,CASCADE_3+_DETECTOR,0.7
139,5,0,0,5,5,2.61,2,CASCADE_3+_DETECTOR,0.7
140,5,0,0,5,5,3.13,2,CASCADE_3+_DETECTOR,0.7
141,5,0,0,5,5,3.04,2,CASCADE_3+_DETECTOR,0.7
142,5,0,0,5,5,2.86,2,CASCADE_3+_DETECTOR,0.7
143,5,0,0,5,5,2.95,2,CASCADE_3+_DETECTOR,0.7
144,5,0,0,5,5,3.42,2,CASCADE_3+_DETECTOR,0.7
145,5,0,0,5,5,3.37,2,CASCADE_3+_DETECTOR,0.7
146,5,0,0,5,5,2.53,2,CASCADE_3+_DETECTOR,0.7
147,5,0,0,5,5,2.88,2,CASCADE_3+_DETECTOR,0.7
148,5,0,0,5,5,2.3,2,CASCADE_3+_DETECTOR,0.7
149,5,0,0,5,5,2.14,2,CASCADE_3+_DETECTOR,0.7
150,5,0,0,5,5,2.93,2,CASCADE_3+_DETECTOR,0.7
151,5,0,0,5,5,2.85,2,CASCADE_3+_DETECTOR,0.7
152,5,0,0,5,5,2.59,2,CASCADE_3+_DETECTOR,0.7
153,5,0,0,5,5,2.4,2,CASCADE_3+_DETECTOR,0.7
154,5,0,0,5,5,2.91,2,CASCADE_3+_DETECTOR,0.7
155,5,0,0,5,5,2.38,2,CASCADE_3+_DETECTOR,0.7
156,5,0,0,5,5,2.52,2,CASCADE_3+_DETECTOR,0.7
157,5,0,0,5,5,2.95,2,CASCADE_3+_DETECTOR,0.7
158,5,0,0,5,5,2.74,2,CASCADE_3+_DETECTOR,0.7
159,5,0,0,5,5,2.93,2,CASCADE_3+_DETECTOR,0.7
160,5,0,0,5,5,3.32,2,CASCADE_3+_DETECTOR,0.7
161,5,0,0,5,5,3.18,2,CASCADE_3+_DETECTOR,0.7
162,5,0,0,5,5,2.66,2,CASCADE_3+_DETECTOR,0.7
163,5,0,0,5,5,3.06,2,CASCADE_3+_DETECTOR,0.7
164,5,0,0,5,5,3.24,2,CASCADE_3+_DETECTOR,0.7
165,5,0,0,5,5,2.93,2,CASCADE_3+_DETECTOR,0.7
166,5,0,0,5,5,3.51,2,CASCADE_3+_DETECTOR,0.7
167,5,0,0,5,5,3.14,2,CASCADE_3+_DETECTOR,0.7
168,5,0,0,5,5,2.47,2,CASCADE_3+_DETECTOR,0.7
