frame,L40v2,R40v2,h12_pattern,h12_conf
374,0,0,SINGLE_BALL,0.602
375,0,0,SINGLE_BALL,0.602
376,0,0,SINGLE_BALL,0.602
393,0,0,SINGLE_BALL,0.602
394,0,0,SINGLE_BALL,0.602
395,0,0,SINGLE_BALL,0.602
396,0,0,SINGLE_BALL,0.602
397,0,0,SINGLE_BALL,0.602
398,0,0,SINGLE_BALL,0.602
399,0,1,TWO_BALL,0.735
400,0,1,TWO_BALL,0.735
401,0,1,TWO_BALL,0.735
402,0,1,TWO_BALL,0.735
403,0,0,TWO_BALL,0.735
404,0,0,TWO_BALL,0.735
405,0,0,TWO_BALL,0.735
406,0,0,TWO_BALL,0.735
407,0,0,TWO_BALL,0.735
408,0,0,TWO_BALL,0.735
409,0,0,TWO_BALL,0.735
410,0,0,TWO_BALL,0.735
411,0,0,FOUNTAIN_3+,0.792
412,0,0,FOUNTAIN_3+,0.792
413,0,0,FOUNTAIN_3+,0.792
414,0,0,FOUNTAIN_3+,0.792
415,0,0,FOUNTAIN_3+,0.792
416,0,0,FOUNTAIN_3+,0.792
417,1,1,FOUNTAIN_3+,0.792
418,1,1,FOUNTAIN_3+,0.792
419,1,1,FOUNTAIN_3+,0.792
420,1,1,FOUNTAIN_3+,0.792
421,1,1,FOUNTAIN_3+,0.792
422,1,1,FOUNTAIN_3+,0.792
423,1,1,FOUNTAIN_3+,0.792
424,1,1,FOUNTAIN_3+,0.792
425,1,1,FOUNTAIN_3+,0.844
426,1,1,FOUNTAIN_3+,0.844
427,0,0,FOUNTAIN_3+,0.844
428,0,0,FOUNTAIN_3+,0.844
429,0,0,FOUNTAIN_3+,0.792
430,0,0,FOUNTAIN_3+,0.792
431,0,0,FOUNTAIN_3+,0.792
432,0,0,FOUNTAIN_3+,0.792
433,1,0,FOUNTAIN_3+,0.792
434,1,0,FOUNTAIN_3+,0.792
435,1,0,FOUNTAIN_3+,0.792
436,1,0,FOUNTAIN_3+,0.792
437,1,0,FOUNTAIN_3+,0.792
438,1,0,FOUNTAIN_3+,0.792
439,1,0,FOUNTAIN_3+,0.792
440,1,0,FOUNTAIN_3+,0.792
441,0,0,FOUNTAIN_3+,0.792
442,0,0,FOUNTAIN_3+,0.792
443,0,0,FOUNTAIN_3+,0.792
444,0,0,FOUNTAIN_3+,0.792
445,0,0,FOUNTAIN_3+,0.792
446,0,0,FOUNTAIN_3+,0.792
447,0,0,FOUNTAIN_3+,0.792
448,0,0,FOUNTAIN_3+,0.792
449,0,0,FOUNTAIN_3+,0.792
450,0,0,MIXED_3+,0.792
451,0,0,TWO_BALL,0.755
452,1,0,TWO_BALL,0.755
453,1,0,TWO_BALL,0.755
454,1,0,TWO_BALL,0.755
455,1,0,TWO_BALL,0.755
456,1,0,TWO_BALL,0.755
457,1,0,TWO_BALL,0.755
458,1,0,TWO_BALL,0.755
