frame,pattern,confidence,new_pattern
180,MIXED_3+,0.715,MIXED_3+
181,MIXED_3+,0.715,MIXED_3+
182,MIXED_3+,0.715,MIXED_3+
183,MIXED_3+,0.715,MIXED_3+
184,MIXED_3+,0.715,MIXED_3+
185,MIXED_3+,0.715,MIXED_3+
186,MIXED_3+,0.715,MIXED_3+
187,MIXED_3+,0.715,MIXED_3+
188,MIXED_3+,0.715,MIXED_3+
189,MIXED_3+,0.715,MIXED_3+
190,MIXED_3+,0.715,MIXED_3+
191,MIXED_3+,0.715,MIXED_3+
192,MIXED_3+,0.715,MIXED_3+
193,MIXED_3+,0.715,MIXED_3+
194,MIXED_3+,0.715,MIXED_3+
195,MIXED_3+,0.715,MIXED_3+
196,MIXED_3+,0.715,MIXED_3+
197,MIXED_3+,0.715,MIXED_3+
198,MIXED_3+,0.715,MIXED_3+
199,MIXED_3+,0.715,MIXED_3+
200,MIXED_3+,0.715,MIXED_3+
201,MIXED_3+,0.715,MIXED_3+
202,MIXED_3+,0.715,MIXED_3+
203,MIXED_3+,0.715,MIXED_3+
204,MIXED_3+,0.715,MIXED_3+
205,MIXED_3+,0.715,MIXED_3+
206,MIXED_3+,0.715,MIXED_3+
207,MIXED_3+,0.715,MIXED_3+
208,MIXED_3+,0.715,MIXED_3+
209,MIXED_3+,0.715,MIXED_3+
210,MIXED_3+,0.715,MIXED_3+
211,MIXED_3+,0.715,MIXED_3+
212,MIXED_3+,0.715,MIXED_3+
213,MIXED_3+,0.715,MIXED_3+
214,MIXED_3+,0.715,MIXED_3+
215,MIXED_3+,0.715,MIXED_3+
216,MIXED_3+,0.715,MIXED_3+
217,MIXED_3+,0.715,MIXED_3+
218,MIXED_3+,0.715,MIXED_3+
219,MIXED_3+,0.715,MIXED_3+
220,MIXED_3+,0.715,MIXED_3+
221,MIXED_3+,0.715,MIXED_3+
222,MIXED_3+,0.715,MIXED_3+
223,MIXED_3+,0.715,MIXED_3+
224,MIXED_3+,0.715,MIXED_3+
225,MIXED_3+,0.715,MIXED_3+
226,MIXED_3+,0.715,MIXED_3+
227,MIXED_3+,0.715,MIXED_3+
228,MIXED_3+,0.715,MIXED_3+
229,MIXED_3+,0.695,MIXED_3+
230,MIXED_3+,0.695,MIXED_3+
231,MIXED_3+,0.695,MIXED_3+
232,MIXED_3+,0.695,MIXED_3+
233,MIXED_3+,0.695,MIXED_3+
234,MIXED_3+,0.695,MIXED_3+
235,MIXED_3+,0.695,MIXED_3+
236,MIXED_3+,0.695,MIXED_3+
237,MIXED_3+,0.695,MIXED_3+
238,MIXED_3+,0.695,MIXED_3+
239,MIXED_3+,0.647,MIXED_3+
240,MIXED_3+,0.647,MIXED_3+
241,MIXED_3+,0.647,MIXED_3+
242,MIXED_3+,0.647,MIXED_3+
243,MIXED_3+,0.647,MIXED_3+
244,MIXED_3+,0.647,MIXED_3+
245,MIXED_3+,0.647,MIXED_3+
246,MIXED_3+,0.647,MIXED_3+
247,MIXED_3+,0.639,MIXED_3+
248,MIXED_3+,0.639,MIXED_3+
