frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
123,TWO_BALL,0.5,4,2,1,1,False,n_far=2
124,TWO_BALL,0.5,4,2,1,1,False,n_far=2
125,TWO_BALL,0.5,4,2,1,1,False,n_far=2
126,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
127,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
128,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
129,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
130,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
131,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
132,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
133,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
134,TWO_BALL,0.5,4,2,2,0,False,n_far=2
135,TWO_BALL,0.5,4,2,2,0,False,n_far=2
136,TWO_BALL,0.5,4,2,2,0,False,n_far=2
137,TWO_BALL,0.5,4,2,2,0,False,n_far=2
138,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
139,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
140,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
141,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
142,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
143,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
144,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
145,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
146,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
147,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
148,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
149,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
150,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
151,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
152,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
153,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
154,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
155,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
156,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
157,TWO_BALL,0.5,4,2,2,0,False,n_far=2
158,TWO_BALL,0.5,4,2,2,0,False,n_far=2
159,TWO_BALL,0.5,4,2,2,0,False,n_far=2
160,TWO_BALL,0.5,4,2,2,0,False,n_far=2
161,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
162,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
163,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
164,SINGLE_BALL,0.5,4,2,2,0,False,n_far=2
165,TWO_BALL,0.5,4,2,2,0,False,n_far=2
166,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
167,TWO_BALL,0.5,4,2,2,0,False,n_far=2
168,TWO_BALL,0.5,4,2,2,0,False,n_far=2
169,TWO_BALL,0.5,4,2,2,0,False,n_far=2
170,TWO_BALL,0.5,4,2,2,0,False,n_far=2
171,TWO_BALL,0.5,4,2,2,0,False,n_far=2
172,TWO_BALL,0.5,4,2,2,0,False,n_far=2
173,TWO_BALL,0.5,4,2,2,0,False,n_far=2
174,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
175,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
176,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
177,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
178,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
179,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
180,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
181,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
182,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
183,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
184,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
185,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
186,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
187,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
188,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
189,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
190,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
191,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
192,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
193,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
194,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
195,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
196,TWO_BALL,0.5,4,2,2,0,False,n_far=2
197,TWO_BALL,0.5,4,2,2,0,False,n_far=2
198,TWO_BALL,0.5,4,2,2,0,False,n_far=2
199,TWO_BALL,0.5,4,2,2,0,False,n_far=2
200,TWO_BALL,0.5,4,2,2,0,False,n_far=2
201,TWO_BALL,0.5,4,2,2,0,False,n_far=2
202,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
203,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
204,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
205,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
206,MIXED_3+_UNCONFIRMED,0.25,4,2,2,0,False,n_far=2
207,TWO_BALL_ONE_HAND,0.5,4,1,2,0,False,n_far=1
208,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
212,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
213,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
220,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
221,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
222,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
223,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
224,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
225,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
226,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
227,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
228,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
229,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
230,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
231,SINGLE_BALL,0.5,4,1,2,0,False,n_far=1
232,MIXED_3+_UNCONFIRMED,0.25,4,0,2,0,False,ambig_ratio=0.50
233,MIXED_3+_UNCONFIRMED,0.25,4,0,2,0,False,ambig_ratio=0.50
234,MIXED_3+_UNCONFIRMED,0.25,4,0,2,0,False,ambig_ratio=0.50
235,MIXED_3+_UNCONFIRMED,0.25,4,0,1,0,False,ambig_ratio=0.25
236,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
237,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
238,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
