kind,stem,src,tgt,vshape,in_hand_px,min_hand_dist,gap_dist,gap_vel,apex_src_dist,h20_keep,end_d,start_d,end_side,start_side,spatial_jump,h114_v1_default_fires,visual_qa_verdict,in_h7v3plus3,rule_a,rule_b,rule_c,fires_any
h20_kept,identical_balls_trick_000_018,54,57,V_DEEP,30.0,8.51,208.97,52.24,89.72,True,9.61,202.48,right,right,320.8262372375426,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,56,57,V_DEEP,30.0,7.11,300.47,60.09,41.0,True,7.01,202.48,left,right,346.46868617524444,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,56,59,V_DEEP,30.0,7.11,141.03,6.41,41.0,True,7.01,80.19,left,right,190.00204893632068,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,57,62,V_DEEP,30.0,12.52,344.65,,344.65,True,64.07,1.78,right,left,157.5555394138842,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,60,65,FLAT,30.0,101.56,468.56,31.24,468.58,True,436.11,98.22,left,left,472.94943535223723,True,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,62,65,V_DEEP,30.0,32.58,139.49,46.5,45.02,True,22.19,98.22,right,left,174.13722462471944,False,FALSE,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,62,67,V_DEEP,30.0,32.58,246.14,16.41,45.02,True,22.19,228.42,right,left,290.7512450532242,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,63,68,V_DEEP,30.0,34.83,240.64,12.03,275.75,True,63.06,36.23,left,right,181.86783882808973,False,,False,False,True,True,True
h20_kept,identical_balls_trick_000_018,66,67,V_DEEP,30.0,38.32,210.14,,15.63,True,32.65,228.42,left,left,210.31515399514134,False,UNCLEAR,False,True,False,True,True
h20_kept,identical_balls_trick_000_018,66,69,V_DEEP,30.0,18.3,136.65,17.08,68.33,True,32.65,75.57,left,left,116.43451764833313,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,67,72,V_DEEP,30.0,26.14,279.85,69.96,279.81,True,272.56,16.95,left,left,244.29262780526147,False,FALSE,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,68,70,V_DEEP,30.0,12.95,466.65,51.85,162.56,True,12.16,197.05,right,left,315.43566221973066,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,70,73,V_DEEP,30.0,21.49,210.35,,35.07,True,33.94,51.71,left,right,199.10099673281397,False,PARTIAL,False,False,True,True,True
h20_kept,identical_balls_trick_000_018,70,75,V_DEEP,30.0,22.21,133.76,8.92,0.06,True,33.94,71.05,left,left,169.99047061526707,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,73,75,V_DEEP,30.0,35.2,68.55,13.71,158.52,True,34.05,71.05,left,left,142.00647626076773,False,FALSE,False,False,False,True,True
h20_kept,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,V_DEEP,30.0,11.39,198.23,14.16,46.2,True,8.48,78.11,left,left,154.19866795793018,False,,False,False,False,True,True
h20_kept,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,V_DEEP,30.0,4.69,207.08,34.51,51.42,True,2.24,120.71,right,left,175.18421846730368,False,PARTIAL,False,False,False,True,True
h20_kept,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,V_DEEP,30.0,6.86,169.44,11.3,47.41,True,1.07,78.09,left,left,124.90471408237562,False,,False,False,False,True,True
h20_kept,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,28,V_DEEP,30.0,1.06,177.93,8.9,40.87,True,3.01,108.06,left,left,128.06484177946734,False,,False,False,False,True,True
