frame,L40,R40,A40,n_dets,L36,R36,A36,h12_pattern,h12_conf
224,2,0,2,4,0,0,5,MIXED_3+,0.718
225,1,0,1,2,0,0,5,MIXED_3+,0.718
226,1,1,0,2,0,0,5,MIXED_3+,0.718
227,0,1,2,3,0,0,5,MIXED_3+,0.718
228,0,2,1,3,0,0,5,MIXED_3+,0.718
229,0,2,0,2,0,0,5,MIXED_3+,0.698
230,0,2,0,2,0,0,5,MIXED_3+,0.698
231,1,0,3,4,0,0,5,MIXED_3+,0.698
232,1,0,1,2,0,0,5,MIXED_3+,0.698
233,1,0,0,1,0,0,5,MIXED_3+,0.698
234,0,0,1,1,0,0,5,MIXED_3+,0.698
235,0,0,1,1,0,0,5,MIXED_3+,0.698
236,0,0,0,,0,0,5,MIXED_3+,0.698
237,0,0,2,2,0,0,5,MIXED_3+,0.698
238,1,0,0,1,0,1,4,MIXED_3+,0.698
239,1,0,0,1,0,1,4,MIXED_3+,0.651
240,1,1,2,4,0,1,4,MIXED_3+,0.651
241,1,1,1,3,0,1,4,MIXED_3+,0.651
242,1,0,2,3,0,1,4,MIXED_3+,0.651
243,1,0,2,3,0,1,4,MIXED_3+,0.651
244,1,0,1,2,0,1,4,MIXED_3+,0.651
245,1,0,2,3,0,1,4,MIXED_3+,0.651
246,1,0,1,2,0,1,4,MIXED_3+,0.651
247,1,0,2,3,0,1,4,MIXED_3+,0.642
248,1,0,3,4,0,1,4,MIXED_3+,0.642
249,1,0,3,4,0,1,4,MIXED_3+,0.642
250,0,0,3,3,0,1,4,MIXED_3+,0.642
251,1,0,3,4,0,1,4,MIXED_3+,0.642
252,0,0,3,3,0,1,4,MIXED_3+,0.642
253,0,0,3,3,0,1,4,MIXED_3+,0.642
254,0,0,2,2,0,1,4,MIXED_3+,0.642
255,1,1,2,4,0,0,5,MIXED_3+,0.682
256,1,2,2,5,1,0,4,CASCADE_3+,0.682
257,1,2,0,3,1,0,4,CASCADE_3+,0.681
258,1,2,2,5,1,0,4,CASCADE_3+,0.681
259,1,1,1,3,1,0,4,CASCADE_3+,0.681
260,1,1,2,4,1,0,4,CASCADE_3+,0.681
261,1,1,3,5,1,0,4,CASCADE_3+,0.681
262,1,0,3,4,1,0,4,CASCADE_3+,0.681
263,1,0,1,2,1,0,4,CASCADE_3+,0.681
264,1,0,2,3,1,0,4,CASCADE_3+,0.681
265,1,0,3,4,1,0,4,CASCADE_3+,0.681
266,1,0,2,3,1,0,4,CASCADE_3+,0.681
267,2,0,3,5,0,0,5,MIXED_3+,0.682
268,1,0,3,4,0,0,5,MIXED_3+,0.682
269,0,1,3,4,0,0,5,MIXED_3+,0.682
270,1,1,2,4,0,0,5,MIXED_3+,0.682
271,1,1,1,3,0,0,5,MIXED_3+,0.682
272,2,1,2,5,0,0,5,MIXED_3+,0.682
273,2,1,0,3,0,0,5,MIXED_3+,0.682
274,2,1,2,5,0,0,5,MIXED_3+,0.682
275,1,1,3,5,0,0,5,MIXED_3+,0.682
276,1,1,3,5,0,0,5,MIXED_3+,0.682
277,2,0,3,5,0,0,5,MIXED_3+,0.682
278,2,0,3,5,0,0,5,MIXED_3+,0.682
279,1,0,2,3,0,0,5,MIXED_3+,0.682
280,2,0,3,5,0,0,5,MIXED_3+,0.682
281,2,0,3,5,0,0,5,MIXED_3+,0.682
282,2,0,3,5,0,0,5,MIXED_3+,0.682
283,2,0,2,4,0,0,5,MIXED_3+,0.682
284,2,1,2,5,0,0,5,MIXED_3+,0.682
285,1,2,2,5,0,0,5,MIXED_3+,0.682
286,1,2,2,5,0,0,5,MIXED_3+,0.682
287,1,2,2,5,0,0,5,MIXED_3+,0.682
288,0,1,3,4,0,0,5,MIXED_3+,0.682
289,0,1,2,3,0,0,5,MIXED_3+,0.682
290,1,1,1,3,0,0,5,MIXED_3+,0.682
291,2,0,3,5,0,0,5,MIXED_3+,0.682
292,2,0,1,3,0,0,5,MIXED_3+,0.682
293,2,0,3,5,0,0,5,MIXED_3+,0.682
294,1,0,3,4,0,0,5,MIXED_3+,0.682
295,2,0,3,5,0,0,5,MIXED_3+,0.682
296,2,0,3,5,0,0,5,MIXED_3+,0.682
297,1,0,2,3,0,0,5,MIXED_3+,0.682
298,0,0,2,2,0,0,5,MIXED_3+,0.682
299,1,1,2,4,0,1,4,CASCADE_3+,0.682
300,2,1,2,5,0,1,4,CASCADE_3+,0.698
301,2,1,2,5,0,1,4,CASCADE_3+,0.698
302,2,1,2,5,0,1,4,CASCADE_3+,0.698
303,2,1,1,4,0,1,4,CASCADE_3+,0.698
304,1,1,3,5,0,1,4,CASCADE_3+,0.698
305,1,0,3,4,0,1,4,CASCADE_3+,0.698
306,1,0,3,4,0,1,4,CASCADE_3+,0.698
307,0,0,3,3,0,1,4,CASCADE_3+,0.698
308,2,0,3,5,0,0,5,MIXED_3+,0.682
309,2,0,1,3,0,0,5,MIXED_3+,0.682
310,2,1,1,4,0,0,5,MIXED_3+,0.642
311,2,1,2,5,0,0,5,MIXED_3+,0.642
312,1,2,1,4,0,0,5,MIXED_3+,0.642
313,1,2,1,4,0,0,5,MIXED_3+,0.642
314,1,2,0,3,0,0,5,MIXED_3+,0.642
315,0,2,1,3,0,0,5,MIXED_3+,0.642
316,0,1,2,3,0,0,5,MIXED_3+,0.642
317,1,0,2,3,0,0,5,MIXED_3+,0.642
318,1,0,3,4,0,0,5,MIXED_3+,0.642
319,0,0,3,3,0,0,5,MIXED_3+,0.642
320,1,0,3,4,0,0,5,MIXED_3+,0.642
321,1,0,3,4,0,0,5,MIXED_3+,0.642
322,0,0,2,2,0,0,5,MIXED_3+,0.642
323,0,0,3,3,0,0,5,MIXED_3+,0.642
324,0,0,3,3,0,0,5,MIXED_3+,0.642
325,1,0,2,3,0,0,5,MIXED_3+,0.642
326,0,0,2,2,0,0,5,MIXED_3+,0.642
327,1,1,2,4,0,1,4,MIXED_3+,0.642
328,1,1,2,4,0,1,4,MIXED_3+,0.628
329,0,1,1,2,0,1,4,MIXED_3+,0.64
330,2,1,1,4,0,1,4,MIXED_3+,0.64
331,1,0,3,4,0,1,4,MIXED_3+,0.64
332,0,0,2,2,0,1,4,MIXED_3+,0.64
333,0,0,2,2,0,1,4,MIXED_3+,0.64
334,0,0,2,2,0,1,4,MIXED_3+,0.64
335,0,0,3,3,0,1,4,MIXED_3+,0.64
336,0,0,3,3,0,1,4,MIXED_3+,0.64
337,0,0,3,3,0,1,4,MIXED_3+,0.64
338,1,0,3,4,0,1,4,MIXED_3+,0.64
339,2,0,2,4,0,0,5,FOUNTAIN_3+,0.649
340,2,0,2,4,0,0,5,FOUNTAIN_3+,0.649
341,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
342,1,2,2,5,0,0,5,FOUNTAIN_3+,0.649
343,1,1,1,3,0,0,5,FOUNTAIN_3+,0.649
344,0,2,2,4,0,0,5,FOUNTAIN_3+,0.649
345,0,2,2,4,0,0,5,FOUNTAIN_3+,0.649
346,0,2,2,4,0,0,5,FOUNTAIN_3+,0.649
347,0,1,3,4,0,0,5,FOUNTAIN_3+,0.649
348,2,0,2,4,0,0,5,FOUNTAIN_3+,0.649
349,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
350,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
351,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
352,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
353,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
354,2,0,2,4,0,0,5,FOUNTAIN_3+,0.649
355,1,1,2,4,0,0,5,FOUNTAIN_3+,0.649
356,0,0,2,2,0,0,5,FOUNTAIN_3+,0.649
357,2,0,0,2,0,0,5,FOUNTAIN_3+,0.649
358,2,1,2,5,0,0,5,FOUNTAIN_3+,0.649
359,1,1,3,5,0,0,5,FOUNTAIN_3+,0.649
360,1,0,3,4,0,0,5,FOUNTAIN_3+,0.649
361,0,0,3,3,0,0,5,FOUNTAIN_3+,0.649
362,0,0,3,3,0,0,5,FOUNTAIN_3+,0.649
363,0,0,3,3,0,0,5,FOUNTAIN_3+,0.649
364,1,0,3,4,0,0,5,FOUNTAIN_3+,0.649
365,0,0,3,3,0,0,5,FOUNTAIN_3+,0.649
366,1,0,2,3,0,0,5,FOUNTAIN_3+,0.649
367,1,0,1,2,0,0,5,FOUNTAIN_3+,0.649
368,1,0,3,4,0,0,5,FOUNTAIN_3+,0.649
369,1,1,1,3,0,0,5,FOUNTAIN_3+,0.649
370,1,1,1,3,0,0,5,FOUNTAIN_3+,0.649
371,0,2,2,4,0,0,5,FOUNTAIN_3+,0.649
372,0,2,1,3,0,0,5,FOUNTAIN_3+,0.649
373,0,2,1,3,0,0,5,FOUNTAIN_3+,0.649
374,2,0,3,5,0,0,5,FOUNTAIN_3+,0.649
375,1,0,3,4,1,0,4,MIXED_3+,0.649
376,1,0,2,3,1,0,4,MIXED_3+,0.657
377,0,0,2,2,1,0,4,MIXED_3+,0.657
378,0,0,2,2,1,0,4,MIXED_3+,0.657
379,0,0,1,1,1,0,4,MIXED_3+,0.657
380,1,0,2,3,1,0,4,MIXED_3+,0.657
381,2,0,3,5,0,0,5,MIXED_3+,0.649
382,1,0,3,4,0,0,5,MIXED_3+,0.649
383,2,1,2,5,0,0,5,MIXED_3+,0.649
384,2,1,1,4,0,0,5,MIXED_3+,0.649
385,2,1,1,4,0,0,5,MIXED_3+,0.649
386,2,0,2,4,0,0,5,MIXED_3+,0.649
387,2,0,0,2,0,0,5,MIXED_3+,0.649
388,1,0,3,4,0,0,5,MIXED_3+,0.649
389,1,0,2,3,0,0,5,MIXED_3+,0.649
390,1,1,3,5,0,0,5,MIXED_3+,0.649
391,1,0,3,4,0,0,5,MIXED_3+,0.649
392,1,0,3,4,0,0,5,MIXED_3+,0.649
393,1,0,3,4,0,0,5,MIXED_3+,0.649
394,1,0,3,4,0,0,5,MIXED_3+,0.649
395,1,0,3,4,0,0,5,MIXED_3+,0.649
396,1,0,3,4,0,0,5,MIXED_3+,0.649
397,0,1,2,3,0,0,5,MIXED_3+,0.649
398,1,1,2,4,0,0,5,MIXED_3+,0.649
399,1,2,2,5,0,0,5,MIXED_3+,0.649
400,0,2,2,4,0,0,5,MIXED_3+,0.649
401,1,2,2,5,0,0,5,MIXED_3+,0.649
402,0,1,2,3,0,0,5,MIXED_3+,0.649
403,1,1,3,5,0,0,5,MIXED_3+,0.649
404,1,0,3,4,0,0,5,MIXED_3+,0.649
405,1,0,3,4,0,0,5,MIXED_3+,0.649
406,1,0,2,3,0,0,5,MIXED_3+,0.649
407,2,0,3,5,0,0,5,MIXED_3+,0.649
408,2,0,2,4,0,0,5,MIXED_3+,0.649
409,2,0,0,2,0,0,5,MIXED_3+,0.649
410,2,0,3,5,0,0,5,MIXED_3+,0.649
411,1,0,3,4,0,1,4,CASCADE_3+,0.649
412,0,1,0,1,0,1,4,CASCADE_3+,0.641
413,0,1,1,2,0,1,4,CASCADE_3+,0.641
414,2,1,2,5,0,1,4,CASCADE_3+,0.641
415,2,1,2,5,0,1,4,CASCADE_3+,0.641
416,2,1,2,5,0,1,4,CASCADE_3+,0.641
417,1,0,1,2,0,1,4,CASCADE_3+,0.641
418,1,0,1,2,0,1,4,CASCADE_3+,0.641
419,1,0,3,4,0,1,4,CASCADE_3+,0.641
420,1,0,1,2,0,0,5,MIXED_3+,0.649
421,1,0,3,4,0,0,5,MIXED_3+,0.649
422,1,0,3,4,0,0,5,MIXED_3+,0.649
423,1,0,3,4,0,0,5,MIXED_3+,0.649
424,1,0,2,3,0,0,5,MIXED_3+,0.649
425,1,0,2,3,0,0,5,MIXED_3+,0.649
426,1,1,2,4,0,0,5,MIXED_3+,0.649
427,0,2,1,3,0,0,5,MIXED_3+,0.663
428,0,2,2,4,0,0,5,MIXED_3+,0.663
429,0,2,1,3,0,0,5,MIXED_3+,0.663
430,0,2,2,4,0,0,5,MIXED_3+,0.663
431,0,0,3,3,0,0,5,MIXED_3+,0.663
432,1,0,3,4,0,0,5,MIXED_3+,0.663
433,1,0,3,4,0,0,5,MIXED_3+,0.663
434,0,0,3,3,0,0,5,MIXED_3+,0.663
435,1,0,2,3,0,0,5,MIXED_3+,0.663
436,1,0,2,3,0,0,5,MIXED_3+,0.663
437,0,0,3,3,0,0,5,MIXED_3+,0.663
438,0,0,3,3,0,0,5,MIXED_3+,0.663
439,0,0,3,3,0,0,5,MIXED_3+,0.663
440,0,1,3,4,0,0,5,MIXED_3+,0.663
441,1,1,2,4,0,0,5,MIXED_3+,0.663
442,1,1,2,4,0,0,5,MIXED_3+,0.663
443,1,1,2,4,0,0,5,MIXED_3+,0.663
444,1,0,2,3,0,0,5,MIXED_3+,0.663
445,2,1,2,5,0,0,5,MIXED_3+,0.654
446,2,1,2,5,0,0,5,MIXED_3+,0.654
447,1,0,3,4,0,0,5,MIXED_3+,0.654
448,1,1,3,5,0,0,5,MIXED_3+,0.654
449,1,0,3,4,0,0,5,MIXED_3+,0.654
450,1,0,3,4,0,0,5,MIXED_3+,0.654
451,2,0,3,5,0,0,5,MIXED_3+,0.654
452,0,0,3,3,0,0,5,MIXED_3+,0.654
453,1,0,3,4,0,0,5,MIXED_3+,0.654
454,1,0,0,1,0,0,5,MIXED_3+,0.654
455,1,0,1,2,0,0,5,MIXED_3+,0.654
456,1,1,2,4,0,0,5,MIXED_3+,0.654
457,0,2,2,4,0,0,5,MIXED_3+,0.654
458,0,2,1,3,0,0,5,MIXED_3+,0.654
459,1,2,2,5,0,0,5,MIXED_3+,0.654
460,0,1,3,4,0,0,5,MIXED_3+,0.654
461,0,0,2,2,0,0,5,MIXED_3+,0.654
462,1,0,3,4,0,0,5,MIXED_3+,0.654
463,1,0,3,4,0,0,5,MIXED_3+,0.654
