frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
147,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
148,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
149,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
150,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
151,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
152,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
153,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
154,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
155,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
156,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
157,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
158,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
159,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
160,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
161,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
162,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
163,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
164,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
165,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
166,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
167,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
168,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
169,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
170,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
171,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
172,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
173,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
174,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
175,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
176,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
177,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
178,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
179,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
180,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
181,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
182,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
183,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
184,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
185,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
186,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
187,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
188,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
189,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
190,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
191,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
192,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
193,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
194,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
195,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
196,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
197,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
198,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
199,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
200,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
201,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
202,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
203,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
204,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
205,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
206,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
207,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
208,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
209,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
210,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
211,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
212,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
213,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
214,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
215,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
216,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
217,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
218,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
219,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
220,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
221,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
222,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
223,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
224,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
225,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
226,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
227,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
228,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
229,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
230,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
231,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
232,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
233,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
234,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
235,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
236,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
237,4,0,0,4,0.698,MIXED_3+,0.698,MIXED_3+
238,4,0,1,4,0.698,MIXED_3+,0.698,MIXED_3+
239,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
240,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
241,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
242,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
243,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
244,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
245,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
246,3,0,0,3,0.651,MIXED_3+,0.651,MIXED_3+
