frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
166,3,0,0,3,3,4.73,1,FOUNTAIN_3+_DETECTOR,0.7
167,2,0,0,2,3,2.62,1,TWO_BALL,0.5
168,2,0,0,2,3,1.05,0,TWO_BALL,0.5
169,2,0,0,2,3,6.54,1,TWO_BALL,0.5
170,2,0,0,2,3,6.59,1,TWO_BALL,0.5
171,2,0,0,2,3,6.66,1,TWO_BALL,0.5
172,2,0,0,2,2,13.63,1,TWO_BALL,0.5
173,2,0,0,2,2,12.52,1,TWO_BALL,0.5
174,3,0,0,3,3,11.18,1,FOUNTAIN_3+_DETECTOR,0.7
175,3,0,0,3,3,15.32,2,CASCADE_3+_DETECTOR,0.7
176,3,0,0,3,3,11.75,2,CASCADE_3+_DETECTOR,0.7
177,3,0,0,3,3,8.61,2,CASCADE_3+_DETECTOR,0.7
178,3,0,0,3,3,5.57,1,FOUNTAIN_3+_DETECTOR,0.7
179,3,0,0,3,3,4.08,1,FOUNTAIN_3+_DETECTOR,0.7
180,3,0,0,3,3,3.23,1,FOUNTAIN_3+_DETECTOR,0.7
181,3,0,0,3,3,2.59,1,FOUNTAIN_3+_DETECTOR,0.7
182,3,0,0,3,3,2.86,1,FOUNTAIN_3+_DETECTOR,0.7
183,3,0,0,3,3,4.62,1,FOUNTAIN_3+_DETECTOR,0.7
184,3,0,0,3,3,3.46,1,FOUNTAIN_3+_DETECTOR,0.7
185,3,0,0,3,3,1.58,1,FOUNTAIN_3+_DETECTOR,0.7
186,3,0,0,3,3,2.19,1,FOUNTAIN_3+_DETECTOR,0.7
187,3,0,0,3,3,2.5,1,FOUNTAIN_3+_DETECTOR,0.7
188,3,0,0,3,3,2.22,1,FOUNTAIN_3+_DETECTOR,0.7
189,3,0,0,3,3,2.72,1,FOUNTAIN_3+_DETECTOR,0.7
190,3,0,0,3,3,5.08,1,FOUNTAIN_3+_DETECTOR,0.7
191,3,0,0,3,3,1.78,1,FOUNTAIN_3+_DETECTOR,0.7
192,3,0,0,3,3,13.17,1,FOUNTAIN_3+_DETECTOR,0.7
193,3,0,0,3,3,22.29,2,CASCADE_3+_DETECTOR,0.7
194,3,0,0,3,3,21.34,2,CASCADE_3+_DETECTOR,0.7
195,3,0,0,3,3,18.91,2,CASCADE_3+_DETECTOR,0.7
196,2,0,0,2,3,17.85,2,TWO_BALL,0.5
197,2,0,0,2,3,14.41,2,TWO_BALL,0.5
198,2,0,0,2,3,14.18,2,TWO_BALL,0.5
199,2,0,0,2,3,12.66,2,TWO_BALL,0.5
200,2,0,0,2,3,12.02,2,TWO_BALL,0.5
201,2,0,0,2,2,10.38,2,TWO_BALL,0.5
202,3,0,0,3,3,8.86,2,CASCADE_3+_DETECTOR,0.7
203,3,0,0,3,3,7.03,2,CASCADE_3+_DETECTOR,0.7
204,3,0,0,3,3,5.15,2,CASCADE_3+_DETECTOR,0.7
205,3,0,0,3,3,5.2,2,CASCADE_3+_DETECTOR,0.7
206,3,0,0,3,3,5.75,2,CASCADE_3+_DETECTOR,0.7
207,2,0,0,2,3,5.9,2,TWO_BALL,0.5
208,1,0,0,1,3,5.86,2,SINGLE_BALL,0.5
209,0,0,0,0,3,5.86,2,NO_BALL,1.0
210,0,0,0,0,3,5.86,2,NO_BALL,1.0
211,0,0,0,0,3,5.86,2,NO_BALL,1.0
212,1,0,0,1,3,4.89,2,SINGLE_BALL,0.5
213,1,0,0,1,2,2.95,2,SINGLE_BALL,0.5
214,0,0,0,0,1,0.0,0,NO_BALL,1.0
215,0,0,0,0,1,0.0,0,NO_BALL,1.0
216,0,0,0,0,1,0.0,0,NO_BALL,1.0
217,0,0,0,0,1,0.0,0,NO_BALL,1.0
218,0,0,0,0,0,0.0,0,NO_BALL,0.0
219,0,0,0,0,0,0.0,0,NO_BALL,0.0
220,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
221,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
222,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
223,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
224,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
225,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
226,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
227,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
228,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
229,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
230,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
231,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
232,3,0,0,3,3,1.55,1,FOUNTAIN_3+_DETECTOR,0.7
233,3,0,0,3,3,3.25,1,FOUNTAIN_3+_DETECTOR,0.7
234,3,0,0,3,3,1.75,1,FOUNTAIN_3+_DETECTOR,0.7
235,3,0,0,3,3,1.21,1,FOUNTAIN_3+_DETECTOR,0.7
236,2,0,0,2,3,3.39,2,TWO_BALL,0.5
237,2,0,0,2,3,1.21,1,TWO_BALL,0.5
238,2,0,0,2,3,5.66,2,TWO_BALL,0.5
239,2,0,0,2,3,6.04,2,TWO_BALL,0.5
240,2,0,0,2,3,5.18,2,TWO_BALL,0.5
241,2,0,0,2,2,5.13,2,TWO_BALL,0.5
242,2,0,0,2,2,4.56,2,TWO_BALL,0.5
243,3,0,0,3,3,4.59,2,CASCADE_3+_DETECTOR,0.7
244,3,0,0,3,3,4.25,2,CASCADE_3+_DETECTOR,0.7
245,3,0,0,3,3,4.71,2,CASCADE_3+_DETECTOR,0.7
246,3,0,0,3,3,4.41,1,FOUNTAIN_3+_DETECTOR,0.7
247,3,0,0,3,3,4.35,2,CASCADE_3+_DETECTOR,0.7
248,3,0,0,3,3,4.42,2,CASCADE_3+_DETECTOR,0.7
249,3,0,0,3,3,4.2,1,FOUNTAIN_3+_DETECTOR,0.7
250,3,0,0,3,3,2.9,1,FOUNTAIN_3+_DETECTOR,0.7
251,3,0,0,3,3,4.89,1,FOUNTAIN_3+_DETECTOR,0.7
252,3,0,0,3,3,8.62,1,FOUNTAIN_3+_DETECTOR,0.7
253,2,0,0,2,3,3.76,1,TWO_BALL,0.5
254,2,0,0,2,3,3.91,1,TWO_BALL,0.5
255,2,0,0,2,3,4.09,1,TWO_BALL,0.5
256,1,0,0,1,3,3.77,1,SINGLE_BALL,0.5
257,2,0,0,2,3,2.95,1,TWO_BALL,0.5
258,2,0,0,2,2,3.46,1,TWO_BALL,0.5
259,2,0,0,2,2,6.7,1,TWO_BALL,0.5
260,2,0,0,2,2,4.0,1,TWO_BALL,0.5
261,2,0,0,2,2,4.3,1,TWO_BALL,0.5
262,2,0,0,2,2,4.84,1,TWO_BALL,0.5
263,3,0,0,3,3,6.66,1,FOUNTAIN_3+_DETECTOR,0.7
264,3,0,0,3,3,3.37,1,FOUNTAIN_3+_DETECTOR,0.7
265,3,0,0,3,3,5.39,1,FOUNTAIN_3+_DETECTOR,0.7
266,3,0,0,3,3,3.07,1,FOUNTAIN_3+_DETECTOR,0.7
267,3,0,0,3,3,5.07,1,FOUNTAIN_3+_DETECTOR,0.7
268,3,0,0,3,3,2.72,1,FOUNTAIN_3+_DETECTOR,0.7
269,3,0,0,3,3,3.8,1,FOUNTAIN_3+_DETECTOR,0.7
270,3,0,0,3,3,2.14,1,FOUNTAIN_3+_DETECTOR,0.7
271,3,0,0,3,3,3.7,1,FOUNTAIN_3+_DETECTOR,0.7
272,3,0,0,3,3,2.09,1,FOUNTAIN_3+_DETECTOR,0.7
273,3,0,0,3,3,3.5,1,FOUNTAIN_3+_DETECTOR,0.7
274,3,0,0,3,3,1.77,1,FOUNTAIN_3+_DETECTOR,0.7
275,3,0,0,3,3,2.22,1,FOUNTAIN_3+_DETECTOR,0.7
276,3,0,0,3,3,1.13,1,FOUNTAIN_3+_DETECTOR,0.7
277,3,0,0,3,3,1.9,1,FOUNTAIN_3+_DETECTOR,0.7
278,3,0,0,3,3,1.0,1,FOUNTAIN_3+_DETECTOR,0.7
279,3,0,0,3,3,1.37,1,FOUNTAIN_3+_DETECTOR,0.7
280,3,0,0,3,3,0.66,1,FOUNTAIN_3+_DETECTOR,0.7
281,3,0,0,3,3,1.26,1,FOUNTAIN_3+_DETECTOR,0.7
282,3,0,0,3,3,0.69,0,MIXED_3+,0.4
283,3,0,0,3,3,0.71,1,FOUNTAIN_3+_DETECTOR,0.7
284,3,0,0,3,3,0.51,0,MIXED_3+,0.4
285,3,0,0,3,3,1.43,1,FOUNTAIN_3+_DETECTOR,0.7
286,3,0,0,3,3,1.08,0,MIXED_3+,0.4
287,3,0,0,3,3,1.75,1,FOUNTAIN_3+_DETECTOR,0.7
288,3,0,0,3,3,1.18,0,MIXED_3+,0.4
289,3,0,0,3,3,1.07,1,FOUNTAIN_3+_DETECTOR,0.7
290,3,0,0,3,3,0.6,0,MIXED_3+,0.4
291,3,0,0,3,3,1.15,1,FOUNTAIN_3+_DETECTOR,0.7
292,3,0,0,3,3,0.67,0,MIXED_3+,0.4
293,3,0,0,3,3,5.1,2,CASCADE_3+_DETECTOR,0.7
294,3,0,0,3,3,3.48,1,FOUNTAIN_3+_DETECTOR,0.7
295,3,0,0,3,3,2.7,2,CASCADE_3+_DETECTOR,0.7
