frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
143,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
144,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
145,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
146,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
147,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
148,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
149,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
150,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
151,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
152,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
153,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
154,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
155,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
156,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
157,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
158,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
159,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
160,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
161,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
162,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
163,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
164,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
165,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
166,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
