kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_to_apex_dy,tgt_to_apex_dy,src_to_apex_dist,tgt_to_apex_dist,src_above,tgt_above,both_above,src_descending,tgt_ascending,h30_pass,h30_catch_ok,h30_throw_ok
adjacent,identical_balls_trick_000_018,12,19,25,V_DEEP,35.97,3.211,left,False,170,565.2,528.2,-19.6,9.8,211.8,105.9,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,13,15,5,V_DEEP,2.1,56.641,right,False,140,527.2,527.2,-81.7,-36.0,133.2,36.1,True,True,True,True,True,True,True,True
adjacent,identical_balls_trick_000_018,13,16,24,V_DEEP,44.59,5.473,right,False,134,526.2,438.2,7.3,-134.7,104.5,147.0,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,14,17,5,V_DEEP,18.24,9.61,right,False,170,568.1,401.5,184.0,-36.8,196.1,39.2,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,14,19,14,V_SHALLOW,54.08,3.241,right,False,160,508.3,447.4,138.1,90.6,138.3,102.8,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,15,16,8,V_DEEP,46.6,5.237,right,False,157,599.0,416.8,113.3,-113.3,114.2,114.2,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,15,17,16,V_DEEP,27.68,3.371,right,False,162,592.1,419.8,110.3,-55.1,112.3,56.1,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,15,18,17,V_SHALLOW,50.94,6.131,right,False,150,588.6,554.8,-24.7,-419.2,34.6,419.2,True,True,True,True,True,True,True,True
adjacent,identical_balls_trick_000_018,17,21,5,V_DEEP,22.44,7.957,right,False,208,606.1,505.6,-79.4,-161.7,80.5,161.8,True,True,True,True,False,True,True,True
adjacent,identical_balls_trick_000_018,17,22,13,V_DEEP,22.44,17.243,right,False,208,606.1,505.6,-79.4,-380.8,80.5,381.1,True,True,True,True,True,True,True,True
adjacent,identical_balls_trick_000_018,17,24,25,V_DEEP,22.44,7.281,right,False,208,606.1,505.6,-79.4,16.9,80.5,163.7,True,False,False,True,False,True,True,False
adjacent,identical_balls_trick_000_018,18,21,6,V_DEEP,46.78,6.287,left,False,208,745.9,548.6,-16.9,-204.8,18.5,249.9,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,18,22,14,V_DEEP,46.78,10.843,left,False,208,745.9,548.6,-16.9,-423.8,18.5,451.1,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,18,24,26,V_DEEP,28.77,3.95,left,False,231,494.9,524.0,7.7,-1.5,258.5,51.7,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,18,23,26,V_DEEP,46.78,3.842,left,False,208,745.9,548.6,-16.9,-182.6,18.5,232.4,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,20,23,24,V_SHALLOW,65.59,4.809,right,False,229,565.3,337.2,-57.7,28.8,93.6,46.8,True,False,False,True,True,True,True,False
adjacent,identical_balls_trick_000_018,21,23,19,V_SHALLOW,68.87,2.593,right,False,232,602.1,366.1,-120.7,0.0,120.8,0.0,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,24,28,5,V_SHALLOW,59.53,4.388,right,False,334,586.9,367.1,44.5,-222.3,45.2,226.0,False,True,False,False,False,True,False,True
adjacent,identical_balls_trick_000_018,28,30,17,V_SHALLOW,99.55,3.34,right,False,400,664.0,263.5,-246.0,-0.4,246.9,0.9,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,29,33,1,V_DEEP,5.63,16.183,left,False,469,699.7,489.7,-50.7,25.3,58.6,29.3,True,False,False,True,True,True,True,False
adjacent,identical_balls_trick_000_018,31,39,23,V_SHALLOW,66.15,7.404,right,False,545,614.8,400.4,-312.8,0.0,332.2,0.0,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,31,40,27,V_SHALLOW,94.49,5.004,left,False,549,687.7,406.5,-319.0,0.0,368.6,0.0,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,35,36,11,V_DEEP,15.27,29.629,left,False,527,725.7,507.5,0.0,-393.5,0.0,452.9,False,True,False,False,True,True,False,True
adjacent,identical_balls_trick_000_018,35,38,11,V_DEEP,6.99,13.619,left,False,528,707.8,507.6,-0.1,0.5,17.8,89.2,False,False,False,False,False,False,False,False
adjacent,identical_balls_trick_000_018,35,39,23,V_DEEP,14.06,10.991,left,False,530,707.2,489.6,17.8,-89.2,25.7,128.5,False,True,False,False,False,True,False,True
adjacent,identical_balls_trick_000_018,35,40,27,V_DEEP,15.27,7.486,left,False,527,725.7,507.5,0.0,-100.9,0.0,107.8,False,True,False,False,False,True,False,True
adjacent,identical_balls_trick_000_018,39,46,3,V_SHALLOW,51.9,3.355,left,False,685,590.2,363.4,-133.8,66.9,138.2,69.1,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,40,42,11,V_DEEP,19.22,9.886,right,False,588,600.1,372.6,-29.4,146.9,37.5,187.5,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,41,45,23,V_DEEP,43.62,1.646,right,False,619,619.9,325.6,6.3,-12.5,6.3,12.6,False,False,False,False,True,False,False,False
adjacent,identical_balls_trick_000_018,44,53,11,V_SHALLOW,55.9,3.487,left,False,780,446.9,615.3,183.2,13.4,183.3,53.6,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,44,54,17,V_SHALLOW,51.67,8.242,right,False,797,588.0,340.1,458.4,0.0,479.3,0.0,False,False,False,True,True,False,False,False
adjacent,identical_balls_trick_000_018,46,50,17,V_DEEP,19.9,3.157,right,False,718,581.9,600.8,5.1,52.6,6.4,56.3,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,54,57,9,V_DEEP,8.51,38.118,right,False,831,576.4,496.7,-89.7,-298.2,89.8,298.4,True,True,True,True,True,True,True,True
adjacent,identical_balls_trick_000_018,54,58,25,V_DEEP,8.51,23.391,right,False,831,576.4,496.7,-89.7,31.0,89.8,123.2,True,False,False,True,False,True,True,False
adjacent,identical_balls_trick_000_018,54,60,30,V_DEEP,8.51,33.41,right,False,831,576.4,496.7,-89.7,-103.4,89.8,163.7,True,True,True,True,False,True,True,True
adjacent,identical_balls_trick_000_018,56,57,10,V_DEEP,7.11,65.473,left,False,830,684.7,521.5,-40.6,-323.0,41.0,337.2,True,True,True,True,True,True,True,True
adjacent,identical_balls_trick_000_018,56,58,26,V_DEEP,7.11,13.656,left,False,830,684.7,521.5,-40.6,6.2,41.0,227.6,True,False,False,True,False,True,True,False
adjacent,identical_balls_trick_000_018,56,59,27,V_DEEP,7.11,29.519,left,False,830,684.7,521.5,-40.6,-178.7,41.0,180.1,True,True,True,True,True,True,True,True
