pattern_v6b,confidence_v6b,source,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.7,agree,132,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,133,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.57,agree,134,TWO_BALL,0.639,TWO_BALL,0.5,2,2
TWO_BALL,0.57,agree,135,TWO_BALL,0.639,TWO_BALL,0.5,2,2
TWO_BALL,0.57,agree,136,TWO_BALL,0.639,TWO_BALL,0.5,2,2
TWO_BALL,0.57,agree,137,TWO_BALL,0.639,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,138,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,139,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,140,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,141,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,142,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,143,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,144,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,145,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,146,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,147,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,148,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,149,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
SINGLE_BALL,0.674,agree,150,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,151,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,152,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,153,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,154,SINGLE_BALL,0.849,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.674,agree,155,SINGLE_BALL,0.849,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.674,agree,156,SINGLE_BALL,0.849,SINGLE_BALL,0.5,1,1
TWO_BALL,0.57,agree,157,TWO_BALL,0.639,TWO_BALL,0.5,1,2
TWO_BALL,0.57,agree,158,TWO_BALL,0.639,TWO_BALL,0.5,1,2
TWO_BALL,0.57,agree,159,TWO_BALL,0.639,TWO_BALL,0.5,1,2
TWO_BALL,0.57,agree,160,TWO_BALL,0.639,TWO_BALL,0.5,1,2
SINGLE_BALL,0.465,agree,161,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.465,agree,162,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.465,agree,163,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.465,agree,164,SINGLE_BALL,0.429,SINGLE_BALL,0.5,1,1
TWO_BALL,0.431,agree,165,TWO_BALL,0.363,TWO_BALL,0.5,1,2
FOUNTAIN_3+,0.7,agree,166,MIXED_3+,0.385,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.431,agree,167,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,168,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,169,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,170,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,171,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,172,TWO_BALL,0.363,TWO_BALL,0.5,1,2
TWO_BALL,0.431,agree,173,TWO_BALL,0.363,TWO_BALL,0.5,1,2
FOUNTAIN_3+,0.7,agree,174,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,175,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,176,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,177,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,178,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,179,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,180,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,181,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,182,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,183,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,184,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
