chain_id,event,tid,prev_tid,event_frame,hand,ambiguous,v_reclassified,h22_reclassified,h26_reclassified,chain_quality,chain_classification,edge_type
9,CATCH,38,35,862,left,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
9,THROW,38,35,869,left,False,False,False,False,0.6145,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
10,CATCH,21,20,470,unknown,False,False,True,False,0.6071,UNCERTAIN,H22_RECLASSIFIED_HAND_TRANSITION
10,THROW,21,20,482,unknown,False,False,True,False,0.6071,UNCERTAIN,H22_RECLASSIFIED_HAND_TRANSITION
10,CATCH,29,21,693,left,False,False,False,False,0.6071,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
10,THROW,29,21,701,left,False,False,False,False,0.6071,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
10,CATCH,34,29,761,right,False,False,False,False,0.6071,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
10,THROW,34,29,769,right,False,False,False,False,0.6071,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
12,CATCH,28,27,670,left,False,True,False,False,0.6176,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
12,THROW,28,27,678,left,False,True,False,False,0.6176,UNCERTAIN,V_RECLASSIFIED_HAND_TRANSITION
12,CATCH,32,28,738,right,False,False,False,False,0.6176,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
12,THROW,32,28,743,right,False,False,False,False,0.6176,UNCERTAIN,RECLASSIFIED_HAND_TRANSITION
