frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
250,4,0,0,4,,c0|c1|c3|c7,0.548
251,4,0,0,4,,c0|c1|c3|c7,0.548
252,4,0,0,4,,c0|c1|c3|c7,0.548
253,4,0,0,4,,c0|c1|c3|c7,0.548
254,4,0,0,4,,c0|c1|c3|c7,0.548
255,4,0,1,5,c6,c0|c1|c3|c7,0.631
256,5,0,0,5,,c0|c1|c3|c6|c7,0.631
257,4,0,0,4,,c1|c3|c6|c7,0.656
258,4,0,0,4,,c1|c3|c6|c7,0.656
259,4,0,0,4,,c1|c3|c6|c7,0.656
260,4,0,0,4,,c1|c3|c6|c7,0.656
261,4,0,0,4,,c1|c3|c6|c7,0.656
262,4,0,0,4,,c1|c3|c6|c7,0.656
263,4,0,0,4,,c1|c3|c6|c7,0.656
264,4,0,0,4,,c1|c3|c6|c7,0.656
265,4,0,0,4,,c1|c3|c6|c7,0.656
266,4,0,0,4,,c1|c3|c6|c7,0.656
267,5,0,0,5,,c0|c1|c3|c6|c7,0.631
268,5,0,0,5,,c0|c1|c3|c6|c7,0.631
269,5,0,0,5,,c0|c1|c3|c6|c7,0.631
270,5,0,0,5,,c0|c1|c3|c6|c7,0.631
271,5,0,0,5,,c0|c1|c3|c6|c7,0.631
272,5,0,0,5,,c0|c1|c3|c6|c7,0.631
273,5,0,0,5,,c0|c1|c3|c6|c7,0.631
274,5,0,0,5,,c0|c1|c3|c6|c7,0.631
275,5,0,0,5,,c0|c1|c3|c6|c7,0.631
276,5,0,0,5,,c0|c1|c3|c6|c7,0.631
277,5,0,0,5,,c0|c1|c3|c6|c7,0.631
278,5,0,0,5,,c0|c1|c3|c6|c7,0.631
279,5,0,0,5,,c0|c1|c3|c6|c7,0.631
280,5,0,0,5,,c0|c1|c3|c6|c7,0.631
281,5,0,0,5,,c0|c1|c3|c6|c7,0.631
282,5,0,0,5,,c0|c1|c3|c6|c7,0.631
283,5,0,0,5,,c0|c1|c3|c6|c7,0.631
284,5,0,0,5,,c0|c1|c3|c6|c7,0.631
285,5,0,0,5,,c0|c1|c3|c6|c7,0.631
286,5,0,0,5,,c0|c1|c3|c6|c7,0.631
287,5,0,0,5,,c0|c1|c3|c6|c7,0.631
288,5,0,0,5,,c0|c1|c3|c6|c7,0.631
289,5,0,0,5,,c0|c1|c3|c6|c7,0.631
290,5,0,0,5,,c0|c1|c3|c6|c7,0.631
