frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
75,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
76,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
77,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
78,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
79,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
80,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
81,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
82,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
83,0,0,5,THROW,5,0,1,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
84,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
85,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
86,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
87,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
88,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
89,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
90,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
91,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
92,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
93,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
94,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
95,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
96,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
97,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True,MIXED_3+,False
98,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
99,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
100,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
101,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
102,1,0,4,CATCH,4,1,0,4,CASCADE_3+,0.687,True,True,True,CASCADE_3+,False
