start_frame,end_frame,pattern,n_frames,avg_confidence
671,676,TWO_BALL,6,0.542
677,678,SINGLE_BALL,2,0.465
679,684,TWO_BALL,6,0.567
685,703,MIXED_3+,19,0.636
704,709,FOUNTAIN_3+,6,0.7
710,716,CASCADE_3+,7,0.7
717,732,TWO_BALL,16,0.542
733,749,FOUNTAIN_3+,17,0.7
750,766,MIXED_3+,17,0.635
767,774,TWO_BALL,8,0.544
775,780,FOUNTAIN_3+,6,0.7
781,790,SINGLE_BALL,10,0.625
791,796,TWO_BALL,6,0.559
797,797,FOUNTAIN_3+,1,0.7
798,804,CASCADE_3+,7,0.7
805,805,FOUNTAIN_3+,1,0.7
806,810,TWO_BALL,5,0.485
811,811,FOUNTAIN_3+,1,0.7
812,813,TWO_BALL,2,0.485
814,829,FOUNTAIN_3+,16,0.7
830,830,TWO_BALL,1,0.4
831,838,SINGLE_BALL,8,0.493
839,839,TWO_BALL,1,0.4
840,854,SINGLE_BALL,15,0.465
855,855,TWO_BALL,1,0.465
856,856,FOUNTAIN_3+,1,0.437
857,859,TWO_BALL,3,0.471
860,872,FOUNTAIN_3+,13,0.662
873,880,TWO_BALL,8,0.479
881,882,SINGLE_BALL,2,0.493
883,884,TWO_BALL,2,0.479
885,885,MIXED_3+_ENSEMBLE,1,0.66
886,889,TWO_BALL,4,0.607
890,897,MIXED_3+_ENSEMBLE,8,0.664
898,915,FOUNTAIN_3+,18,0.7
916,931,MIXED_3+_ENSEMBLE,16,0.664
932,936,FOUNTAIN_3+,5,0.7
937,943,TWO_BALL,7,0.599
944,945,FOUNTAIN_3+,2,0.7
946,948,TWO_BALL,3,0.607
949,955,SINGLE_BALL,7,0.493
956,956,TWO_BALL,1,0.479
957,964,FOUNTAIN_3+,8,0.7
965,965,TWO_BALL,1,0.593
966,967,SINGLE_BALL,2,0.465
968,969,TWO_BALL,2,0.446
970,970,FOUNTAIN_3+,1,0.7
971,976,TWO_BALL,6,0.46
977,994,FOUNTAIN_3+,18,0.7
995,1011,CASCADE_3+,17,0.7
1012,1015,TWO_BALL,4,0.445
1016,1020,SINGLE_BALL,5,0.426
1021,1028,NO_BALL,8,1.0
1029,1038,FOUNTAIN_3+,10,0.7
1039,1050,CASCADE_3+,12,0.7
1051,1053,SINGLE_BALL,3,0.493
1054,1054,TWO_BALL_ONE_HAND,1,0.46
1055,1055,TWO_BALL,1,0.537
1056,1060,CASCADE_3+,5,0.7
1061,1069,TWO_BALL,9,0.46
1070,1071,CASCADE_3+,2,0.7
1072,1074,FOUNTAIN_3+,3,0.7
1075,1076,TWO_BALL,2,0.446
1077,1077,FOUNTAIN_3+,1,0.7
1078,1078,SINGLE_BALL,1,0.426
