pattern_v6b,confidence_v6b,source,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.7,agree,76,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,77,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,78,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,79,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,80,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,81,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,82,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,83,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,84,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,85,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,86,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,87,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,88,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,89,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,90,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,91,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,92,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,93,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,94,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,95,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,96,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,97,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,98,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,99,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,100,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,101,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,102,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,103,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,104,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,105,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,106,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,107,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,108,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,109,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,110,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,111,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,112,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,113,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,114,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,115,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,116,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,117,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,118,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,119,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,120,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,121,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,122,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,123,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,124,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,125,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,126,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,127,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,128,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,129,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,130,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,131,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,132,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,133,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,134,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,135,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,136,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,137,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,138,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,139,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,140,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,141,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,142,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,143,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,144,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,145,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,146,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,147,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,148,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,149,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,150,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,151,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,152,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,153,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,154,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,155,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,156,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,157,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,158,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,159,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,160,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,161,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,162,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,163,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,164,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,165,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,166,MIXED_3+_UNCONFIRMED,0.304,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
