frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree
211,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
212,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
213,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
214,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
215,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
216,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
217,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
218,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
219,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
220,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
221,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
222,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
223,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
224,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
225,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
226,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
227,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
228,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
229,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
230,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
231,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
232,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
233,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
234,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
235,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
236,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
237,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.698,True,True,True
238,0,1,4,CATCH,4,0,1,4,MIXED_3+,0.698,True,True,True
239,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
240,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
241,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
242,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
243,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
244,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
245,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
246,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.651,True,False,False
247,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
248,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
249,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
250,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
251,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
252,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
253,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
254,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.642,True,False,False
255,0,0,5,THROW,5,0,1,5,MIXED_3+,0.682,True,True,True
256,1,0,4,CATCH,5,1,0,5,CASCADE_3+,0.682,True,True,True
257,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
258,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
259,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
260,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
261,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
262,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
263,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
264,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
265,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
266,1,0,4,HOLD,4,0,0,4,CASCADE_3+,0.681,False,True,False
267,0,0,5,THROW,5,1,0,5,MIXED_3+,0.682,True,True,True
268,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
269,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
270,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
271,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
272,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
273,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
274,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
275,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
276,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
277,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
278,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
279,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
280,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
281,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
282,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
283,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
284,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
285,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
286,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
287,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
288,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
289,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
290,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
291,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
292,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
293,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
294,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
295,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
296,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
297,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
298,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
299,0,1,4,CATCH,5,0,1,5,CASCADE_3+,0.682,True,True,True
300,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
301,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
302,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
303,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
304,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
305,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
306,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
307,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.698,True,False,False
308,0,0,5,THROW,5,0,1,5,MIXED_3+,0.682,True,True,True
309,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.682,True,True,True
310,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
311,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
312,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
313,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
314,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
315,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
