frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
93,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
94,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
95,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
96,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
97,0,1,2,CATCH,3,0,1,3,CASCADE_3+,0.822,True,True,True,CASCADE_3+,False
98,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.816,True,False,False,TWO_BALL,False
99,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL,False
100,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL,False
101,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL,False
102,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL,False
103,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL,False
104,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
105,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
106,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
107,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
108,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
109,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
110,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
111,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
112,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
113,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
114,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
115,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
116,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
117,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
118,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
119,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
120,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
121,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
122,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+,False
123,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.932,True,False,False,TWO_BALL,False
124,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.932,True,False,False,TWO_BALL,False
125,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.932,True,False,False,TWO_BALL,False
126,0,0,3,THROW,3,0,1,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
127,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
128,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
129,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
130,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
131,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
132,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
133,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.9,True,True,True,MIXED_3+,False
134,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.899,True,True,True,TWO_BALL,False
135,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.899,True,True,True,TWO_BALL,False
136,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.899,True,True,True,TWO_BALL,False
137,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.899,True,True,True,TWO_BALL,False
138,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
139,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
140,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
141,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
142,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
143,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
144,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
145,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
146,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
147,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
148,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
149,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.932,True,True,True,MIXED_3+,False
