frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
107,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
108,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
109,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
110,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
111,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
112,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
113,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
114,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
115,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
116,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
117,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
118,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
119,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
120,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
121,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
122,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
123,2,0,0,2,0.932,TWO_BALL,0.932,4,0,2,0.0,0.0
124,2,0,0,2,0.932,TWO_BALL,0.932,4,0,2,0.0,0.0
125,2,0,0,2,0.932,TWO_BALL,0.932,4,0,2,0.0,0.0
126,3,0,1,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
127,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
128,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
129,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
130,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
131,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
132,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
133,3,0,0,3,0.9,MIXED_3+,0.9,4,2,2,0.333,0.91
134,2,0,0,2,0.899,TWO_BALL,0.899,4,0,2,0.0,0.0
135,2,0,0,2,0.899,TWO_BALL,0.899,4,0,2,0.0,0.0
136,2,0,0,2,0.899,TWO_BALL,0.899,4,0,2,0.0,0.0
137,2,0,0,2,0.899,TWO_BALL,0.899,4,0,2,0.0,0.0
138,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
139,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
140,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
141,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
142,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
143,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
144,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
145,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
146,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
147,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
148,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
149,3,0,0,3,0.933,MIXED_3+,0.933,4,2,2,0.333,0.91
150,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
151,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
152,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
153,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
154,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
155,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
156,1,0,0,1,0.836,SINGLE_BALL,0.836,4,0,2,0.0,0.0
157,2,0,0,2,0.886,TWO_BALL,0.886,4,0,2,0.0,0.0
158,2,0,0,2,0.886,TWO_BALL,0.886,4,0,2,0.0,0.0
159,2,0,0,2,0.886,TWO_BALL,0.886,4,0,2,0.0,0.0
160,2,0,0,2,0.886,TWO_BALL,0.886,4,0,2,0.0,0.0
161,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,2,0.0,0.0
162,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,2,0.0,0.0
163,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,2,0.0,0.0
164,1,0,0,1,0.937,SINGLE_BALL,0.937,4,0,2,0.0,0.0
165,2,0,0,2,0.72,TWO_BALL,0.72,4,0,2,0.0,0.0
166,3,0,0,3,0.804,MIXED_3+,0.804,4,2,2,0.333,0.91
167,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
168,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
169,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
170,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
171,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
172,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
173,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
