source,stem,from_tid,to_tid,hand,from_frame,to_frame,gap,skipped,hand_xy,window,classification_v2,classification_v3,n_in_reach,n_out_reach,concentration,n_clusters,cluster_n_max
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,right,644,656,12,,"(563.9, 455.2)","(639, 661)",AMBIGUOUS,AMBIGUOUS,12,39,0.235,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,right,578,591,13,,"(562.8, 464.5)","(573, 596)",AMBIGUOUS,AMBIGUOUS,21,53,0.284,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,left,749,755,6,,"(625.8, 449.1)","(744, 760)",AMBIGUOUS,AMBIGUOUS,15,30,0.333,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,left,717,731,14,,"(618.6, 446.7)","(712, 736)",AMBIGUOUS,AMBIGUOUS,23,48,0.324,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,right,738,743,5,,"(556.9, 438.6)","(733, 748)",AMBIGUOUS,AMBIGUOUS,15,37,0.288,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,right,761,769,8,,"(555.5, 459.8)","(756, 774)",AMBIGUOUS,AMBIGUOUS,11,45,0.196,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,right,845,854,9,,"(561.0, 466.6)","(840, 859)",AMBIGUOUS,AMBIGUOUS,12,37,0.245,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,right,789,800,11,,"(562.1, 462.5)","(784, 805)",AMBIGUOUS,AMBIGUOUS,17,27,0.386,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,right,818,825,7,,"(561.3, 460.8)","(813, 830)",AMBIGUOUS,AMBIGUOUS,11,30,0.268,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,left,862,869,7,,"(630.9, 448.1)","(857, 874)",AMBIGUOUS,AMBIGUOUS,17,35,0.327,0,0
h7v2_kept_ballistic,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,28,left_inferred,670,678,8,,"(641.5, 397.1)","(665, 683)",AMBIGUOUS,AMBIGUOUS,12,44,0.214,0,0
