stem,src,tgt,gap,label,in_h7v3plus3,chain_edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,spatial_jump,v_jump,is_hand_edge,v1_d30_j80,v1_d30_j100,v1_d30_j120,v1_d30_j150,v1_d30_j200,v1_d40_j100,v1_d40_j150,v1_d40_j200,v1_d40_j250,v1_d50_j100,v1_d50_j150,v1_d50_j200,v1_d50_j250,v1_d60_j150,v1_d60_j200,v1_d60_j250,v1_d60_j300,v1_d80_j200,v1_d80_j250,v1_d80_j300,v2_d30,v2_d40,v2_d50,v2_d60,v2_d80,v2_d100
identical_balls_trick_000_018,50,56,3,correct,False,NOT_IN_CHAIN,left,left,False,258.74,12.71,302.31,100.77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,51,52,4,correct,True,V_RECLASSIFIED_HAND_TRANSITION,,right,False,,94.24,75.92,18.98,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,52,53,5,wrong,False,NOT_IN_CHAIN,right,left,True,40.48,69.51,298.87,59.77,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,53,58,10,correct,False,NOT_IN_CHAIN,right,,False,56.97,,97.7,9.77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,54,57,3,correct,False,NOT_IN_CHAIN,right,right,False,9.61,202.48,320.83,106.94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,56,57,4,wrong,False,NOT_IN_CHAIN,left,right,True,7.01,202.48,346.47,86.62,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,57,63,4,wrong,False,NOT_IN_CHAIN,right,right,False,64.07,37.24,285.27,71.32,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,59,61,8,correct,True,H26_RECLASSIFIED_HAND_TRANSITION,right,right,False,46.08,31.32,71.39,8.92,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,59,62,10,wrong,False,NOT_IN_CHAIN,right,left,True,46.08,1.78,58.34,5.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,60,64,2,correct,True,BALLISTIC,left,right,True,436.11,384.35,99.49,49.75,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
identical_balls_trick_000_018,62,66,3,correct,True,RECLASSIFIED_HAND_TRANSITION,right,left,True,22.19,56.26,116.08,38.69,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,62,65,2,wrong,False,NOT_IN_CHAIN,right,left,True,22.19,98.22,174.14,87.07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,63,66,6,wrong,False,NOT_IN_CHAIN,left,left,False,63.06,56.26,149.36,24.89,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,63,65,5,correct,False,NOT_IN_CHAIN,left,left,False,63.06,98.22,187.99,37.6,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False
identical_balls_trick_000_018,64,68,0,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,59.03,36.23,65.99,inf,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,64,69,7,wrong,False,NOT_IN_CHAIN,right,left,True,59.03,75.57,248.49,35.5,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,65,69,1,wrong,False,NOT_IN_CHAIN,left,left,False,242.74,75.57,230.64,230.64,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False
identical_balls_trick_000_018,66,69,7,correct,False,NOT_IN_CHAIN,left,left,False,32.65,75.57,116.43,16.63,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,66,68,0,wrong,False,NOT_IN_CHAIN,left,right,True,32.65,36.23,238.91,inf,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,67,70,3,correct,True,BALLISTIC,left,left,False,272.56,197.05,68.5,22.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
identical_balls_trick_000_018,67,72,3,wrong,False,NOT_IN_CHAIN,left,left,False,272.56,16.95,244.29,81.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,67,71,3,wrong,False,NOT_IN_CHAIN,left,right,True,272.56,18.59,343.23,114.41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
