frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
272,3,0,0,3,0.728,MIXED_3+,0.728,4,3,2,0.333,3.53,28
273,3,0,0,3,0.728,MIXED_3+,0.728,4,3,2,0.333,3.53,28
274,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
275,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
276,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
277,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
278,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
279,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
280,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
281,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
282,3,0,0,3,0.728,MIXED_3+,0.728,4,2,2,0.333,3.53,28
283,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
284,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
285,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
286,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
287,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
288,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
289,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
290,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
291,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
292,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
293,3,0,0,3,0.728,MIXED_3+,0.728,4,1,2,0.333,3.53,28
294,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
295,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
296,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
297,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
298,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
299,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
300,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
301,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
302,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
303,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
