frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
91,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
92,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
93,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
94,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
95,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
96,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
97,2,0,1,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
98,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
99,1,0,0,1,0.549,SINGLE_BALL,0.549,2,2,0,0.0,0.0
100,1,0,0,1,0.549,SINGLE_BALL,0.549,2,2,0,0.0,0.0
101,1,0,0,1,0.549,SINGLE_BALL,0.549,2,2,0,0.0,0.0
102,1,0,0,1,0.549,SINGLE_BALL,0.549,2,2,0,0.0,0.0
103,1,0,0,1,0.549,SINGLE_BALL,0.549,2,2,0,0.0,0.0
104,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
105,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
106,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
107,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
108,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
109,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
110,3,0,0,3,0.469,MIXED_3+_UNCONFIRMED,0.234,2,2,1,0.0,0.0
111,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
112,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
113,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
114,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
115,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
116,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
117,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
118,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
119,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
120,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
121,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
122,3,0,0,3,0.469,MIXED_3+,0.469,4,2,2,0.333,0.86
123,2,0,0,2,0.429,TWO_BALL,0.429,4,2,0,0.0,0.0
124,2,0,0,2,0.429,TWO_BALL,0.429,4,2,0,0.0,0.0
125,2,0,0,2,0.429,TWO_BALL,0.429,4,2,0,0.0,0.0
126,2,0,1,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
127,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
128,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
129,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
130,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
131,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
132,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
133,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
134,2,0,0,2,0.639,TWO_BALL,0.639,4,2,0,0.0,0.0
135,2,0,0,2,0.639,TWO_BALL,0.639,4,2,0,0.0,0.0
136,2,0,0,2,0.639,TWO_BALL,0.639,4,2,0,0.0,0.0
137,2,0,0,2,0.639,TWO_BALL,0.639,4,2,0,0.0,0.0
138,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
139,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
140,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
141,3,0,0,3,0.569,MIXED_3+,0.569,4,2,2,0.333,0.86
142,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
143,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
144,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
145,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
146,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
147,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
148,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
149,3,0,0,3,0.569,MIXED_3+,0.569,4,0,2,0.333,0.86
150,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
151,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
152,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
153,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
154,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
155,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
156,1,0,0,1,0.849,SINGLE_BALL,0.849,4,0,0,0.0,0.0
157,2,0,0,2,0.639,TWO_BALL,0.639,4,0,0,0.0,0.0
158,2,0,0,2,0.639,TWO_BALL,0.639,4,0,0,0.0,0.0
159,2,0,0,2,0.639,TWO_BALL,0.639,4,0,0,0.0,0.0
