frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
111,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
112,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
113,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
114,4,0,0,4,0.684,MIXED_3+,0.684,4,2,2,0.333,2.0,42
115,4,0,0,4,0.684,MIXED_3+,0.684,4,2,2,0.333,2.0,42
116,4,0,0,4,0.684,MIXED_3+,0.684,4,2,2,0.333,2.0,42
117,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
118,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
119,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
120,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
121,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
122,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
123,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
124,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
125,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
126,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
127,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
128,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
129,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
130,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
131,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
132,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
133,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
134,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
135,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
136,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
137,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
138,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
139,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
140,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
141,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
142,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
143,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
144,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
145,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
146,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
147,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
148,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
149,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
150,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
151,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
152,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
153,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
154,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
155,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
156,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
157,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
158,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
159,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
160,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
161,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
162,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
