frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
160,2,0,0,2,0.886,TWO_BALL,0.886
161,1,0,0,1,0.936,SINGLE_BALL,0.936
162,1,0,0,1,0.936,SINGLE_BALL,0.936
163,1,0,0,1,0.936,SINGLE_BALL,0.936
164,1,0,0,1,0.936,SINGLE_BALL,0.936
165,2,0,0,2,0.72,TWO_BALL,0.72
166,3,0,0,3,0.804,MIXED_3+,0.804
167,2,0,0,2,0.738,TWO_BALL,0.738
168,2,0,0,2,0.738,TWO_BALL,0.738
169,2,0,0,2,0.738,TWO_BALL,0.738
170,2,0,0,2,0.738,TWO_BALL,0.738
171,2,0,0,2,0.738,TWO_BALL,0.738
172,2,0,0,2,0.738,TWO_BALL,0.738
173,2,0,0,2,0.738,TWO_BALL,0.738
174,3,0,0,3,0.643,MIXED_3+,0.643
175,3,0,0,3,0.643,MIXED_3+,0.643
176,3,0,0,3,0.643,MIXED_3+,0.643
177,3,0,0,3,0.643,MIXED_3+,0.643
178,3,0,0,3,0.643,MIXED_3+,0.643
179,3,0,0,3,0.643,MIXED_3+,0.643
180,3,0,0,3,0.643,MIXED_3+,0.643
181,3,0,0,3,0.643,MIXED_3+,0.643
182,3,0,0,3,0.643,MIXED_3+,0.643
183,3,0,0,3,0.643,MIXED_3+,0.643
184,3,0,0,3,0.643,MIXED_3+,0.643
185,3,0,0,3,0.643,MIXED_3+,0.643
186,3,0,0,3,0.643,MIXED_3+,0.643
187,3,0,0,3,0.643,MIXED_3+,0.643
188,3,0,0,3,0.643,MIXED_3+,0.643
189,3,0,0,3,0.643,MIXED_3+,0.643
190,3,0,0,3,0.643,MIXED_3+,0.643
191,3,0,0,3,0.643,MIXED_3+,0.643
192,3,0,0,3,0.643,MIXED_3+,0.643
193,3,0,0,3,0.643,MIXED_3+,0.643
194,3,0,0,3,0.643,MIXED_3+,0.643
195,3,0,0,3,0.643,MIXED_3+,0.643
196,2,0,0,2,0.738,TWO_BALL,0.738
197,2,0,0,2,0.738,TWO_BALL,0.738
198,2,0,0,2,0.738,TWO_BALL,0.738
199,2,0,0,2,0.738,TWO_BALL,0.738
200,2,0,0,2,0.738,TWO_BALL,0.738
