video,stem,source_tracklet,candidate_tracklet,gap_frames,original_rank,label,cv2,cvls3,cvls4,cvls6,cvls8,cvls10,cvls12,bal3,bal4,bal6,bal8,bal10,bal12,kalman
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,25,26,0,2,wrong,155.808292,150.61537752574338,153.37482975459187,158.2928799769031,160.6666141430766,162.9072975957934,167.69448469080228,163.66893603484402,149.71118062811018,148.68275509684247,152.77092930123894,154.3684935715259,153.50489653301415,152.34123718123442
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,28,29,3,1,correct,3.654163,3.6540732105114833,3.654092375679622,3.6541287169943604,3.5358279758056317,3.3740668535999614,3.138313902790958,3.6540732105114833,3.654092375679604,3.6541287169943852,3.945711008818887,4.085190374074788,4.256319810128214,4.331740757189915
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,29,34,5,1,correct,27.429865,27.427138914362807,27.42669461036112,27.42700624747183,27.15830776967264,27.631071915257152,27.92859663934243,27.447942181525764,27.426694610362592,27.428071939796965,24.25961230831592,25.008478028954176,26.682387072108682,26.78386906983451
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,30,33,5,1,correct,7.004908,7.004217540961433,7.003927201934614,7.003683711167791,7.041602986076175,6.279758931336827,5.341037769775645,7.004217540961655,7.00392720193539,7.003683711168567,9.34939434197278,10.99948522419792,11.482479086727508,10.080226429803663
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,36,5,1,correct,13.207599,13.207598911232884,13.207598911232768,13.207598911232857,12.947881876464479,12.718685330016124,12.713100630289862,13.207598911231505,13.207598911233081,13.207598911232829,14.91040491235477,14.666243703281737,13.768843260476366,14.078931367062342
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,38,5,2,wrong,423.933957,423.93395674798217,423.9339567479818,423.933956747982,423.7031152046895,423.47523322346666,423.4423355934615,423.93395674798086,423.93395674798217,423.933956747982,425.58947864435,425.3470887861738,424.4568866207713,424.78808896624076
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,37,5,3,wrong,437.032421,437.0324211771938,437.0324211771933,437.0324211771935,436.8412738388607,436.6277236780639,436.57208493373827,437.0324211771926,437.03242117719356,437.03242117719344,438.54946769262403,438.322624036265,437.4905862390222,437.82157024247624
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,37,5,1,correct,13.665632,13.667551830074709,13.666770476232323,13.666866379506555,11.91083602342496,12.181563924212218,13.838672827151509,13.667551830075071,13.677704186470676,13.671787919856552,20.37766972076166,13.471609206048354,9.081101113854123,13.697476126861613
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,38,5,2,wrong,107.654066,107.65719576984989,107.65881687651026,107.66003416445915,107.72549168169357,107.52482106211411,107.36596345820787,107.65719576984982,107.65673324419772,107.65909583500752,106.48177663051678,107.26391124460947,108.63765355206371,107.61364207794382
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,36,5,3,wrong,439.03282,439.034433551661,439.0333916802349,439.0333306659694,437.12416739911765,437.46475110775145,439.2475190354506,439.0344335516614,439.0452240422573,439.0386577665667,445.68674165014687,438.8753489170302,433.1858738406798,439.0716993188218
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,36,41,9,1,wrong,256.456305,256.45476764279914,256.4550850983857,259.5533338630157,259.42702143625473,256.92344565772703,254.6360022618769,256.5053143712563,256.4550850983919,222.79557762763267,253.55342508554696,269.5170653676586,271.09092626272604,261.01043692367534
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,40,10,1,correct,46.571051,46.566085685948245,46.56710790085668,44.76173007899946,44.76173007899946,44.76173007899946,44.76173007899946,46.62889147299168,46.56710790086919,60.24010395634886,60.24010395634886,60.24010395634886,60.24010395634886,216.0188825719808
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,39,6,2,wrong,111.551,111.5491891563736,111.54956781633011,110.73171161034273,110.73171161034273,110.73171161034273,110.73171161034273,111.56483277449047,111.54956781633342,115.01425543276866,115.01425543276866,115.01425543276866,115.01425543276866,11.105582670573964
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,39,6,1,correct,57.366993,57.366912241387844,57.364579051275385,54.90930226939388,54.90930226939388,54.90930226939388,54.90930226939388,57.36691224138796,57.38232475809491,70.9775196454397,70.9775196454397,70.9775196454397,70.9775196454397,88.59543502925524
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,40,10,2,wrong,80.551361,80.55646159957817,80.55703797465446,79.21033800098424,79.21033800098424,79.21033800098424,79.21033800098424,80.55646159957827,80.57391870241693,97.15365008670386,97.15365008670386,97.15365008670386,97.15365008670386,277.552207946783
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,47,3,1,correct,14.709662,14.711825199289445,14.71143522740053,14.711735244695676,14.800057179158953,14.080604506996881,13.817548485302787,14.699676459023422,14.71143522740016,14.711735244695449,14.584920793093964,17.207857350640616,15.987225204456795,15.7574658846181
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,48,9,2,wrong,624.476255,624.4794150170427,624.4812940358183,624.4825663641956,624.7398829461854,623.9341653744497,623.4623974690268,624.4426129669529,624.4812940358175,624.482566364195,624.2825778932827,630.0173297090718,627.3458848909515,626.6496066427098
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,41,3,1,correct,7.52788,7.527879515507336,7.527879515507497,7.529012170351947,6.546442741197423,6.577118800363055,7.891956839495682,7.5278795155074825,7.527879515507538,7.529012170351894,6.893956471666273,6.88569803154871,7.838052068265521,7.755016176830695
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,42,5,2,wrong,222.7078,222.7078000475065,222.70780004750594,222.7068343635389,223.00893719490404,222.65255401213867,222.0264348666158,222.70780004750776,222.70780004750623,222.70683436353835,224.87055226077828,224.52223659925917,221.3308439147422,223.52446831624164
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,43,7,1,correct,9.009177,9.01096524765509,9.00824500388378,9.00793363158893,8.456345254997062,9.003372407971195,9.678338051856748,8.993791469677744,9.00824500388727,9.011227274904725,12.66988310079811,8.950982250066124,8.764553068052926,8.035887194223898
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,44,9,2,wrong,279.241266,279.2373206904137,279.2402012806358,279.2413458844444,280.50312868550975,279.719139787818,278.4613118487006,279.2832695060627,279.24020128062676,279.2329822213804,272.87685498172135,279.88263871649696,284.2188163477496,279.9616711381832
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,43,45,4,1,correct,6.349576,6.3481153196136715,6.348425742654853,6.148292092735919,6.148292092735919,6.148292092735919,6.148292092735919,6.348115319616049,6.348425742655423,6.921490661834093,6.921490661834093,6.921490661834093,6.921490661834093,55.39282004304931
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,44,53,5,1,correct,393.605215,393.60565552215814,393.6075434125348,393.60832324927253,403.3814242131899,413.4102641308745,412.5101751281909,393.60565552216633,393.5939269511368,393.60219289381763,357.78225868366115,358.33689444336073,393.7415880530916,346.07678671838227
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,46,3,1,correct,8.48101,8.483176627563651,8.484109959801334,8.483762341161832,8.330247746793725,7.913999392869591,7.891719665365624,8.471009975205716,8.476859968319479,8.4830599610341,9.662270249268742,10.142513700552884,9.15964285767109,9.290778042577347
