video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,22,0.367033,0,0.863555,68.238,633.145,391.977,0.989249,632.997,391.977,564.910,392.604,0.993346,565.382,392.604,647.499,436.342,0.937291,647.499,437.446,548.294,444.696,0.975814,548.294,444.392,656.203,436.112,0.921485,651.451,436.112,557.894,432.613,0.966982,558.092,432.613
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,23,0.383717,0,0.862356,67.576,632.957,391.922,0.989545,633.145,392.138,565.382,391.652,0.993496,565.382,392.113,648.008,438.118,0.923503,648.008,438.118,547.551,443.112,0.975215,548.294,444.392,651.451,438.547,0.865370,651.099,438.547,557.362,427.765,0.957029,557.894,427.765
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,24,0.400400,0,0.856362,66.984,633.183,392.138,0.990116,633.145,392.138,566.199,392.113,0.992752,565.661,391.981,648.860,442.578,0.914636,648.008,439.949,550.260,445.106,0.979655,548.294,443.112,641.966,452.887,0.784318,641.966,452.887,558.092,416.917,0.968602,557.362,416.917
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,25,0.417083,0,0.869318,67.500,633.153,392.993,0.989665,632.957,392.138,565.661,391.981,0.986002,566.188,391.652,648.276,443.594,0.934932,648.119,439.949,550.460,441.431,0.937582,549.866,441.431,640.111,453.304,0.888973,640.447,453.304,554.994,413.776,0.904478,554.994,413.776
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,26,0.433767,0,0.674197,66.612,632.871,392.564,0.990910,632.871,392.138,566.286,390.672,0.979529,566.199,390.672,646.276,439.949,0.953062,648.119,439.949,547.977,426.154,0.879041,550.260,426.154,640.447,456.426,0.941750,640.111,456.426,551.495,404.302,0.864802,551.495,404.302
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,27,0.450450,0,0.874702,66.756,632.848,391.518,0.993346,632.848,391.646,566.188,387.943,0.982907,566.188,390.584,648.119,437.942,0.975058,647.697,438.870,549.866,413.049,0.896298,550.460,424.885,639.871,460.742,0.972185,639.871,460.742,548.842,399.153,0.912983,548.842,401.412
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,28,0.467133,0,0.855003,65.203,632.266,391.646,0.991833,632.266,391.646,567.072,390.584,0.980787,566.188,390.584,647.697,438.389,0.978506,647.545,438.870,555.050,424.885,0.909094,551.103,424.266,638.987,464.984,0.978906,638.987,461.408,546.543,401.412,0.925152,546.543,401.412
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,29,0.483817,0,0.869259,65.963,631.858,391.641,0.993342,631.858,391.646,565.906,390.460,0.986247,565.906,390.584,647.027,438.870,0.978828,647.545,438.566,552.576,421.551,0.931302,552.576,424.266,636.358,462.608,0.977308,636.358,461.408,543.060,399.027,0.940533,543.060,401.412
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,30,0.500500,0,0.878793,66.629,631.776,391.769,0.993875,631.776,391.734,565.157,390.600,0.988609,565.459,390.600,647.545,439.389,0.980487,647.284,438.870,551.103,424.266,0.946413,553.733,424.885,633.081,461.408,0.979120,633.081,461.408,539.719,401.453,0.953847,541.184,401.453
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,31,0.517183,0,0.880889,65.760,631.219,391.734,0.993432,631.306,391.769,565.459,391.800,0.989895,565.157,391.800,646.902,438.566,0.979046,647.027,439.389,553.733,431.236,0.955282,553.306,431.236,630.484,458.528,0.976457,630.484,458.528,540.790,410.171,0.956713,540.790,410.171
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,32,0.533867,0,0.867915,66.118,631.184,392.336,0.992549,631.306,392.336,565.076,393.518,0.989756,565.157,392.956,647.284,439.890,0.974682,646.902,439.890,555.369,437.040,0.938231,553.306,434.840,627.995,456.388,0.964092,627.995,456.388,541.184,422.293,0.906766,540.646,422.293
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,33,0.550550,0,0.850599,66.191,631.306,392.736,0.990058,631.306,392.736,565.120,393.572,0.985891,565.459,392.956,645.993,440.289,0.968600,645.993,440.289,553.306,438.481,0.934295,553.571,437.040,626.622,455.220,0.964044,626.622,455.220,540.646,427.053,0.901651,540.790,427.053
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,34,0.567233,0,0.862923,66.729,632.468,393.584,0.990741,632.299,393.281,565.742,392.956,0.992205,565.742,392.956,643.312,443.681,0.952987,645.002,443.681,551.569,434.840,0.952059,553.571,438.481,623.388,445.199,0.925273,625.816,445.199,539.376,428.775,0.902780,541.184,428.775
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,35,0.583917,0,0.510504,66.231,632.299,393.388,0.991485,632.468,393.281,566.070,392.946,0.992390,565.814,392.946,645.002,445.483,0.970059,644.426,445.475,553.571,439.223,0.960931,553.571,439.223,625.816,435.769,0.963741,625.422,435.769,541.661,436.111,0.929273,541.661,436.111
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,35,0.583917,1,0.398435,65.699,631.843,393.351,0.989822,,,566.146,392.839,0.988991,,,644.549,445.177,0.967366,,,552.918,439.360,0.954208,,,625.521,436.867,0.963812,,,541.595,436.026,0.925520,,
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,36,0.600600,0,0.857903,66.928,632.742,393.281,0.990730,632.742,393.281,565.814,392.918,0.988146,566.070,392.918,644.426,446.896,0.973273,644.093,445.483,553.572,441.179,0.954200,553.572,439.223,624.757,431.916,0.973972,625.422,431.916,542.121,440.154,0.940451,542.121,440.154
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,37,0.617283,0,0.876680,66.666,632.871,392.249,0.990769,632.742,392.249,566.206,391.904,0.986424,566.206,391.904,644.093,445.475,0.973137,644.093,445.483,554.012,439.956,0.914911,553.643,439.223,625.422,424.006,0.967041,625.816,424.006,556.810,447.834,0.834124,544.533,445.254
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,38,0.633967,0,0.880441,66.493,633.134,391.627,0.990531,632.742,391.627,566.642,391.421,0.988559,566.206,391.904,641.902,446.573,0.975019,643.813,445.475,554.229,438.823,0.957807,554.012,439.379,626.379,416.062,0.972449,626.379,416.062,544.533,445.254,0.934810,547.726,447.834
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,39,0.650650,0,0.882369,65.654,631.916,389.913,0.990085,631.916,391.093,566.271,390.995,0.987906,566.206,391.443,643.646,442.185,0.974721,643.813,442.185,553.643,437.997,0.954762,554.012,438.823,628.038,407.394,0.971416,628.038,407.394,547.726,451.339,0.930537,553.974,451.339
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,40,0.667333,0,0.868441,65.891,631.158,391.093,0.988067,631.158,391.093,565.283,392.569,0.983542,566.271,391.421,643.813,439.224,0.974528,643.813,439.224,554.154,439.379,0.951531,553.643,437.997,630.479,403.781,0.966619,630.479,403.781,555.568,458.928,0.924060,553.974,458.928
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,41,0.684017,0,0.887272,64.517,630.474,390.389,0.988284,631.158,390.389,565.965,391.443,0.987896,566.271,391.417,646.146,433.885,0.974131,644.720,435.925,553.101,437.142,0.971092,553.431,437.997,636.412,400.072,0.973921,636.412,401.292,553.974,461.979,0.966238,554.700,461.979
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,42,0.700700,0,0.882823,63.842,630.458,391.131,0.984518,630.607,391.093,566.617,391.417,0.987370,566.617,391.443,644.720,435.672,0.969703,645.067,435.672,553.431,437.659,0.974452,553.101,439.064,640.465,401.292,0.973147,640.465,401.292,554.700,464.515,0.969319,555.568,464.391
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,43,0.717383,0,0.891059,64.693,631.392,390.219,0.987220,630.607,391.131,566.708,391.263,0.989863,566.708,391.443,645.067,435.925,0.969307,645.352,434.476,552.087,439.337,0.974641,553.101,439.064,642.144,400.421,0.972114,642.144,401.292,556.599,466.332,0.968837,556.599,464.391
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,44,0.734067,0,0.887215,63.565,630.607,391.369,0.983965,631.157,391.131,567.045,391.998,0.990501,566.764,391.998,646.653,434.476,0.955251,645.352,434.476,552.103,439.064,0.976091,553.431,439.064,646.281,404.011,0.965629,646.281,401.292,557.053,464.391,0.972411,557.053,464.391
/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,45,0.750750,0,0.885189,64.284,631.157,392.016,0.982037,631.392,390.374,566.877,392.641,0.990484,566.877,392.562,645.352,433.168,0.939766,646.653,433.168,553.832,439.296,0.975702,553.626,439.296,647.733,401.640,0.951981,647.733,401.640,559.892,463.571,0.972538,559.312,463.571
