video,frame,time_seconds,person_index,person_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,48,0.800800,0,0.890061,645.486023,402.467407,0.697113,561.668945,451.828522,0.968706
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,49,0.817483,0,0.896808,647.678284,423.639923,0.867596,558.651428,448.852142,0.960772
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,50,0.834167,0,0.896431,647.622192,429.521637,0.939259,566.699036,443.959473,0.928141
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,51,0.850850,0,0.904947,648.242554,434.294434,0.958645,563.871948,438.702667,0.977639
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,52,0.867533,0,0.903646,642.482483,436.818512,0.928444,563.345032,432.584839,0.978103
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,53,0.884217,0,0.900710,643.024597,442.111908,0.927312,563.914856,431.755646,0.930306
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,54,0.900900,0,0.903491,633.059937,452.391205,0.943426,563.152771,432.038055,0.929408
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,55,0.917583,0,0.910879,636.272705,456.028107,0.975366,560.667969,427.963898,0.965601
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,56,0.934267,0,0.900373,635.112244,456.798798,0.973425,558.575623,421.632568,0.938255
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,57,0.950950,0,0.906218,632.431396,455.039520,0.974427,556.257141,419.287476,0.973825
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,58,0.967633,0,0.901653,631.963440,455.273224,0.981146,555.071655,419.952240,0.970381
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,59,0.984317,0,0.905424,630.775574,453.805695,0.982880,553.898865,419.402222,0.971517
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,60,1.001000,0,0.896899,627.568420,452.311554,0.980024,553.391724,419.961517,0.966534
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,61,1.017683,0,0.899306,627.284546,450.747437,0.977008,552.086609,420.851593,0.964694
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,62,1.034367,0,0.890903,626.151855,446.710724,0.968467,550.260315,421.277679,0.890765
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,63,1.051050,0,0.886216,625.122742,441.834961,0.949198,552.357605,422.784943,0.852509
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,64,1.067733,0,0.889433,629.963562,435.102936,0.975507,550.547607,425.088898,0.806443
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,65,1.084417,0,0.892336,629.681580,430.479095,0.977623,549.763123,430.722290,0.862657
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,66,1.101100,0,0.892985,628.296814,423.628571,0.976372,552.482422,435.526855,0.852207
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,67,1.117783,0,0.904746,629.826843,414.340607,0.979573,553.064758,442.423004,0.905589
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,68,1.134467,0,0.898203,631.323608,410.452148,0.963231,560.567200,451.785553,0.691336
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,69,1.151150,0,0.899615,631.492126,405.531525,0.949526,566.924500,466.444550,0.682721
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,70,1.167833,0,0.901505,634.414734,395.141754,0.962096,559.804382,469.096649,0.825908
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,71,1.184517,0,0.906336,643.165833,404.089478,0.974796,555.994690,460.783783,0.957995
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,72,1.201200,0,0.902309,646.473083,397.359619,0.948671,557.508057,461.803955,0.975699
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,73,1.217883,0,0.895899,647.601318,406.042603,0.920443,558.378967,463.447540,0.976245
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,74,1.234567,0,0.901190,649.353577,409.828278,0.956287,558.880188,461.158691,0.977146
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,75,1.251250,0,0.893254,650.730164,414.798340,0.904643,559.596497,460.113159,0.976253
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,76,1.267933,0,0.890028,651.302368,421.556396,0.767094,559.379089,457.536224,0.966617
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,77,1.284617,0,0.899801,650.558472,420.741913,0.902098,561.681763,455.047699,0.964097
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,78,1.301300,0,0.899652,651.323914,431.132935,0.932652,567.025208,449.175201,0.959904
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,79,1.317983,0,0.893326,647.391174,435.728149,0.921709,567.864502,446.797089,0.741014
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,80,1.334667,0,0.899940,644.036438,441.043213,0.946626,565.155029,442.782318,0.947394
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,81,1.351350,0,0.908947,645.823059,446.906250,0.962885,562.276184,434.579987,0.972204
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,82,1.368033,0,0.909008,644.891541,451.393890,0.956048,562.933899,424.739349,0.956437
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,83,1.384717,0,0.914798,639.620911,454.423492,0.976410,559.488220,422.658447,0.969727
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,84,1.401400,0,0.911763,635.894348,458.304047,0.976596,556.712158,420.221527,0.957883
