video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,30,0.500500,botsort,44,32,sports ball,0.675431,531.717,305.115,576.082,349.833,554.000,327.000,44.365,44.718
identical_balls_trick_000_018.mp4,30,0.500500,botsort,3,32,sports ball,0.696582,538.754,403.721,586.584,449.234,563.000,426.000,47.830,45.514
identical_balls_trick_000_018.mp4,31,0.517183,botsort,44,32,sports ball,0.693792,530.135,284.823,574.318,329.675,552.000,307.000,44.183,44.852
identical_balls_trick_000_018.mp4,32,0.533867,botsort,44,32,sports ball,0.727789,529.038,267.148,572.587,311.423,551.000,289.000,43.549,44.275
identical_balls_trick_000_018.mp4,33,0.550550,botsort,44,32,sports ball,0.422673,526.834,251.865,571.042,295.484,549.000,274.000,44.209,43.619
identical_balls_trick_000_018.mp4,34,0.567233,botsort,44,32,sports ball,0.501750,524.374,238.578,569.163,282.276,547.000,260.000,44.789,43.697
identical_balls_trick_000_018.mp4,35,0.583917,botsort,44,32,sports ball,0.261906,522.503,226.292,567.531,271.053,545.000,249.000,45.028,44.761
identical_balls_trick_000_018.mp4,36,0.600600,botsort,44,32,sports ball,0.357210,521.306,216.456,565.975,261.282,544.000,239.000,44.669,44.826
identical_balls_trick_000_018.mp4,37,0.617283,botsort,44,32,sports ball,0.659746,519.939,208.836,564.013,253.858,542.000,231.000,44.074,45.022
identical_balls_trick_000_018.mp4,38,0.633967,botsort,44,32,sports ball,0.591395,517.962,202.740,562.154,247.994,540.000,225.000,44.191,45.253
identical_balls_trick_000_018.mp4,39,0.650650,botsort,44,32,sports ball,0.674280,516.303,198.489,560.751,243.721,539.000,221.000,44.448,45.232
identical_balls_trick_000_018.mp4,39,0.650650,botsort,52,32,sports ball,0.759841,371.344,438.542,416.982,483.322,394.000,461.000,45.637,44.780
identical_balls_trick_000_018.mp4,40,0.667333,botsort,44,32,sports ball,0.754191,514.836,196.469,559.251,241.490,537.000,219.000,44.415,45.020
