video,frame,time_seconds,person_index,person_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence
videos/identical_balls_trick_000_018.mp4,71,1.184517,0,0.917459,763.132263,497.300995,0.986784,537.831299,526.600403,0.991347
videos/identical_balls_trick_000_018.mp4,72,1.201200,0,0.710102,755.785645,495.928619,0.986559,532.267761,516.618530,0.991572
videos/identical_balls_trick_000_018.mp4,73,1.217883,0,0.920318,749.524963,498.195892,0.962507,536.308594,512.948059,0.990809
videos/identical_balls_trick_000_018.mp4,74,1.234567,0,0.933358,737.756653,495.808502,0.957699,537.426575,506.623688,0.992065
videos/identical_balls_trick_000_018.mp4,75,1.251250,0,0.934046,733.713562,493.165497,0.968953,528.935364,497.820557,0.993159
videos/identical_balls_trick_000_018.mp4,76,1.267933,0,0.933432,731.798767,493.998077,0.978431,522.563232,491.131134,0.993125
videos/identical_balls_trick_000_018.mp4,77,1.284617,0,0.934619,729.440674,491.048309,0.982627,519.311951,488.629181,0.992970
videos/identical_balls_trick_000_018.mp4,78,1.301300,0,0.933564,727.112244,493.468475,0.984470,516.078857,487.516571,0.992944
videos/identical_balls_trick_000_018.mp4,79,1.317983,0,0.933808,723.655518,494.380096,0.983352,511.766266,488.971191,0.992114
videos/identical_balls_trick_000_018.mp4,80,1.334667,0,0.930590,718.249451,499.442139,0.986436,506.742096,490.089996,0.989287
videos/identical_balls_trick_000_018.mp4,81,1.351350,0,0.933122,718.841248,501.544434,0.986869,503.088104,490.728760,0.989571
videos/identical_balls_trick_000_018.mp4,82,1.368033,0,0.933826,714.840027,514.979675,0.978686,499.565521,495.772217,0.985136
videos/identical_balls_trick_000_018.mp4,83,1.384717,0,0.936121,719.276367,515.766602,0.987412,493.706207,493.245239,0.989074
videos/identical_balls_trick_000_018.mp4,84,1.401400,0,0.942091,716.875183,526.358826,0.988206,489.230255,496.276855,0.990687
videos/identical_balls_trick_000_018.mp4,85,1.418083,0,0.937975,718.226746,532.521118,0.986838,484.411407,494.865814,0.991324
videos/identical_balls_trick_000_018.mp4,86,1.434767,0,0.937904,716.869934,540.264099,0.985769,478.505280,491.488647,0.992331
videos/identical_balls_trick_000_018.mp4,87,1.451450,0,0.894804,718.055847,542.950928,0.986088,476.767059,490.343292,0.993259
videos/identical_balls_trick_000_018.mp4,88,1.468133,0,0.730271,717.367371,548.532532,0.985416,472.650146,490.395172,0.993046
videos/identical_balls_trick_000_018.mp4,88,1.468133,1,0.256123,717.096863,549.471497,0.985912,471.426727,490.125336,0.991988
videos/identical_balls_trick_000_018.mp4,89,1.484817,0,0.939826,717.713318,552.708435,0.985896,465.351715,490.524628,0.992269
videos/identical_balls_trick_000_018.mp4,90,1.501500,0,0.940943,718.375061,552.953735,0.984980,462.076141,490.422028,0.992250
videos/identical_balls_trick_000_018.mp4,91,1.518183,0,0.939420,719.563660,552.013184,0.985094,461.947266,490.864502,0.992325
videos/identical_balls_trick_000_018.mp4,92,1.534867,0,0.938850,720.370300,547.807556,0.984903,463.184723,490.507324,0.992252
videos/identical_balls_trick_000_018.mp4,93,1.551550,0,0.937832,724.331055,541.291443,0.983920,468.196381,489.469116,0.992629
videos/identical_balls_trick_000_018.mp4,94,1.568233,0,0.933717,727.622742,533.067932,0.986741,476.810150,489.192749,0.992477
videos/identical_balls_trick_000_018.mp4,95,1.584917,0,0.924585,730.711426,521.246643,0.984605,484.929840,489.944672,0.992508
videos/identical_balls_trick_000_018.mp4,96,1.601600,0,0.927100,737.405029,508.385895,0.979343,493.452026,491.596344,0.992781
videos/identical_balls_trick_000_018.mp4,97,1.618283,0,0.931414,738.521667,504.319946,0.959870,498.183258,493.955963,0.993331
videos/identical_balls_trick_000_018.mp4,98,1.634967,0,0.935147,744.021545,504.506104,0.931818,499.587494,494.094269,0.990916
videos/identical_balls_trick_000_018.mp4,99,1.651650,0,0.940464,741.364685,495.392700,0.973400,511.250580,494.085205,0.991874
videos/identical_balls_trick_000_018.mp4,100,1.668333,0,0.941666,742.271057,483.766571,0.986387,514.479797,488.307159,0.993848
videos/identical_balls_trick_000_018.mp4,101,1.685017,0,0.939423,741.240295,473.876587,0.991158,516.152771,484.818512,0.994420
videos/identical_balls_trick_000_018.mp4,102,1.701700,0,0.939869,744.150085,471.667480,0.990601,519.582153,483.817902,0.995232
videos/identical_balls_trick_000_018.mp4,103,1.718383,0,0.940987,744.809570,468.531647,0.989638,521.406677,484.950409,0.995508
videos/identical_balls_trick_000_018.mp4,104,1.735067,0,0.940207,746.353699,469.382690,0.989027,521.057190,488.801178,0.995218
videos/identical_balls_trick_000_018.mp4,105,1.751750,0,0.940222,747.516663,468.608734,0.987765,517.800659,495.364105,0.992991
videos/identical_balls_trick_000_018.mp4,106,1.768433,0,0.939998,752.414734,471.531372,0.987914,515.348145,501.085571,0.992302
videos/identical_balls_trick_000_018.mp4,107,1.785117,0,0.931850,757.774353,469.914642,0.989679,509.224121,508.946869,0.985646
videos/identical_balls_trick_000_018.mp4,108,1.801800,0,0.942680,763.556213,474.940094,0.990482,509.251862,514.857605,0.981102
videos/identical_balls_trick_000_018.mp4,109,1.818483,0,0.937644,769.626770,474.171844,0.991122,509.219971,527.344238,0.966710
