video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,127,2.118783,bytetrack,,32,sports ball,0.555707,743.596,312.709,789.553,358.151,767.000,335.000,45.957,45.442
identical_balls_trick_000_018.mp4,128,2.135467,bytetrack,,32,sports ball,0.797914,657.577,403.704,704.809,450.413,681.000,427.000,47.233,46.709
identical_balls_trick_000_018.mp4,128,2.135467,bytetrack,,32,sports ball,0.382850,550.208,353.853,595.839,403.373,573.000,379.000,45.630,49.520
identical_balls_trick_000_018.mp4,128,2.135467,bytetrack,,32,sports ball,0.181364,745.014,335.611,790.708,380.773,768.000,358.000,45.694,45.162
identical_balls_trick_000_018.mp4,129,2.152150,bytetrack,,32,sports ball,0.878929,629.450,405.243,678.543,452.438,654.000,429.000,49.093,47.195
identical_balls_trick_000_018.mp4,129,2.152150,bytetrack,,32,sports ball,0.850070,547.712,329.011,593.868,376.789,571.000,353.000,46.156,47.777
identical_balls_trick_000_018.mp4,129,2.152150,bytetrack,,32,sports ball,0.751982,745.499,359.162,792.091,404.495,769.000,382.000,46.591,45.333
identical_balls_trick_000_018.mp4,130,2.168833,bytetrack,,32,sports ball,0.846298,546.854,305.723,592.225,352.820,570.000,329.000,45.371,47.098
identical_balls_trick_000_018.mp4,130,2.168833,bytetrack,,32,sports ball,0.790886,603.627,408.704,651.393,454.796,628.000,432.000,47.765,46.092
identical_balls_trick_000_018.mp4,130,2.168833,bytetrack,,32,sports ball,0.643588,747.866,385.113,793.848,431.369,771.000,408.000,45.981,46.256
identical_balls_trick_000_018.mp4,131,2.185517,bytetrack,,32,sports ball,0.798975,545.267,283.574,590.735,331.546,568.000,308.000,45.468,47.972
identical_balls_trick_000_018.mp4,131,2.185517,bytetrack,,32,sports ball,0.734137,577.092,413.216,625.944,460.212,602.000,437.000,48.852,46.996
identical_balls_trick_000_018.mp4,131,2.185517,bytetrack,,32,sports ball,0.458368,749.835,413.908,794.774,459.868,772.000,437.000,44.940,45.960
identical_balls_trick_000_018.mp4,132,2.202200,bytetrack,,32,sports ball,0.336853,750.615,443.055,796.164,491.447,773.000,467.000,45.548,48.392
identical_balls_trick_000_018.mp4,133,2.218883,bytetrack,,32,sports ball,0.641925,750.947,473.012,796.429,520.610,774.000,497.000,45.482,47.598
identical_balls_trick_000_018.mp4,133,2.218883,bytetrack,,32,sports ball,0.581697,540.801,245.259,586.695,290.396,564.000,268.000,45.894,45.137
identical_balls_trick_000_018.mp4,133,2.218883,bytetrack,,32,sports ball,0.335103,530.057,424.593,579.440,469.791,555.000,447.000,49.382,45.198
identical_balls_trick_000_018.mp4,134,2.235567,bytetrack,,32,sports ball,0.236365,538.698,226.572,584.276,273.180,561.000,250.000,45.578,46.608
identical_balls_trick_000_018.mp4,135,2.252250,bytetrack,,32,sports ball,0.388478,747.573,515.050,794.455,561.369,771.000,538.000,46.883,46.319
identical_balls_trick_000_018.mp4,135,2.252250,bytetrack,,32,sports ball,0.309557,536.729,212.005,582.223,257.669,559.000,235.000,45.493,45.664
identical_balls_trick_000_018.mp4,136,2.268933,bytetrack,188,32,sports ball,0.748036,534.811,200.375,580.837,246.580,558.000,223.000,46.026,46.205
identical_balls_trick_000_018.mp4,137,2.285617,bytetrack,,32,sports ball,0.268133,531.807,186.448,577.156,232.916,554.000,210.000,45.349,46.468
identical_balls_trick_000_018.mp4,137,2.285617,bytetrack,,32,sports ball,0.230567,501.325,457.878,551.184,503.890,526.000,481.000,49.859,46.012
identical_balls_trick_000_018.mp4,138,2.302300,bytetrack,188,32,sports ball,0.777765,530.323,178.846,576.619,225.343,553.000,202.000,46.296,46.498
identical_balls_trick_000_018.mp4,139,2.318983,bytetrack,188,32,sports ball,0.725338,527.576,168.791,574.183,215.700,551.000,192.000,46.607,46.909
identical_balls_trick_000_018.mp4,140,2.335667,bytetrack,188,32,sports ball,0.631452,525.018,161.042,571.719,208.126,548.000,185.000,46.702,47.084
identical_balls_trick_000_018.mp4,141,2.352350,bytetrack,188,32,sports ball,0.528850,522.482,155.393,569.838,203.146,546.000,179.000,47.357,47.753
identical_balls_trick_000_018.mp4,142,2.369033,bytetrack,188,32,sports ball,0.691889,520.276,151.930,567.803,199.933,544.000,176.000,47.527,48.003
identical_balls_trick_000_018.mp4,142,2.369033,bytetrack,196,32,sports ball,0.407971,767.729,592.384,812.098,636.046,790.000,614.000,44.369,43.662
identical_balls_trick_000_018.mp4,143,2.385717,bytetrack,188,32,sports ball,0.654679,518.202,150.364,565.626,198.353,542.000,174.000,47.424,47.989
identical_balls_trick_000_018.mp4,143,2.385717,bytetrack,196,32,sports ball,0.619523,769.441,592.161,813.172,635.133,791.000,614.000,43.731,42.972
identical_balls_trick_000_018.mp4,144,2.402400,bytetrack,188,32,sports ball,0.568650,516.102,150.858,563.255,198.640,540.000,175.000,47.153,47.782
identical_balls_trick_000_018.mp4,144,2.402400,bytetrack,196,32,sports ball,0.522689,770.166,588.444,814.523,631.990,792.000,610.000,44.357,43.547
identical_balls_trick_000_018.mp4,145,2.419083,bytetrack,188,32,sports ball,0.381116,513.885,153.164,561.238,201.195,538.000,177.000,47.354,48.030
identical_balls_trick_000_018.mp4,145,2.419083,bytetrack,196,32,sports ball,0.680572,770.204,582.437,814.595,625.921,792.000,604.000,44.391,43.484
identical_balls_trick_000_018.mp4,145,2.419083,bytetrack,199,32,sports ball,0.719416,535.638,572.979,581.647,617.241,559.000,595.000,46.008,44.262
identical_balls_trick_000_018.mp4,146,2.435767,bytetrack,196,32,sports ball,0.413839,770.066,573.958,812.897,615.705,791.000,595.000,42.831,41.747
identical_balls_trick_000_018.mp4,147,2.452450,bytetrack,196,32,sports ball,0.204762,767.987,562.735,810.733,604.177,789.000,583.000,42.747,41.443
identical_balls_trick_000_018.mp4,148,2.469133,bytetrack,,32,sports ball,0.530837,554.094,537.669,601.329,578.896,578.000,558.000,47.235,41.227
identical_balls_trick_000_018.mp4,148,2.469133,bytetrack,,32,sports ball,0.298531,507.494,177.224,554.525,224.651,531.000,201.000,47.031,47.427
identical_balls_trick_000_018.mp4,148,2.469133,bytetrack,,32,sports ball,0.191334,761.062,544.447,808.791,585.055,785.000,565.000,47.729,40.608
identical_balls_trick_000_018.mp4,149,2.485817,bytetrack,,32,sports ball,0.537014,556.263,513.645,604.604,554.112,580.000,534.000,48.341,40.467
identical_balls_trick_000_018.mp4,149,2.485817,bytetrack,,32,sports ball,0.385034,754.710,528.758,802.914,566.079,779.000,547.000,48.204,37.321
identical_balls_trick_000_018.mp4,149,2.485817,bytetrack,,32,sports ball,0.338197,505.605,187.623,552.256,235.557,529.000,212.000,46.651,47.934
identical_balls_trick_000_018.mp4,149,2.485817,bytetrack,,32,sports ball,0.282022,505.809,187.639,551.923,235.796,529.000,212.000,46.115,48.157
identical_balls_trick_000_018.mp4,150,2.502500,bytetrack,209,32,sports ball,0.620805,504.522,198.122,549.898,245.504,527.000,222.000,45.376,47.382
identical_balls_trick_000_018.mp4,151,2.519183,bytetrack,,32,sports ball,0.418730,500.456,215.476,548.016,262.560,524.000,239.000,47.560,47.083
identical_balls_trick_000_018.mp4,152,2.535867,bytetrack,,32,sports ball,0.164677,500.058,232.312,545.851,279.823,523.000,256.000,45.794,47.511
identical_balls_trick_000_018.mp4,153,2.552550,bytetrack,,32,sports ball,0.321776,713.964,446.778,759.821,491.939,737.000,469.000,45.857,45.161
identical_balls_trick_000_018.mp4,153,2.552550,bytetrack,,32,sports ball,0.321534,559.798,379.408,607.365,426.821,584.000,403.000,47.567,47.413
identical_balls_trick_000_018.mp4,155,2.585917,bytetrack,,32,sports ball,0.723680,560.255,318.529,608.126,368.431,584.000,343.000,47.872,49.902
identical_balls_trick_000_018.mp4,155,2.585917,bytetrack,,32,sports ball,0.193444,685.967,411.953,733.391,459.550,710.000,436.000,47.424,47.597
identical_balls_trick_000_018.mp4,155,2.585917,bytetrack,,32,sports ball,0.189998,493.208,292.516,539.251,339.090,516.000,316.000,46.043,46.574
identical_balls_trick_000_018.mp4,156,2.602600,bytetrack,,32,sports ball,0.553918,561.089,289.449,608.227,340.421,585.000,315.000,47.138,50.972
identical_balls_trick_000_018.mp4,156,2.602600,bytetrack,,32,sports ball,0.536588,492.197,316.859,538.203,364.072,515.000,340.000,46.006,47.213
identical_balls_trick_000_018.mp4,156,2.602600,bytetrack,,32,sports ball,0.365841,672.806,397.670,719.960,444.800,696.000,421.000,47.153,47.130
identical_balls_trick_000_018.mp4,157,2.619283,bytetrack,,32,sports ball,0.561120,562.076,264.008,608.624,313.122,585.000,289.000,46.549,49.113
identical_balls_trick_000_018.mp4,157,2.619283,bytetrack,,32,sports ball,0.307696,489.460,342.956,536.937,390.005,513.000,366.000,47.477,47.049
identical_balls_trick_000_018.mp4,158,2.635967,bytetrack,,32,sports ball,0.579445,562.088,239.944,609.153,288.784,586.000,264.000,47.065,48.840
identical_balls_trick_000_018.mp4,158,2.635967,bytetrack,,32,sports ball,0.449097,488.810,369.757,534.292,417.881,512.000,394.000,45.482,48.123
identical_balls_trick_000_018.mp4,159,2.652650,bytetrack,,32,sports ball,0.379437,487.269,400.665,532.229,448.005,510.000,424.000,44.961,47.340
identical_balls_trick_000_018.mp4,159,2.652650,bytetrack,,32,sports ball,0.323257,631.609,365.726,678.976,413.289,655.000,390.000,47.367,47.563
identical_balls_trick_000_018.mp4,160,2.669333,bytetrack,,32,sports ball,0.437958,616.237,358.269,664.736,406.477,640.000,382.000,48.499,48.208
identical_balls_trick_000_018.mp4,160,2.669333,bytetrack,,32,sports ball,0.400901,561.660,194.599,609.815,242.193,586.000,218.000,48.155,47.594
identical_balls_trick_000_018.mp4,160,2.669333,bytetrack,,32,sports ball,0.273756,485.943,432.341,532.199,479.491,509.000,456.000,46.257,47.150
identical_balls_trick_000_018.mp4,162,2.702700,bytetrack,,32,sports ball,0.219206,562.195,156.542,609.492,207.018,586.000,182.000,47.298,50.476
identical_balls_trick_000_018.mp4,162,2.702700,bytetrack,,32,sports ball,0.213169,585.830,350.779,636.598,397.445,611.000,374.000,50.768,46.666
identical_balls_trick_000_018.mp4,163,2.719383,bytetrack,,32,sports ball,0.151586,562.481,141.353,609.443,190.905,586.000,166.000,46.962,49.552
identical_balls_trick_000_018.mp4,164,2.736067,bytetrack,,32,sports ball,0.312411,562.716,128.221,609.625,176.002,586.000,152.000,46.909,47.781
identical_balls_trick_000_018.mp4,164,2.736067,bytetrack,,32,sports ball,0.307370,562.467,128.108,609.815,176.258,586.000,152.000,47.349,48.150
identical_balls_trick_000_018.mp4,164,2.736067,bytetrack,,32,sports ball,0.176012,568.686,351.352,619.819,398.564,594.000,375.000,51.133,47.212
identical_balls_trick_000_018.mp4,165,2.752750,bytetrack,227,32,sports ball,0.707132,562.365,117.164,610.811,166.530,587.000,142.000,48.446,49.365
identical_balls_trick_000_018.mp4,166,2.769433,bytetrack,227,32,sports ball,0.606011,562.222,107.901,611.022,157.659,587.000,133.000,48.800,49.758
identical_balls_trick_000_018.mp4,167,2.786117,bytetrack,227,32,sports ball,0.409091,562.309,98.467,611.173,148.348,587.000,123.000,48.864,49.881
identical_balls_trick_000_018.mp4,168,2.802800,bytetrack,227,32,sports ball,0.688809,562.316,90.616,611.835,141.264,587.000,116.000,49.519,50.649
identical_balls_trick_000_018.mp4,169,2.819483,bytetrack,227,32,sports ball,0.606485,562.577,85.855,611.851,136.320,587.000,111.000,49.274,50.465
identical_balls_trick_000_018.mp4,170,2.836167,bytetrack,227,32,sports ball,0.612884,562.848,82.454,612.058,132.955,587.000,108.000,49.210,50.502
identical_balls_trick_000_018.mp4,171,2.852850,bytetrack,227,32,sports ball,0.712087,563.056,81.178,612.502,132.060,588.000,107.000,49.446,50.882
identical_balls_trick_000_018.mp4,172,2.869533,bytetrack,227,32,sports ball,0.671149,563.357,82.349,612.828,133.365,588.000,108.000,49.471,51.017
identical_balls_trick_000_018.mp4,173,2.886217,bytetrack,227,32,sports ball,0.866066,563.599,85.422,612.966,136.482,588.000,111.000,49.367,51.060
identical_balls_trick_000_018.mp4,174,2.902900,bytetrack,227,32,sports ball,0.818947,564.258,91.225,612.771,141.437,589.000,116.000,48.513,50.212
identical_balls_trick_000_018.mp4,174,2.902900,bytetrack,231,32,sports ball,0.775809,578.103,342.746,626.892,390.285,602.000,367.000,48.788,47.539
identical_balls_trick_000_018.mp4,175,2.919583,bytetrack,227,32,sports ball,0.686517,564.722,98.571,613.309,148.938,589.000,124.000,48.587,50.367
identical_balls_trick_000_018.mp4,175,2.919583,bytetrack,231,32,sports ball,0.782694,581.459,344.530,630.422,392.267,606.000,368.000,48.963,47.738
