video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
videos/AfNIkaVQNY4/02_0027_0030.mp4,44,0.734067,0,0.923659,188.979,1136.957,465.163,0.997773,1137.133,465.163,949.983,492.618,0.995804,949.983,492.618,1222.175,525.702,0.996549,1222.175,525.702,928.372,647.705,0.989591,928.372,647.705,1278.061,409.217,0.992485,1278.061,409.217,925.187,761.144,0.988345,925.187,761.144
videos/AfNIkaVQNY4/02_0027_0030.mp4,45,0.750750,0,0.930350,191.371,1137.133,457.513,0.997792,1136.957,457.513,947.937,486.281,0.996310,947.937,486.281,1235.988,481.441,0.996586,1235.988,481.441,926.154,642.973,0.991061,926.154,646.958,1266.646,358.033,0.993422,1266.646,358.033,917.774,750.122,0.991334,917.774,750.122
videos/AfNIkaVQNY4/02_0027_0030.mp4,46,0.767433,0,0.931936,195.347,1133.033,446.271,0.997321,1133.033,446.271,941.774,486.025,0.996300,941.774,486.025,1238.057,445.735,0.996199,1235.988,445.735,922.620,636.595,0.989510,922.620,646.958,1248.794,314.130,0.993646,1248.794,314.130,913.459,744.543,0.990579,913.459,750.122
videos/AfNIkaVQNY4/02_0027_0030.mp4,47,0.784117,0,0.914409,198.808,1127.740,440.292,0.997781,1127.740,440.292,933.755,483.820,0.996325,933.755,483.820,1239.367,415.503,0.996784,1235.988,415.503,912.898,646.958,0.985555,912.898,646.958,1226.458,267.869,0.994135,1226.458,267.869,902.908,747.579,0.980757,913.459,750.122
videos/AfNIkaVQNY4/02_0027_0030.mp4,48,0.800800,0,0.917488,198.121,1124.448,435.477,0.997789,1124.448,435.477,931.553,480.680,0.996835,931.553,480.708,1233.853,370.862,0.996902,1233.853,370.862,906.453,655.624,0.979194,906.453,649.038,1192.636,223.049,0.994049,1192.636,223.049,910.686,756.232,0.958814,910.686,747.842
videos/AfNIkaVQNY4/02_0027_0030.mp4,49,0.817483,0,0.916805,200.738,1119.990,418.874,0.997957,1119.990,418.874,929.013,480.708,0.996824,929.332,480.680,1231.010,335.841,0.997330,1231.010,335.841,900.538,672.279,0.976713,900.538,649.038,1161.183,196.791,0.993323,1161.183,196.791,916.775,769.026,0.943826,902.908,747.842
videos/AfNIkaVQNY4/02_0027_0030.mp4,50,0.834167,0,0.925764,194.911,1114.416,410.912,0.997854,1114.416,410.912,929.332,472.018,0.997347,929.013,472.340,1224.947,310.792,0.997278,1224.947,310.792,899.530,649.038,0.984530,899.530,649.038,1132.817,187.893,0.993418,1132.817,187.893,901.573,747.842,0.969619,901.573,747.842
videos/AfNIkaVQNY4/02_0027_0030.mp4,51,0.850850,0,0.910743,198.220,1112.510,408.086,0.997897,1112.510,408.086,924.554,471.044,0.998008,924.554,472.018,1211.771,288.396,0.995889,1211.771,288.396,897.245,636.405,0.988351,897.245,639.154,1099.845,178.710,0.988513,1099.845,178.710,894.702,732.688,0.985087,894.702,733.465
videos/AfNIkaVQNY4/02_0027_0030.mp4,52,0.867533,0,0.909816,198.641,1108.813,402.149,0.997628,1108.813,402.149,922.986,472.340,0.998084,922.986,471.044,1197.259,262.260,0.995216,1197.259,262.260,894.352,638.353,0.988582,894.352,638.353,1073.267,174.791,0.985117,1073.267,174.791,890.188,733.465,0.982508,892.492,733.014
videos/AfNIkaVQNY4/02_0027_0030.mp4,53,0.884217,0,0.904761,196.473,1102.633,399.278,0.997998,1102.633,399.278,919.000,469.138,0.997893,919.000,469.138,1182.103,244.601,0.996071,1182.103,244.601,891.627,639.154,0.988944,891.627,636.405,1057.069,172.962,0.985034,1057.069,172.962,892.492,733.014,0.983843,890.188,733.014
