frame,time_seconds,track_id,confidence,center_x,center_y
94,1.568233,12,0.454618,540.301,220.153
94,1.568233,13,0.681052,397.394,496.118
94,1.568233,14,0.501186,714.411,599.324
95,1.584917,8,0.325459,717.201,702.251
95,1.584917,12,0.568327,538.654,226.386
95,1.584917,13,0.681052,394.410,498.182
95,1.584917,14,0.614675,716.420,582.802
96,1.601600,12,0.654749,537.403,234.436
96,1.601600,13,0.681052,391.425,500.247
96,1.601600,14,0.614675,717.778,574.021
97,1.618283,12,0.382889,536.272,244.442
97,1.618283,13,0.681052,388.441,502.311
97,1.618283,14,0.614675,719.136,565.239
98,1.634967,12,0.414127,535.139,256.292
98,1.634967,13,0.681052,385.456,504.376
98,1.634967,14,0.614675,720.495,556.458
99,1.651650,12,0.246488,534.011,270.292
99,1.651650,13,0.681052,382.471,506.440
99,1.651650,14,0.614675,721.853,547.676
100,1.668333,12,0.246488,532.785,278.852
100,1.668333,14,0.614675,723.211,538.895
101,1.685017,12,0.246488,531.559,287.412
102,1.701700,12,0.246488,530.332,295.972
103,1.718383,12,0.246488,529.106,304.533
103,1.718383,15,0.699816,531.393,341.368
104,1.735067,12,0.246488,527.879,313.093
104,1.735067,15,0.699816,531.156,346.419
105,1.751750,15,0.699816,530.919,351.470
106,1.768433,15,0.699816,530.682,356.521
106,1.768433,16,0.467936,734.187,308.737
107,1.785117,16,0.459809,735.535,292.175
108,1.801800,16,0.459809,736.245,283.276
109,1.818483,16,0.384812,737.956,263.533
110,1.835167,16,0.153817,739.874,246.324
110,1.835167,17,0.222035,527.155,514.868
111,1.851850,16,0.196573,741.704,232.554
111,1.851850,17,0.394089,526.068,530.209
112,1.868533,16,0.527249,743.718,221.708
112,1.868533,17,0.222577,525.427,545.916
113,1.885217,16,0.574033,745.337,213.095
113,1.885217,17,0.363868,525.453,562.080
114,1.901900,16,0.593964,746.867,207.593
114,1.901900,17,0.430877,528.916,579.622
115,1.918583,16,0.219900,748.287,204.266
