clip_index,video,clip_path,source_tracklet,candidate_tracklet,gap_frames,prediction_error,source_end_frame,candidate_start_frame,candidate_rank
33,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00033_source-30_candidate-33_gap-5_rank-1_error-7.00.mp4,30,33,5,7.004908,455,461,1
34,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00034_source-31_candidate-36_gap-5_rank-1_error-13.21.mp4,31,36,5,13.207599,527,533,1
35,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00035_source-31_candidate-38_gap-5_rank-2_error-423.93.mp4,31,38,5,423.933957,527,533,2
36,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00036_source-31_candidate-37_gap-5_rank-3_error-437.03.mp4,31,37,5,437.032421,527,533,3
37,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00037_source-35_candidate-37_gap-5_rank-1_error-13.67.mp4,35,37,5,13.665632,527,533,1
38,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00038_source-35_candidate-38_gap-5_rank-2_error-107.65.mp4,35,38,5,107.654066,527,533,2
39,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00039_source-35_candidate-36_gap-5_rank-3_error-439.03.mp4,35,36,5,439.03282,527,533,3
40,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00040_source-36_candidate-41_gap-9_rank-1_error-256.46.mp4,36,41,9,256.456305,581,591,1
41,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00041_source-37_candidate-40_gap-10_rank-1_error-46.57.mp4,37,40,10,46.571051,538,549,1
42,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00042_source-37_candidate-39_gap-6_rank-2_error-111.55.mp4,37,39,6,111.551,538,545,2
