video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,frame_local_instance_index,mask_area_px,mask_centroid_x,mask_centroid_y,mask_centroid_valid,polygon_points
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.655616,630.400,247.095,650.466,268.479,640.433,257.787,20.066,21.384,0,380,640.332,258.734,1,"633,249;633,250;632,251;631,251;631,252;631,253;631,254;631,255;631,256;631,257;631,258;631,259;631,260;631,261;631,262;631,263;631,264;631,265;632,266;633,266;634,267;635,268;635,269;636,269;637,269;638,269;639,269;640,269;641,269;642,269;643,269;644,269;645,269;646,269;646,268;646,267;647,266;648,266;649,265;650,265;650,264;650,263;650,262;650,261;650,260;650,259;650,258;650,257;650,256;650,255;650,254;650,253;649,252;648,251;647,250;646,249;645,249;644,249;643,249;642,249;641,249;640,249;639,249;634,249"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.451950,566.253,201.574,586.859,220.928,576.556,211.251,20.606,19.355,1,348,576.647,212.167,1,"567,204;567,205;567,206;567,207;567,208;567,209;567,210;567,211;567,212;567,213;567,214;567,215;567,216;567,217;568,218;568,219;569,220;570,220;571,221;572,221;573,221;574,221;575,221;576,221;577,221;578,221;579,221;580,221;581,221;582,221;583,220;584,219;585,218;586,217;587,216;587,215;587,214;587,213;587,212;587,211;587,210;587,209;587,208;586,207;586,206;585,205;584,204;583,204;582,204;581,204;580,204;579,204;578,204;577,204;576,204;575,204;574,204;573,204;572,204;571,204;570,204;569,204;568,204"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.449771,579.717,264.079,601.272,284.748,590.494,274.413,21.555,20.668,2,378,589.952,275.048,1,"581,266;581,267;581,268;580,269;580,270;580,271;580,272;580,273;580,274;580,275;580,276;580,277;580,278;580,279;581,280;581,281;582,281;583,282;584,283;584,284;584,285;585,285;586,285;587,285;588,285;589,285;590,285;591,285;592,285;593,285;594,285;595,285;596,284;597,283;598,282;599,281;600,280;600,279;600,278;600,277;600,276;600,275;600,274;600,273;600,272;600,271;600,270;599,269;598,268;598,267;598,266;597,266;596,266;595,266;594,266;593,266;592,266;591,266;590,266;589,266;588,266;587,266;586,266;582,266"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.309324,580.007,264.218,601.293,284.535,590.650,274.376,21.286,20.317,3,365,590.227,275.025,1,"581,266;581,267;581,268;581,269;581,270;581,271;581,272;581,273;581,274;581,275;581,276;581,277;581,278;581,279;581,280;581,281;582,281;583,282;584,283;584,284;584,285;585,285;586,285;587,285;588,285;589,285;590,285;591,285;592,285;593,285;594,284;595,284;596,284;597,283;598,282;599,281;600,280;600,279;600,278;600,277;600,276;600,275;600,274;600,273;600,272;600,271;600,270;599,269;598,268;598,267;598,266;597,266;596,266;595,266;594,266;593,266;592,266;591,266;590,266;589,266;588,266;587,266;586,266;582,266"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.231106,565.861,200.980,587.121,220.710,576.491,210.845,21.260,19.730,4,365,576.625,211.751,1,"568,203;567,204;567,205;567,206;567,207;567,208;567,209;567,210;567,211;567,212;567,213;567,214;567,215;567,216;567,217;568,218;568,219;569,220;570,220;571,221;572,221;573,221;574,221;575,221;576,221;577,221;578,221;579,221;580,221;581,221;582,221;583,220;584,219;585,218;586,217;587,216;587,215;587,214;587,213;587,212;587,211;587,210;587,209;587,208;587,207;586,206;585,205;584,204;583,203;582,203;581,203;580,203;579,203;578,203;577,203;576,203;575,203;574,203;573,203;572,203;571,203;570,203;569,203"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.205926,612.112,433.798,631.694,451.674,621.903,442.736,19.582,17.876,5,318,621.925,441.928,1,"614,434;613,435;613,436;613,437;613,438;613,439;613,440;613,441;613,442;613,443;613,444;613,445;613,446;613,447;613,448;613,449;613,450;614,450;615,450;616,450;617,450;618,450;619,450;620,450;621,450;622,450;623,450;624,450;625,450;626,450;627,450;628,450;629,449;630,449;631,448;631,447;631,446;631,445;631,444;631,443;631,442;631,441;631,440;631,439;631,438;631,437;631,436;631,435;631,434;630,434;629,434;628,434;627,434;626,434;625,434;624,434;623,434;622,434;621,434;620,434;619,434;618,434;617,434;615,434"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,5,0.083417,32,sports ball,0.186730,520.054,408.580,539.409,427.296,529.731,417.938,19.354,18.716,6,328,530.088,417.317,1,"521,409;521,410;521,411;521,412;521,413;521,414;521,415;521,416;521,417;521,418;521,419;521,420;521,421;521,422;522,423;523,424;524,425;524,426;525,426;526,426;527,426;528,426;529,426;530,426;531,426;532,426;533,426;534,426;535,426;536,426;537,426;538,426;538,425;539,424;539,423;539,422;539,421;539,420;539,419;539,418;539,417;539,416;539,415;539,414;539,413;539,412;538,411;538,410;538,409;537,409;536,409;535,409;534,409;533,409;532,409;531,409;530,409;529,409;528,409;527,409;526,409;525,409;524,409;522,409"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.723418,610.692,417.842,629.878,439.415,620.285,428.629,19.186,21.573,0,361,620.548,427.396,1,"612,418;612,419;612,420;612,421;612,422;612,423;612,424;612,425;612,426;612,427;612,428;612,429;612,430;612,431;612,432;612,433;612,434;613,435;613,436;613,437;614,437;615,437;616,438;617,438;618,438;619,438;620,438;621,438;622,438;623,438;624,437;625,436;626,435;627,434;628,433;629,433;630,433;630,432;630,431;630,430;630,429;630,428;630,427;630,426;630,425;630,424;630,423;630,422;630,421;629,420;628,419;627,418;626,418;625,418;624,418;623,418;622,418;621,418;620,418;619,418;618,418;617,418;616,418;613,418"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.705946,633.026,255.374,653.276,275.776,643.151,265.575,20.251,20.402,1,366,642.478,266.142,1,"635,257;634,258;633,258;633,259;633,260;633,261;633,262;633,263;633,264;633,265;633,266;633,267;633,268;633,269;633,270;633,271;634,272;635,273;636,274;637,275;638,276;639,276;640,276;641,276;642,276;643,276;644,276;645,276;646,276;647,276;648,276;649,275;650,274;651,273;652,272;652,271;652,270;652,269;652,268;652,267;652,266;652,265;652,264;652,263;652,262;652,261;651,260;650,259;650,258;650,257;649,257;648,257;647,257;646,257;645,257;644,257;643,257;642,257;641,257;640,257;639,257;638,257;637,257;636,257"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,6,0.100100,32,sports ball,0.636961,580.952,256.096,602.609,275.960,591.781,266.028,21.656,19.864,2,373,591.445,266.485,1,"583,258;582,259;581,260;581,261;581,262;581,263;581,264;581,265;581,266;581,267;581,268;581,269;581,270;582,271;583,272;584,273;584,274;585,275;586,276;587,276;588,276;589,276;590,276;591,276;592,276;593,276;594,276;595,276;596,276;597,275;598,274;599,274;599,273;600,272;601,272;602,271;602,270;602,269;602,268;602,267;602,266;602,265;602,264;602,263;602,262;602,261;601,260;600,259;599,258;598,258;597,258;596,258;595,258;594,258;593,258;592,258;591,258;590,258;589,258;588,258;587,258;586,258;585,258;584,258"
