frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
853,EXPIRY,17,EXPIRED_PENDING_SOURCE,,,T17:{LEFT};T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT},T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT}
853,HAND_ENTRY,32,PENDING_ENTRY,,,T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT},T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT}
853,HAND_ENTRY,38,PENDING_ENTRY,,,T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT},T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT}
868,HAND_EXIT,41,MATCHED_FIFO,LEFT,23,T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT},T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT}
878,HAND_ENTRY,26,PENDING_ENTRY,,,T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT},T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT}
883,HAND_EXIT,42,MATCHED_FIFO,RIGHT,25,T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT},T20:{LEFT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT}
888,HAND_ENTRY,39,PENDING_ENTRY,,,T20:{LEFT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT},T20:{LEFT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT}
895,HAND_EXIT,43,MATCHED_FIFO,LEFT,20,T20:{LEFT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT}
899,HAND_ENTRY,36,PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT}
899,HAND_ENTRY,43,PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
