track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
34,END,787,524.179000,456.621000,RIGHT,22.497542,15.955068,0.347780,0.246643,5,SEPARATING,0.657167,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
35,START,755,619.869000,422.664000,LEFT,12.769395,12.769395,0.189404,0.189404,5,SEPARATING,11.142418,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
35,START,755,619.869000,422.664000,RIGHT,74.482413,74.482413,1.104769,1.104769,5,SEPARATING,11.872049,FAR,0,0,{LEFT},LEFT,0,far
35,END,822,570.430000,483.434000,LEFT,114.005083,114.005083,1.774619,1.774619,5,APPROACHING,-2.396367,FAR,0,0,{},,0,far
35,END,822,570.430000,483.434000,RIGHT,29.565180,24.258021,0.460216,0.377604,5,SEPARATING,1.142005,POSSIBLE,0,0,{},,0,possible
36,START,768,567.837000,463.233000,LEFT,97.913959,78.763075,1.438367,1.157038,5,SEPARATING,4.604436,FAR,0,0,{RIGHT},RIGHT,0,far
36,START,768,567.837000,463.233000,RIGHT,14.648830,11.818376,0.215193,0.173613,5,SEPARATING,7.677410,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
36,END,899,545.327000,450.414000,LEFT,89.672942,89.672942,1.319981,1.319981,5,NEUTRAL,-0.418213,FAR,0,0,{RIGHT},RIGHT,0,far
36,END,899,545.327000,450.414000,RIGHT,6.838089,3.781283,0.100656,0.055660,5,SEPARATING,0.590576,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
37,START,804,585.771000,355.049000,LEFT,117.842322,117.842322,1.744804,1.744804,5,SEPARATING,10.481003,FAR,0,0,{},,0,far
37,START,804,585.771000,355.049000,RIGHT,64.410000,64.410000,0.953671,0.953671,5,SEPARATING,13.674040,FAR,0,0,{},,0,far
37,END,831,631.478000,231.203000,LEFT,228.538691,215.665428,3.370379,3.180531,5,SEPARATING,3.133042,FAR,0,0,{},,0,far
37,END,831,631.478000,231.203000,RIGHT,202.490324,202.490324,2.986231,2.986231,5,APPROACHING,-3.845966,FAR,0,0,{},,0,far
38,START,831,630.467000,232.498000,LEFT,227.302671,209.598445,3.359782,3.098094,5,APPROACHING,-4.438571,FAR,0,0,{},,0,far
