video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,frame_local_instance_index,mask_area_px,mask_centroid_x,mask_centroid_y,mask_centroid_valid,polygon_points
identical_balls_trick_000_018.mp4,10,0.166833,32,sports ball,0.310782,528.460,550.960,569.937,594.230,549.199,572.595,41.477,43.269,1,1345,548.498,569.025,1,"539,551;537,552;535,553;533,555;531,557;529,559;529,561;529,563;529,565;529,567;529,569;529,571;529,573;529,575;529,577;529,579;529,581;530,583;532,585;534,587;536,587;538,586;540,584;542,584;543,582;545,581;547,581;548,583;549,585;549,587;549,589;549,591;550,592;552,592;554,592;556,592;558,590;558,588;559,586;559,584;560,582;560,580;562,579;564,579;566,577;568,577;570,576;570,574;570,572;570,570;570,568;569,566;568,564;567,562;566,560;566,558;566,556;565,554;564,552;562,551;560,551;558,551;556,551;540,551"
identical_balls_trick_000_018.mp4,10,0.166833,32,sports ball,0.285452,795.669,470.991,839.297,515.212,817.483,493.102,43.628,44.221,2,1347,816.179,489.267,1,"806,471;804,473;802,473;800,474;798,475;796,477;796,479;796,481;796,483;796,485;796,487;796,489;796,491;798,493;799,495;799,497;800,499;800,501;801,503;802,505;803,507;804,509;805,511;807,513;808,514;810,514;812,514;813,512;814,510;812,508;812,506;811,504;811,502;811,500;812,498;814,497;816,497;818,497;820,499;820,501;821,503;821,505;822,506;823,508;824,510;826,511;828,511;830,511;830,509;831,507;832,505;832,503;832,501;832,499;831,497;831,495;832,493;834,491;836,490;838,490;839,489;839,487;839,485;807,471"
identical_balls_trick_000_018.mp4,11,0.183517,32,sports ball,0.542597,529.287,571.471,569.704,611.708,549.496,591.590,40.417,40.237,0,1418,548.921,589.004,1,"539,570;537,572;535,574;533,575;532,577;530,579;529,581;529,583;529,585;529,587;529,589;529,591;529,593;529,595;529,597;529,599;529,601;530,603;532,605;534,607;536,608;538,608;540,607;542,606;544,605;546,605;548,606;549,608;550,609;552,609;554,609;556,609;558,609;558,607;559,605;561,603;563,603;565,602;567,601;569,600;570,598;570,596;570,594;570,592;570,590;570,588;569,586;568,584;568,582;568,580;568,578;566,576;565,574;563,572;561,570;559,570;557,570;555,570;553,570;551,570;549,570;547,570;545,570;540,570"
identical_balls_trick_000_018.mp4,11,0.183517,32,sports ball,0.377585,687.516,192.810,732.439,237.515,709.977,215.163,44.923,44.704,1,1733,709.571,216.229,1,"698,195;696,196;694,198;692,200;690,202;689,204;688,206;688,208;688,210;688,212;688,214;688,216;688,218;688,220;688,222;688,224;688,226;689,228;690,230;692,232;694,234;696,235;698,236;700,237;702,238;704,239;706,239;708,239;710,239;712,239;714,239;716,239;718,238;720,236;722,236;723,234;725,233;727,232;727,230;729,228;730,227;731,225;731,223;732,221;732,219;732,217;732,215;732,213;732,211;732,209;731,207;731,205;730,203;728,201;726,199;724,197;722,195;720,195;718,195;716,195;714,195;712,195;710,195;699,195"
identical_balls_trick_000_018.mp4,11,0.183517,32,sports ball,0.367093,815.191,480.676,855.814,523.504,835.502,502.090,40.623,42.828,2,1215,833.506,497.973,1,"822,480;820,482;818,483;817,484;816,486;816,488;816,490;816,492;816,494;816,496;816,498;816,500;816,502;816,504;816,506;817,508;817,510;817,512;818,514;819,516;819,518;821,520;822,522;824,522;826,522;828,521;828,519;827,517;827,515;827,513;827,511;827,509;827,507;828,505;830,503;832,503;834,503;836,504;836,506;837,508;837,510;837,512;838,514;839,516;839,518;841,518;843,518;845,517;847,515;847,513;847,511;848,509;848,507;849,505;851,504;853,503;855,502;855,500;855,498;855,496;855,494;855,492;853,491;823,480"
identical_balls_trick_000_018.mp4,12,0.200200,32,sports ball,0.682039,832.085,491.413,869.668,532.675,850.877,512.044,37.583,41.262,0,1164,849.235,508.768,1,"833,491;833,493;833,495;833,497;833,499;833,501;833,503;833,505;833,507;833,509;833,511;833,513;833,515;833,517;833,519;833,521;833,523;833,525;833,527;833,529;835,531;837,531;839,531;841,530;842,528;842,526;842,524;842,522;842,520;843,518;843,516;845,515;847,515;849,515;851,515;852,517;853,519;853,521;853,523;853,525;853,527;853,529;855,531;857,530;859,528;860,526;860,524;860,522;862,520;864,519;866,519;868,518;870,516;870,514;870,512;870,510;870,508;869,507;868,505;867,503;866,501;864,499;863,497;834,491"
identical_balls_trick_000_018.mp4,12,0.200200,32,sports ball,0.605218,531.532,589.249,571.684,631.954,551.608,610.602,40.152,42.705,1,1492,551.190,608.274,1,"541,588;539,590;537,591;535,593;533,595;532,597;532,599;532,601;532,603;532,605;532,607;532,609;532,611;532,613;532,615;532,617;532,619;532,621;533,623;535,625;537,626;539,626;540,628;542,628;544,628;546,629;548,629;550,629;552,629;554,629;556,629;558,629;560,628;562,626;564,625;566,624;567,623;569,621;570,620;571,618;571,616;571,614;571,612;571,610;571,608;571,606;571,604;571,602;571,600;571,598;570,596;568,594;567,592;565,591;563,589;561,589;559,588;557,588;555,588;553,588;551,588;549,588;547,588;542,588"
identical_balls_trick_000_018.mp4,12,0.200200,32,sports ball,0.516596,687.428,183.260,732.597,229.195,710.013,206.227,45.170,45.935,2,1708,709.817,206.946,1,"700,185;699,187;697,188;695,189;693,191;691,193;690,195;688,197;688,199;688,201;688,203;688,205;688,207;688,209;688,211;688,213;688,215;688,217;690,219;691,221;692,223;694,224;696,225;698,227;700,228;702,228;704,229;706,229;708,229;710,229;712,229;714,229;716,229;718,229;720,228;722,226;724,225;726,224;727,222;729,220;730,219;731,217;731,215;732,213;732,211;732,209;732,207;732,205;732,203;732,201;731,199;731,197;730,195;728,193;726,191;724,189;722,187;720,185;718,185;716,185;714,185;712,185;710,185;701,185"
identical_balls_trick_000_018.mp4,13,0.216883,32,sports ball,0.712757,843.210,501.204,881.336,543.229,862.273,522.217,38.126,42.025,0,1178,861.262,519.375,1,"847,500;847,502;845,503;845,505;845,507;845,509;847,511;847,513;847,515;847,517;847,519;847,521;847,523;847,525;847,527;845,528;844,530;844,532;844,534;844,536;844,538;845,540;847,540;848,542;850,542;851,541;853,539;855,538;855,536;856,534;856,532;857,530;858,528;860,527;862,527;863,529;865,531;865,533;865,535;865,537;867,539;869,537;871,536;873,535;875,534;877,533;879,531;880,529;880,527;882,525;882,523;882,521;882,519;880,517;879,515;878,513;876,511;876,509;874,507;872,506;871,504;869,503;867,502;848,500"
identical_balls_trick_000_018.mp4,13,0.216883,32,sports ball,0.565671,687.446,176.230,732.510,221.439,709.978,198.835,45.064,45.209,1,1692,709.469,199.947,1,"699,179;697,180;695,181;693,183;691,185;689,187;688,189;688,191;688,193;688,195;688,197;688,199;688,201;688,203;688,205;688,207;688,209;689,211;690,212;691,214;692,216;694,217;696,218;697,219;699,220;701,221;703,221;704,223;706,223;708,223;710,223;712,223;714,223;715,222;717,221;719,220;721,219;723,217;725,216;726,215;727,213;729,211;730,209;731,207;732,205;732,203;732,201;732,199;732,197;732,195;732,193;731,191;730,189;729,188;728,186;727,184;725,182;723,180;721,180;719,179;717,179;715,179;713,179;700,179"
